Orthogroup	Azeb	Sbro
OG0000012	mikado.HiC_scaffold_4.0G635.1	EVM0006215.1
OG0000012	mikado.HiC_scaffold_4.0G330.1, mikado.HiC_scaffold_4.0G257.1, mikado.HiC_scaffold_4.0G636.1, mikado.HiC_scaffold_4.0G252.1, mikado.HiC_scaffold_4.0G253.1, mikado.HiC_scaffold_4.0G251.1, mikado.HiC_scaffold_4.0G250.1, mikado.HiC_scaffold_21.0G470.1, mikado.HiC_scaffold_21.0G28.1, mikado.HiC_scaffold_21.0G30.1, mikado.HiC_scaffold_21.0G31.1, mikado.HiC_scaffold_21.0G29.1, mikado.HiC_scaffold_4.0G255.1, mikado.HiC_scaffold_4.0G256.1, mikado.HiC_scaffold_4.0G254.1, mikado.HiC_scaffold_4.0G307.1, mikado.HiC_scaffold_9.0G205.1, mikado.HiC_scaffold_4.0G164.1, mikado.HiC_scaffold_4.0G154.1, mikado.HiC_scaffold_4.0G156.1, mikado.HiC_scaffold_4.0G163.1, mikado.HiC_scaffold_17.0G779.1, mikado.HiC_scaffold_17.0G780.1, mikado.HiC_scaffold_17.0G778.1, mikado.HiC_scaffold_4.0G155.1, mikado.HiC_scaffold_4.0G159.1, mikado.HiC_scaffold_4.0G157.1, mikado.HiC_scaffold_4.0G160.1, mikado.HiC_scaffold_4.0G158.1, mikado.HiC_scaffold_4.0G161.1, mikado.HiC_scaffold_4.0G162.1, mikado.HiC_scaffold_1.0G10.1	EVM0018945.1
OG0000014	mikado.HiC_scaffold_2.0G58.1, mikado.HiC_scaffold_13.0G880.1, mikado.HiC_scaffold_5.0G241.1, mikado.HiC_scaffold_5.0G241.2, mikado.HiC_scaffold_17.0G802.1, mikado.HiC_scaffold_17.0G803.1, mikado.HiC_scaffold_14.0G892.1, mikado.HiC_scaffold_14.0G893.1, mikado.HiC_scaffold_10.0G197.1, mikado.HiC_scaffold_10.0G196.1, mikado.HiC_scaffold_10.0G431.1, mikado.HiC_scaffold_13.0G1464.1, mikado.HiC_scaffold_10.0G397.1, mikado.HiC_scaffold_10.0G436.1, mikado.HiC_scaffold_10.0G399.1, mikado.HiC_scaffold_10.0G398.1, mikado.HiC_scaffold_3.0G374.1, mikado.HiC_scaffold_4.0G503.1, mikado.HiC_scaffold_16.0G513.1, mikado.HiC_scaffold_9.0G566.1, mikado.HiC_scaffold_9.0G565.1, mikado.HiC_scaffold_9.0G567.1, mikado.HiC_scaffold_5.0G270.1, mikado.HiC_scaffold_5.0G254.1, mikado.HiC_scaffold_17.0G801.1, mikado.HiC_scaffold_17.0G228.1, mikado.HiC_scaffold_14.0G704.2, mikado.HiC_scaffold_14.0G705.1, mikado.HiC_scaffold_14.0G704.1, mikado.HiC_scaffold_14.0G891.1, mikado.HiC_scaffold_13.0G881.1, mikado.HiC_scaffold_12.3160685G104.1, mikado.HiC_scaffold_10.0G149.1	EVM0020362.1
OG0000016	mikado.HiC_scaffold_21.0G1003.1, mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1, mikado.HiC_scaffold_18.0G1339.1	EVM0015943.1
OG0000020	mikado.HiC_scaffold_21.0G19.1, mikado.HiC_scaffold_1098G1.1	EVM0014346.1
OG0000021	mikado.HiC_scaffold_4.0G910.1	EVM0019284.1, EVM0004162.1, EVM0001849.1, EVM0011858.1, EVM0003070.1, EVM0014963.1, EVM0002793.1, EVM0022902.1, EVM0007223.1, EVM0008968.1, EVM0008337.1, EVM0000540.1, EVM0004402.1
OG0000023	mikado.HiC_scaffold_13.0G1581.2, mikado.HiC_scaffold_13.0G1581.1, mikado.HiC_scaffold_13.0G1577.1, mikado.HiC_scaffold_16.0G1847.1, mikado.HiC_scaffold_5.0G683.1, mikado.HiC_scaffold_5.0G682.1, mikado.HiC_scaffold_1.0G188.1, mikado.HiC_scaffold_12.3160685G761.1, mikado.HiC_scaffold_5.0G684.1, mikado.HiC_scaffold_8.8335562G237.1, mikado.HiC_scaffold_8.8335562G240.1, mikado.HiC_scaffold_8.8335562G243.1, mikado.HiC_scaffold_8.8335562G236.1, mikado.HiC_scaffold_8.8335562G244.1, mikado.HiC_scaffold_8.8335562G239.1, mikado.HiC_scaffold_17.0G476.1, mikado.HiC_scaffold_17.0G477.1, mikado.HiC_scaffold_17.0G478.1, mikado.HiC_scaffold_8.8335562G902.1, mikado.HiC_scaffold_8.8335562G901.1, mikado.HiC_scaffold_8.8335562G898.1, mikado.HiC_scaffold_8.8335562G897.1, mikado.HiC_scaffold_4.0G375.1, mikado.HiC_scaffold_12.3160685G730.1, mikado.HiC_scaffold_18.0G1349.1, mikado.HiC_scaffold_18.0G1350.1, mikado.HiC_scaffold_9.0G108.1, mikado.HiC_scaffold_2.0G1110.1, mikado.HiC_scaffold_2.0G1111.1	EVM0016395.1
OG0000024	mikado.HiC_scaffold_7.0G1197.1	EVM0015677.1
OG0000024	mikado.HiC_scaffold_16.0G567.1, mikado.HiC_scaffold_9.0G330.1, mikado.HiC_scaffold_15.0G1046.1, mikado.HiC_scaffold_10.0G588.1, mikado.HiC_scaffold_10.0G589.1, mikado.HiC_scaffold_10.0G788.1, mikado.HiC_scaffold_10.0G787.1, mikado.HiC_scaffold_10.0G786.1, mikado.HiC_scaffold_12.3160685G348.1, mikado.HiC_scaffold_19.0G771.1, mikado.HiC_scaffold_2.0G199.1, mikado.HiC_scaffold_9.0G328.1, mikado.HiC_scaffold_9.0G328.2, mikado.HiC_scaffold_9.0G332.2, mikado.HiC_scaffold_9.0G332.1	EVM0012019.1
OG0000024	mikado.HiC_scaffold_10.0G581.1, mikado.HiC_scaffold_10.0G275.1, mikado.HiC_scaffold_10.0G318.1, mikado.HiC_scaffold_10.0G319.1	EVM0017141.1
OG0000026	mikado.HiC_scaffold_14.0G615.1	EVM0003388.1
OG0000026	mikado.HiC_scaffold_19.0G963.1	EVM0006769.1
OG0000026	mikado.HiC_scaffold_13.0G591.1, mikado.HiC_scaffold_13.0G590.1	EVM0009954.1
OG0000026	mikado.HiC_scaffold_12.3160685G1006.1, mikado.HiC_scaffold_12.3160685G887.1	EVM0003412.1, EVM0016095.1, EVM0013042.1
OG0000026	mikado.HiC_scaffold_5.0G735.1	EVM0001953.1
OG0000026	mikado.HiC_scaffold_11.0G145.1, mikado.HiC_scaffold_13.0G596.1	EVM0011835.1, EVM0019614.1, EVM0004665.1, EVM0000756.1, EVM0002914.1
OG0000029	mikado.HiC_scaffold_1.0G672.1, mikado.HiC_scaffold_1.0G639.1	EVM0000324.1
OG0000035	mikado.HiC_scaffold_19.0G190.1, mikado.HiC_scaffold_1.0G764.1, mikado.HiC_scaffold_1.0G1136.1, mikado.HiC_scaffold_15.0G1444.1, mikado.HiC_scaffold_10.0G71.1, mikado.HiC_scaffold_1.0G1129.1, mikado.HiC_scaffold_1.0G244.2, mikado.HiC_scaffold_1.0G244.1, mikado.HiC_scaffold_1.0G245.1, mikado.HiC_scaffold_1.0G525.1, mikado.HiC_scaffold_11.0G466.1, mikado.HiC_scaffold_1.0G1138.1, mikado.HiC_scaffold_13.0G1164.1, mikado.HiC_scaffold_1.0G1063.1, mikado.HiC_scaffold_1.0G514.1, mikado.HiC_scaffold_5.0G93.1, mikado.HiC_scaffold_1.0G1131.1, mikado.HiC_scaffold_421G1.1, mikado.HiC_scaffold_1.0G1132.1, mikado.HiC_scaffold_1.0G1124.3, mikado.HiC_scaffold_1.0G1124.2, mikado.HiC_scaffold_1.0G1124.1, mikado.HiC_scaffold_1.0G1128.1, mikado.HiC_scaffold_1.0G1098.1, mikado.HiC_scaffold_1.0G1130.1	EVM0008024.1
OG0000036	mikado.HiC_scaffold_13.0G1142.1, mikado.HiC_scaffold_13.0G1147.1, mikado.HiC_scaffold_7.0G14.1, mikado.HiC_scaffold_7.0G8.1, mikado.HiC_scaffold_4.0G809.1, mikado.HiC_scaffold_7.0G10.1, mikado.HiC_scaffold_7.0G1235.1, mikado.HiC_scaffold_3.0G505.1, mikado.HiC_scaffold_3.0G508.1, mikado.HiC_scaffold_17.0G1125.1, mikado.HiC_scaffold_7.0G185.1, mikado.HiC_scaffold_13.0G1098.1, mikado.HiC_scaffold_3.0G464.1, mikado.HiC_scaffold_3.0G467.1, mikado.HiC_scaffold_19.0G387.1, mikado.HiC_scaffold_19.0G379.1, mikado.HiC_scaffold_19.0G968.1, mikado.HiC_scaffold_9.0G366.1, mikado.HiC_scaffold_19.0G966.1, mikado.HiC_scaffold_19.0G768.1, mikado.HiC_scaffold_16.0G1096.1, mikado.HiC_scaffold_19.0G64.1, mikado.HiC_scaffold_19.0G70.1	EVM0020283.1
OG0000037	mikado.HiC_scaffold_4.0G302.1	EVM0008902.1, EVM0011236.1, EVM0002734.1
OG0000038	mikado.HiC_scaffold_13.0G974.1	EVM0010121.1
OG0000038	mikado.HiC_scaffold_13.0G1088.1, mikado.HiC_scaffold_7.0G147.1, mikado.HiC_scaffold_13.0G1082.1, mikado.HiC_scaffold_13.0G1085.1, mikado.HiC_scaffold_13.0G1084.1	EVM0008175.1
OG0000039	mikado.HiC_scaffold_19.0G985.1	EVM0006909.1, EVM0018021.1, EVM0002287.1
OG0000039	mikado.HiC_scaffold_15.0G1023.1	EVM0007937.1
OG0000039	mikado.HiC_scaffold_19.0G1001.1	EVM0019477.1
OG0000039	mikado.HiC_scaffold_11.0G232.1	EVM0002327.1
OG0000039	mikado.HiC_scaffold_17.0G626.1	EVM0021055.1
OG0000039	mikado.HiC_scaffold_17.0G1148.1	EVM0016846.1
OG0000039	mikado.HiC_scaffold_9.0G968.1	EVM0023907.1
OG0000041	mikado.HiC_scaffold_10.0G627.1, mikado.HiC_scaffold_10.0G626.1	EVM0016327.1
OG0000041	mikado.HiC_scaffold_2.0G963.1	EVM0001753.1, EVM0020176.1
OG0000041	mikado.HiC_scaffold_15.0G2420.1	EVM0010456.1
OG0000041	mikado.HiC_scaffold_1.0G774.1	EVM0023425.1
OG0000041	mikado.HiC_scaffold_11.0G495.1, mikado.HiC_scaffold_12.3160685G454.1	EVM0002665.1
OG0000041	mikado.HiC_scaffold_1.0G772.1, mikado.HiC_scaffold_1.0G606.1	EVM0005406.1
OG0000042	mikado.HiC_scaffold_19.0G141.1, mikado.HiC_scaffold_21.0G936.1	EVM0008077.1
OG0000042	mikado.HiC_scaffold_9.0G319.1, mikado.HiC_scaffold_3.0G292.1, mikado.HiC_scaffold_9.0G1578.1, mikado.HiC_scaffold_21.0G92.1, mikado.HiC_scaffold_15.0G259.1, mikado.HiC_scaffold_2.0G444.1, mikado.HiC_scaffold_19.0G1297.1	EVM0020710.1, EVM0000196.1, EVM0000016.1
OG0000043	mikado.HiC_scaffold_4.0G418.1	EVM0023631.1, EVM0004048.1, EVM0000644.1, EVM0010906.1, EVM0014308.1
OG0000044	mikado.HiC_scaffold_21.0G718.1, mikado.HiC_scaffold_8.8335562G175.1	EVM0018838.1
OG0000044	mikado.HiC_scaffold_21.0G1120.1	EVM0007787.1
OG0000044	mikado.HiC_scaffold_21.0G47.1	EVM0005892.1
OG0000046	mikado.HiC_scaffold_7.0G831.1	EVM0012724.1
OG0000047	mikado.HiC_scaffold_16.0G1618.1	EVM0014580.1, EVM0011552.1, EVM0010469.1, EVM0012766.1, EVM0018596.1, EVM0009957.1, EVM0022419.1, EVM0022524.1, EVM0021014.1, EVM0010397.1, EVM0018498.1, EVM0007479.1, EVM0002636.1, EVM0021039.1, EVM0022528.1, EVM0016199.1, EVM0000679.1, EVM0000917.1, EVM0008418.1, EVM0006360.1, EVM0012393.1, EVM0018755.1, EVM0003157.1
OG0000051	mikado.HiC_scaffold_1.0G996.1	EVM0023155.1, EVM0006306.1, EVM0014108.1, EVM0007464.1, EVM0007486.1, EVM0023105.1
OG0000053	mikado.HiC_scaffold_11.0G428.1	EVM0009071.1, EVM0007886.1, EVM0001657.1, EVM0014729.1, EVM0005995.1, EVM0006214.1, EVM0016062.1, EVM0017527.1, EVM0015360.1, EVM0009457.1, EVM0012235.1, EVM0000026.1, EVM0002259.1, EVM0002302.1, EVM0003088.1, EVM0018361.1, EVM0021914.1, EVM0014760.1, EVM0012055.1, EVM0001437.1
OG0000057	mikado.HiC_scaffold_1.0G1040.1	EVM0008236.1, EVM0015047.1, EVM0023434.1, EVM0014687.1, EVM0023655.1
OG0000063	mikado.HiC_scaffold_2.0G180.1, mikado.HiC_scaffold_15.0G377.1, mikado.HiC_scaffold_16.0G1849.1	EVM0021990.1, EVM0016474.1, EVM0007589.1, EVM0023568.1, EVM0020227.1, EVM0008856.1, EVM0005502.1, EVM0009125.1, EVM0003491.1, EVM0009334.1, EVM0012408.1, EVM0000486.1, EVM0004190.1, EVM0001158.1
OG0000066	mikado.HiC_scaffold_3.0G862.1	EVM0004411.1, EVM0016592.1, EVM0016021.1, EVM0000348.1, EVM0011991.1, EVM0021293.1, EVM0007973.1, EVM0015306.1, EVM0005772.1, EVM0011089.1, EVM0006757.1
OG0000067	mikado.HiC_scaffold_4.0G397.1	EVM0004350.1
OG0000067	mikado.HiC_scaffold_21.0G306.1	EVM0006417.1
OG0000067	mikado.HiC_scaffold_4.0G540.1, mikado.HiC_scaffold_4.0G541.1, mikado.HiC_scaffold_4.0G539.1, mikado.HiC_scaffold_4.0G542.2, mikado.HiC_scaffold_4.0G542.1	EVM0004877.1, EVM0020800.1, EVM0013073.1
OG0000068	mikado.HiC_scaffold_12.3160685G583.1	EVM0021180.1
OG0000068	mikado.HiC_scaffold_9.0G1475.1, mikado.HiC_scaffold_9.0G632.1	EVM0023390.1, EVM0017850.1, EVM0008811.1, EVM0014266.1, EVM0011395.1, EVM0019131.1
OG0000071	mikado.HiC_scaffold_14.0G573.1, mikado.HiC_scaffold_1.0G850.1, mikado.HiC_scaffold_21.0G51.1, mikado.HiC_scaffold_1.0G1133.1, mikado.HiC_scaffold_19.0G958.1, mikado.HiC_scaffold_19.0G801.1, mikado.HiC_scaffold_19.0G890.1, mikado.HiC_scaffold_19.0G67.1, mikado.HiC_scaffold_17.0G567.1, mikado.HiC_scaffold_19.0G1294.1, mikado.HiC_scaffold_10.0G648.1, mikado.HiC_scaffold_10.0G649.1, mikado.HiC_scaffold_7.0G1239.1, mikado.HiC_scaffold_15.0G1906.1, mikado.HiC_scaffold_19.0G792.1, mikado.HiC_scaffold_21.0G25.1	EVM0006712.1, EVM0010806.1
OG0000072	mikado.HiC_scaffold_2.0G109.1, mikado.HiC_scaffold_17.0G313.1, mikado.HiC_scaffold_2.0G787.1, mikado.HiC_scaffold_2.0G110.1	EVM0015883.1, EVM0021860.1, EVM0021979.1, EVM0021526.1, EVM0010043.1, EVM0004666.1, EVM0014562.1, EVM0005376.1
OG0000072	mikado.HiC_scaffold_7.0G555.1	EVM0000687.1
OG0000073	mikado.HiC_scaffold_3.0G48.1, mikado.HiC_scaffold_308G1.1, mikado.HiC_scaffold_16.0G1159.1, mikado.HiC_scaffold_15.0G589.1	EVM0017308.1
OG0000073	mikado.HiC_scaffold_16.0G522.1, mikado.HiC_scaffold_16.0G520.1, mikado.HiC_scaffold_12.3160685G290.1, mikado.HiC_scaffold_21.0G1223.1, mikado.HiC_scaffold_13.0G950.1, mikado.HiC_scaffold_8.8335562G449.1, mikado.HiC_scaffold_5.0G586.1, mikado.HiC_scaffold_13.0G767.1, mikado.HiC_scaffold_7.0G1336.1, mikado.HiC_scaffold_15.0G2384.1, mikado.HiC_scaffold_19.0G243.1	EVM0001767.1
OG0000074	mikado.HiC_scaffold_4.0G81.1	EVM0001185.1, EVM0020724.1, EVM0009642.1, EVM0008812.1, EVM0000889.1, EVM0003348.1, EVM0020473.1, EVM0001063.1, EVM0015793.1
OG0000075	mikado.HiC_scaffold_5.0G656.1	EVM0013922.1
OG0000075	mikado.HiC_scaffold_19.0G451.1, mikado.HiC_scaffold_19.0G450.1, mikado.HiC_scaffold_15.0G1132.1	EVM0006736.1
OG0000075	mikado.HiC_scaffold_5.0G657.1	EVM0010182.1, EVM0001655.1, EVM0003089.1
OG0000075	mikado.HiC_scaffold_5.0G522.1	EVM0021815.1, EVM0010173.1
OG0000077	mikado.HiC_scaffold_9.0G170.3, mikado.HiC_scaffold_9.0G170.2, mikado.HiC_scaffold_9.0G170.1	EVM0008293.1
OG0000077	mikado.HiC_scaffold_16.0G1400.1, mikado.HiC_scaffold_16.0G1399.1	EVM0008172.1
OG0000077	mikado.HiC_scaffold_9.0G167.1	EVM0013060.1
OG0000077	mikado.HiC_scaffold_9.0G166.1	EVM0014407.1
OG0000077	mikado.HiC_scaffold_15.0G2257.1	EVM0021835.1, EVM0007930.1
OG0000078	mikado.HiC_scaffold_15.0G1976.1	EVM0020689.1
OG0000079	mikado.HiC_scaffold_21.0G160.1, mikado.HiC_scaffold_15.0G2386.1	EVM0018284.1
OG0000079	mikado.HiC_scaffold_16.0G416.1	EVM0010290.1
OG0000080	mikado.HiC_scaffold_21.0G555.1, mikado.HiC_scaffold_19.0G1133.1	EVM0010046.1, EVM0010601.1
OG0000081	mikado.HiC_scaffold_21.0G1183.1	EVM0012963.1, EVM0018023.1, EVM0016784.1, EVM0003222.1, EVM0017992.1, EVM0008147.1, EVM0003616.1, EVM0020848.1, EVM0008419.1, EVM0010642.1, EVM0004521.1, EVM0001972.1, EVM0014290.1
OG0000085	mikado.HiC_scaffold_13.0G37.1	EVM0010894.1
OG0000085	mikado.HiC_scaffold_1.0G265.1	EVM0017387.1, EVM0002764.1, EVM0020792.1, EVM0012830.1, EVM0006055.1, EVM0012321.1, EVM0019116.1, EVM0000469.1, EVM0020673.1, EVM0005246.1, EVM0021679.1, EVM0005361.1, EVM0001660.1, EVM0012596.1
OG0000086	mikado.HiC_scaffold_10.0G120.1, mikado.HiC_scaffold_10.0G400.1, mikado.HiC_scaffold_10.0G325.1, mikado.HiC_scaffold_4.0G335.1, mikado.HiC_scaffold_1504G1.1, mikado.HiC_scaffold_4.0G190.1, mikado.HiC_scaffold_15.0G1321.1, mikado.HiC_scaffold_1.0G695.1, mikado.HiC_scaffold_284G1.1, mikado.HiC_scaffold_11.0G474.1, mikado.HiC_scaffold_1.0G696.1	EVM0009778.1
OG0000086	mikado.HiC_scaffold_10.0G21.1, mikado.HiC_scaffold_10.0G445.1, mikado.HiC_scaffold_10.0G854.1, mikado.HiC_scaffold_10.0G679.1, mikado.HiC_scaffold_10.0G505.1	EVM0010907.1
OG0000087	mikado.HiC_scaffold_2.0G878.1	EVM0007021.1
