genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 349_1,33281856,43209578,26320,26416,0_26318,0_26414,24,3710277,5365368,1609,1650,1_3237,1_3278,24,+,3710277,5365368,1609,1650,1_3237,1_3278,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 351_1,45429852,47445243,26447,26482,0_26445,0_26480,17,18170779,18864137,1976,1997,1_3604,1_3625,17,+,18170779,18864137,1976,1997,1_3604,1_3625,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 352_1,48124299,49708262,26494,26514,0_26492,0_26512,7,8052082,8717057,1738,1753,1_3366,1_3381,7,+,8052082,8717057,1738,1753,1_3366,1_3381,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 354_1,64355439,65123958,26759,26774,0_26757,0_26772,13,6079414,6505640,1674,1696,1_3302,1_3324,13,+,6079414,6505640,1674,1696,1_3302,1_3324,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 356_1,68458414,73557963,26837,26919,0_26836,0_26918,18,49616936,50755966,2763,2802,1_4390,1_4429,18,+,49616936,50755966,2763,2802,1_4390,1_4429,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 357_1,83604087,86484129,27077,27125,0_27076,0_27124,35,43290422,44888927,2584,2633,1_4211,1_4260,35,+,43290422,44888927,2584,2633,1_4211,1_4260,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 358_1,87927286,93917755,27157,27259,0_27156,0_27258,14,42270337,43073120,2552,2575,1_4179,1_4202,14,+,42270337,43073120,2552,2575,1_4179,1_4202,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 363_1,104595974,105076279,27431,27441,0_27430,0_27440,6,47187079,47412070,2706,2715,1_4333,1_4342,6,+,47187079,47412070,2706,2715,1_4333,1_4342,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 118_1,404965,1014595,11180,11191,0_11178,0_11189,11,24596345,24936857,6352,6365,1_16303,1_16316,11,+,24596345,24936857,6352,6365,1_16303,1_16316,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 119_1,1070609,2462657,11192,11215,0_11190,0_11213,10,46532357,47145225,6960,6983,1_16911,1_16934,10,+,46532357,47145225,6960,6983,1_16911,1_16934,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 120_1,3289141,4271825,11225,11244,0_11223,0_11242,16,42938392,43450188,6839,6856,1_16790,1_16807,16,+,42938392,43450188,6839,6856,1_16790,1_16807,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 121_1,5801891,7677598,11269,11303,0_11267,0_11300,22,12692905,13605427,6016,6041,1_15967,1_15992,22,+,12692905,13605427,6016,6041,1_15967,1_15992,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 124_1,12168012,12920806,11391,11407,0_11389,0_11405,12,15946190,16554589,6105,6122,1_16056,1_16073,12,+,15946190,16554589,6105,6122,1_16056,1_16073,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 125_1,12930626,13568075,11408,11422,0_11406,0_11420,14,2341053,2739805,5724,5740,1_15675,1_15691,14,+,2341053,2739805,5724,5740,1_15675,1_15691,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 128_1,17403288,17927161,11498,11510,0_11496,0_11508,13,46033236,46319938,6942,6954,1_16893,1_16905,13,+,46033236,46319938,6942,6954,1_16893,1_16905,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 129_1,18669577,19071025,11524,11533,0_11522,0_11531,6,49085262,49433966,7025,7032,1_16976,1_16983,6,+,49085262,49433966,7025,7032,1_16976,1_16983,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 130_1,19160035,20120136,11537,11552,0_11535,0_11550,9,544021,922468,5668,5679,1_15619,1_15630,9,+,544021,922468,5668,5679,1_15619,1_15630,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 132_1,22404171,22852845,11589,11599,0_11587,0_11596,7,29791413,30180016,6489,6497,1_16440,1_16448,7,+,29791413,30180016,6489,6497,1_16440,1_16448,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 134_1,27801017,28490710,11683,11695,0_11681,0_11692,7,34455540,34941747,6614,6630,1_16565,1_16581,7,+,34455540,34941747,6614,6630,1_16565,1_16581,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 135_1,29803721,31092132,11721,11739,0_11719,0_11737,9,17768251,19133944,6160,6184,1_16111,1_16135,9,+,17768251,19133944,6160,6184,1_16111,1_16135,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 136_1,35226415,37123835,11805,11843,0_11803,0_11841,25,11369075,12119424,5963,5997,1_15914,1_15948,25,+,11369075,12119424,5963,5997,1_15914,1_15948,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 137_1,38028674,39268212,11857,11872,0_11855,0_11870,11,30189613,31091058,6498,6524,1_16449,1_16475,11,+,30189613,31091058,6498,6524,1_16449,1_16475,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 140_1,44681449,45650483,11964,11985,0_11962,0_11983,15,45481383,45941591,6921,6939,1_16872,1_16890,15,+,45481383,45941591,6921,6939,1_16872,1_16890,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 141_1,45842284,48136733,11990,12022,0_11988,0_12020,7,40143129,40653208,6750,6769,1_16701,1_16720,7,+,40143129,40653208,6750,6769,1_16701,1_16720,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 142_1,48373604,49935279,12025,12036,0_12023,0_12034,6,42392240,42852390,6819,6836,1_16770,1_16787,6,+,42392240,42852390,6819,6836,1_16770,1_16787,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 144_1,56979702,69079312,12153,12330,0_12151,0_12328,26,34958771,38004251,6631,6713,1_16582,1_16664,26,+,34958771,38004251,6631,6713,1_16582,1_16664,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 146_1,63463975,65855115,12262,12278,0_12260,0_12276,7,41627502,42141903,6798,6806,1_16749,1_16757,7,+,41627502,42141903,6798,6806,1_16749,1_16757,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 148_1,71356109,71726996,12366,12376,0_12364,0_12374,6,28830536,29173957,6461,6470,1_16412,1_16421,6,+,28830536,29173957,6461,6470,1_16412,1_16421,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 149_1,72610366,74007750,12388,12409,0_12386,0_12407,11,48489991,49056918,7012,7023,1_16963,1_16974,11,+,48489991,49056918,7012,7023,1_16963,1_16974,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 151_1,79959191,80876839,12532,12548,0_12530,0_12546,11,1138479,1672790,5689,5707,1_15640,1_15658,11,+,1138479,1672790,5689,5707,1_15640,1_15658,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 154_1,85657949,85961583,12624,12633,0_12622,0_12631,10,21956814,22129567,6265,6274,1_16216,1_16225,10,+,21956814,22129567,6265,6274,1_16216,1_16225,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 155_1,86064178,86691698,12636,12644,0_12634,0_12642,6,6317940,6851103,5830,5843,1_15781,1_15794,6,+,6317940,6851103,5830,5843,1_15781,1_15794,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 157_1,90119802,90704578,12699,12710,0_12697,0_12708,11,48086338,48443020,6998,7010,1_16949,1_16961,11,+,48086338,48443020,6998,7010,1_16949,1_16961,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 158_1,91172106,95356061,12717,12788,0_12715,0_12786,17,8097919,9405049,5879,5912,1_15830,1_15863,17,+,8097919,9405049,5879,5912,1_15830,1_15863,Lachesis_group4,Sbro
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 162_1,17260609,17580754,13089,13098,0_13087,0_13096,6,22879306,23275901,16316,16325,1_7428,1_7437,6,+,22879306,23275901,16316,16325,1_7428,1_7437,Lachesis_group12,Sbro
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 164_1,25727566,26436839,13216,13225,0_13214,0_13223,7,39805758,40357901,16754,16764,1_7866,1_7876,7,+,39805758,40357901,16754,16764,1_7866,1_7876,Lachesis_group12,Sbro
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 165_1,27353352,28046945,13238,13250,0_13236,0_13248,13,26120951,26590612,16400,16417,1_7512,1_7529,13,+,26120951,26590612,16400,16417,1_7512,1_7529,Lachesis_group12,Sbro
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 170_1,50665996,68561536,13533,13822,0_13531,0_13820,25,22140027,24236700,16298,16346,1_7410,1_7458,25,+,22140027,24236700,16298,16346,1_7410,1_7458,Lachesis_group12,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 179_1,21266746,22565057,14555,14578,0_14553,0_14576,11,1225457,2482323,16867,16898,1_7979,1_8010,11,+,1225457,2482323,16867,16898,1_7979,1_8010,Lachesis_group13,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 184_1,35090097,36345803,14759,14782,0_14757,0_14780,14,38289322,42007373,17834,17962,1_8946,1_9074,14,+,38289322,42007373,17834,17962,1_8946,1_9074,Lachesis_group13,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 199_1,75697953,75981549,15503,15511,0_15501,0_15509,7,29284781,29568531,17652,17663,1_8764,1_8775,7,+,29284781,29568531,17652,17663,1_8764,1_8775,Lachesis_group13,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 212_1,123894857,124456199,16350,16361,0_16348,0_16359,8,26610427,26933290,17564,17576,1_8676,1_8688,8,+,26610427,26933290,17564,17576,1_8676,1_8688,Lachesis_group13,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 215_1,128553482,139414715,16426,16638,0_16424,0_16636,19,8528369,10551346,17056,17118,1_8168,1_8230,19,+,8528369,10551346,17056,17118,1_8168,1_8230,Lachesis_group13,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 177_1,14355294,17092791,14426,14480,0_14424,0_14478,29,20578297,22889914,8835,8897,1_18786,1_18848,29,+,20578297,22889914,8835,8897,1_18786,1_18848,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 178_1,17113211,17847187,14481,14492,0_14479,0_14490,9,43162385,43880672,9472,9488,1_19423,1_19439,9,+,43162385,43880672,9472,9488,1_19423,1_19439,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 181_1,25604754,26524167,14629,14642,0_14627,0_14640,9,14607334,15197791,8672,8681,1_18623,1_18632,9,+,14607334,15197791,8672,8681,1_18623,1_18632,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 182_1,29385579,30585481,14676,14696,0_14674,0_14694,7,7173786,7888055,8482,8495,1_18433,1_18446,7,+,7173786,7888055,8482,8495,1_18433,1_18446,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 185_1,39415961,42523641,14852,14910,0_14850,0_14908,11,4140437,4649388,8366,8385,1_18317,1_18336,11,+,4140437,4649388,8366,8385,1_18317,1_18336,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 188_1,46202684,47302735,14986,15007,0_14984,0_15005,15,15279089,15902237,8685,8707,1_18636,1_18658,15,+,15279089,15902237,8685,8707,1_18636,1_18658,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 191_1,50564456,51097448,15068,15085,0_15066,0_15082,6,40812064,41041355,9402,9410,1_19353,1_19361,6,+,40812064,41041355,9402,9410,1_19353,1_19361,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 193_1,53789460,54696097,15122,15138,0_15120,0_15136,13,5264337,5787058,8401,8415,1_18352,1_18366,13,+,5264337,5787058,8401,8415,1_18352,1_18366,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 194_1,56948776,62417079,15170,15275,0_15168,0_15273,32,1833247,4047438,8299,8363,1_18250,1_18314,32,+,1833247,4047438,8299,8363,1_18250,1_18314,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 196_1,64950903,66551135,15299,15327,0_15297,0_15325,8,30791814,31878706,9097,9143,1_19048,1_19094,8,+,30791814,31878706,9097,9143,1_19048,1_19094,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 197_1,68340714,73252820,15367,15469,0_15365,0_15467,47,37050224,39690299,9283,9359,1_19234,1_19310,47,+,37050224,39690299,9283,9359,1_19234,1_19310,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 200_1,77422955,78726779,15525,15548,0_15523,0_15546,14,21623702,22425897,8865,8884,1_18816,1_18835,14,+,21623702,22425897,8865,8884,1_18816,1_18835,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 201_1,79745155,82180456,15556,15573,0_15554,0_15571,7,46092654,46748974,9561,9573,1_19512,1_19524,7,+,46092654,46748974,9561,9573,1_19512,1_19524,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 206_1,115814505,117364758,16211,16240,0_16209,0_16238,20,19533538,20564387,8804,8834,1_18755,1_18785,20,+,19533538,20564387,8804,8834,1_18755,1_18785,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 207_1,117664392,117969448,16248,16253,0_16246,0_16251,6,27187296,27434696,9003,9011,1_18954,1_18962,6,+,27187296,27434696,9003,9011,1_18954,1_18962,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 209_1,119118170,120030584,16269,16284,0_16267,0_16282,10,35631682,36035079,9245,9254,1_19196,1_19205,10,+,35631682,36035079,9245,9254,1_19196,1_19205,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 211_1,121406374,122483734,16306,16326,0_16304,0_16324,13,24473011,24981485,8925,8939,1_18876,1_18890,13,+,24473011,24981485,8925,8939,1_18876,1_18890,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 214_1,127304156,127885949,16401,16414,0_16399,0_16412,10,18202292,19322593,8772,8796,1_18723,1_18747,10,+,18202292,19322593,8772,8796,1_18723,1_18747,Lachesis_group6,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 220_1,5767381,6802738,16845,16859,0_16843,0_16857,11,13375866,13725211,3229,3241,1_13189,1_13201,11,+,13375866,13725211,3229,3241,1_13189,1_13201,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 221_1,11457270,13208151,16939,16964,0_16937,0_16962,16,32550143,34580756,3853,3902,1_13811,1_13860,16,+,32550143,34580756,3853,3902,1_13811,1_13860,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 223_1,18752580,19166574,17045,17053,0_17043,0_17051,7,29365679,29546625,3728,3736,1_13688,1_13696,7,+,29365679,29546625,3728,3736,1_13688,1_13696,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 234_1,43678743,49838381,17485,17533,0_17483,0_17531,26,42763097,45607404,4151,4236,1_14109,1_14194,26,+,42763097,45607404,4151,4236,1_14109,1_14194,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 238_1,59147604,60692586,17709,17733,0_17707,0_17731,14,18437894,18941791,3384,3407,1_13344,1_13367,14,+,18437894,18941791,3384,3407,1_13344,1_13367,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 239_1,63100843,65511071,17769,17805,0_17767,0_17803,22,15685140,16596260,3287,3320,1_13247,1_13280,22,+,15685140,16596260,3287,3320,1_13247,1_13280,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 241_1,68616502,69077627,17861,17874,0_17859,0_17872,7,885634,1062550,2876,2882,1_12836,1_12842,7,+,885634,1062550,2876,2882,1_12836,1_12842,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 243_1,75166772,79496856,17980,18054,0_17978,0_18052,20,19321892,19878633,3414,3439,1_13374,1_13399,20,+,19321892,19878633,3414,3439,1_13374,1_13399,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 245_1,85911967,86693870,18168,18179,0_18166,0_18177,7,2806640,3273140,2930,2938,1_12890,1_12898,7,+,2806640,3273140,2930,2938,1_12890,1_12898,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 246_1,88258855,89093509,18205,18217,0_18203,0_18215,7,12157986,12499807,3203,3210,1_13163,1_13170,7,+,12157986,12499807,3203,3210,1_13163,1_13170,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 247_1,90618319,92143595,18240,18269,0_18238,0_18267,7,38612770,39294723,4014,4031,1_13972,1_13989,7,+,38612770,39294723,4014,4031,1_13972,1_13989,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 248_1,92199370,95129559,18271,18336,0_18269,0_18334,19,27249770,29137436,3674,3718,1_13634,1_13678,19,+,27249770,29137436,3674,3718,1_13634,1_13678,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 250_1,102744327,106856757,18452,18531,0_18450,0_18529,16,46121545,46980325,4261,4292,1_14219,1_14250,16,+,46121545,46980325,4261,4292,1_14219,1_14250,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 253_1,108018216,108571319,18557,18571,0_18555,0_18570,15,31377924,31820930,3805,3827,1_13764,1_13786,15,+,31377924,31820930,3805,3827,1_13764,1_13786,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 254_1,108952664,112125344,18580,18627,0_18578,0_18625,9,21539239,21682628,3489,3497,1_13449,1_13457,9,+,21539239,21682628,3489,3497,1_13449,1_13457,Lachesis_group2,Sbro
Azeb,Sbro,HiC_scaffold_17.0,Lachesis_group14,Azeb_vs_Sbro: 255_1,11382116,32522930,18761,19118,0_18759,0_19116,18,29520593,34884015,18657,18783,1_9766,1_9892,18,+,29520593,34884015,18657,18783,1_9766,1_9892,Lachesis_group14,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 262_1,8298718,16088888,19991,20117,0_19989,0_20115,34,13586684,16538468,11240,11337,1_21191,1_21288,34,+,13586684,16538468,11240,11337,1_21191,1_21288,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 264_1,18885672,19179868,20152,20160,0_20150,0_20158,7,6907000,7090258,11049,11060,1_21000,1_21011,7,+,6907000,7090258,11049,11060,1_21000,1_21011,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 265_1,20023880,21835311,20170,20196,0_20168,0_20194,18,1745060,2612994,10883,10908,1_20834,1_20859,18,+,1745060,2612994,10883,10908,1_20834,1_20859,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 267_1,25028352,38606438,20217,20438,0_20215,0_20436,25,29242320,34548938,11679,11837,1_21630,1_21788,25,+,29242320,34548938,11679,11837,1_21630,1_21788,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 269_1,31437929,31820633,20318,20330,0_20316,0_20328,6,8523522,8616150,11103,11109,1_21054,1_21060,6,+,8523522,8616150,11103,11109,1_21054,1_21060,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 271_1,39657848,42527103,20455,20500,0_20453,0_20498,24,11092772,12606349,11177,11214,1_21128,1_21165,24,+,11092772,12606349,11177,11214,1_21128,1_21165,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 272_1,46960903,52539631,20563,20648,0_20561,0_20646,20,22306543,24089462,11473,11513,1_21424,1_21464,20,+,22306543,24089462,11473,11513,1_21424,1_21464,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 273_1,50428391,50880585,20620,20627,0_20618,0_20625,8,13941671,14257185,11246,11256,1_21197,1_21207,8,+,13941671,14257185,11246,11256,1_21197,1_21207,Lachesis_group8,Sbro
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 274_1,52751725,53196686,20651,20659,0_20649,0_20657,8,4273233,4640143,10965,10974,1_20916,1_20925,8,+,4273233,4640143,10965,10974,1_20916,1_20925,Lachesis_group8,Sbro
