HOG	OG	Gene Tree Parent Clade	Azeb	Sbro	Tgra
N0.HOG0000022	OG0000013	n0	mikado.HiC_scaffold_21.0G22.1		KUTeg_009093, KUTeg_011859, KUTeg_000713, KUTeg_000561, KUTeg_006825, KUTeg_022144, KUTeg_012634, KUTeg_021226, KUTeg_004839, KUTeg_007251, KUTeg_022143, KUTeg_011880, KUTeg_005983, KUTeg_012216, KUTeg_016148, KUTeg_011747, KUTeg_011593, KUTeg_020710, KUTeg_023570, KUTeg_018772, KUTeg_011424, KUTeg_018845, KUTeg_012602, KUTeg_005415, KUTeg_017542, KUTeg_011101, KUTeg_015474, KUTeg_020704, KUTeg_005418, KUTeg_023571, KUTeg_018846, KUTeg_020711, KUTeg_021217, KUTeg_011594
N0.HOG0000023	OG0000014	n0	mikado.HiC_scaffold_2.0G58.1, mikado.HiC_scaffold_13.0G880.1, mikado.HiC_scaffold_5.0G241.1, mikado.HiC_scaffold_5.0G241.2, mikado.HiC_scaffold_17.0G802.1, mikado.HiC_scaffold_17.0G803.1, mikado.HiC_scaffold_14.0G892.1, mikado.HiC_scaffold_14.0G893.1, mikado.HiC_scaffold_10.0G197.1, mikado.HiC_scaffold_10.0G196.1, mikado.HiC_scaffold_10.0G431.1, mikado.HiC_scaffold_13.0G1464.1, mikado.HiC_scaffold_10.0G397.1, mikado.HiC_scaffold_10.0G436.1, mikado.HiC_scaffold_10.0G399.1, mikado.HiC_scaffold_10.0G398.1, mikado.HiC_scaffold_3.0G374.1, mikado.HiC_scaffold_4.0G503.1, mikado.HiC_scaffold_16.0G513.1, mikado.HiC_scaffold_9.0G566.1, mikado.HiC_scaffold_9.0G565.1, mikado.HiC_scaffold_9.0G567.1, mikado.HiC_scaffold_5.0G270.1, mikado.HiC_scaffold_5.0G254.1, mikado.HiC_scaffold_17.0G801.1, mikado.HiC_scaffold_17.0G228.1, mikado.HiC_scaffold_14.0G704.2, mikado.HiC_scaffold_14.0G705.1, mikado.HiC_scaffold_14.0G704.1, mikado.HiC_scaffold_14.0G891.1, mikado.HiC_scaffold_13.0G881.1, mikado.HiC_scaffold_12.3160685G104.1, mikado.HiC_scaffold_10.0G149.1	EVM0020362.1	
N0.HOG0000024	OG0000015	n0		EVM0017892.1, EVM0021996.1	KUTeg_002913, KUTeg_005788, KUTeg_017319, KUTeg_005377, KUTeg_018463, KUTeg_014564, KUTeg_014724, KUTeg_011243, KUTeg_014799, KUTeg_014797, KUTeg_014721, KUTeg_017320, KUTeg_014719, KUTeg_002914, KUTeg_017322, KUTeg_015689, KUTeg_011230, KUTeg_011245, KUTeg_014718, KUTeg_002878, KUTeg_017321, KUTeg_005432, KUTeg_014800, KUTeg_005543, KUTeg_005546, KUTeg_017323, KUTeg_014722, KUTeg_005376, KUTeg_014798, KUTeg_014725, KUTeg_011229, KUTeg_009057
N0.HOG0000025	OG0000016	n2	mikado.HiC_scaffold_21.0G1003.1		KUTeg_008976, KUTeg_010577, KUTeg_004493
N0.HOG0000026	OG0000016	n6			KUTeg_018047, KUTeg_008454, KUTeg_013667, KUTeg_001014
N0.HOG0000027	OG0000016	n10	mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1		KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281
N0.HOG0000028	OG0000016	n17	mikado.HiC_scaffold_18.0G1339.1		KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535
N0.HOG0000029	OG0000017	n0		EVM0009242.1, EVM0020778.1, EVM0003154.1, EVM0008888.1, EVM0010213.1, EVM0007965.1, EVM0023499.1, EVM0023306.1, EVM0008269.1, EVM0000837.1, EVM0019665.1, EVM0015619.1, EVM0005663.1, EVM0013176.1, EVM0023571.1, EVM0018113.1, EVM0011639.1, EVM0009068.1, EVM0020546.1	KUTeg_011932, KUTeg_009324, KUTeg_021486, KUTeg_000996, KUTeg_021980, KUTeg_014613, KUTeg_017219, KUTeg_006561, KUTeg_017217, KUTeg_014622, KUTeg_018088, KUTeg_001320, KUTeg_010499, KUTeg_001323
N0.HOG0000030	OG0000018	n0		EVM0022928.1, EVM0007449.1, EVM0018717.1	KUTeg_017886, KUTeg_008019, KUTeg_006110, KUTeg_002456, KUTeg_015732, KUTeg_000735, KUTeg_017986, KUTeg_011453, KUTeg_014712, KUTeg_004292, KUTeg_016405, KUTeg_017883, KUTeg_007080, KUTeg_006323, KUTeg_010173, KUTeg_014489, KUTeg_012755, KUTeg_015709, KUTeg_019254, KUTeg_007429, KUTeg_015771, KUTeg_015517, KUTeg_015142, KUTeg_000740, KUTeg_006417, KUTeg_007001, KUTeg_016406, KUTeg_010576, KUTeg_015710, KUTeg_006910
N0.HOG0000031	OG0000019	n0	mikado.HiC_scaffold_4371G1.1, mikado.HiC_scaffold_11.0G20.1, mikado.HiC_scaffold_327G3.1, mikado.HiC_scaffold_4350G2.2, mikado.HiC_scaffold_4350G2.1, mikado.HiC_scaffold_4350G1.1, mikado.HiC_scaffold_1.0G82.1, mikado.HiC_scaffold_4.0G675.1, mikado.HiC_scaffold_19.0G928.1, mikado.HiC_scaffold_116G3.1, mikado.HiC_scaffold_10.0G74.1, mikado.HiC_scaffold_7.0G1149.1, mikado.HiC_scaffold_1.0G112.1, mikado.HiC_scaffold_297.0G1.1, mikado.HiC_scaffold_3.0G227.1, mikado.HiC_scaffold_19.0G477.1, mikado.HiC_scaffold_1.0G701.1, mikado.HiC_scaffold_1.0G904.1, mikado.HiC_scaffold_21.0G624.1, mikado.HiC_scaffold_117G2.1, mikado.HiC_scaffold_4.0G217.1, mikado.HiC_scaffold_21.0G750.1, mikado.HiC_scaffold_14.0G536.1, mikado.HiC_scaffold_15.0G2023.1, mikado.HiC_scaffold_7.0G1184.1, mikado.HiC_scaffold_1.0G703.1, mikado.HiC_scaffold_3.0G332.1, mikado.HiC_scaffold_17.0G806.1, mikado.HiC_scaffold_4336G1.1, mikado.HiC_scaffold_1.0G172.1, mikado.HiC_scaffold_8.8335562G1245.1, mikado.HiC_scaffold_2.0G1449.1		
N0.HOG0000032	OG0000020	n1	mikado.HiC_scaffold_21.0G19.1, mikado.HiC_scaffold_1098G1.1	EVM0014346.1	KUTeg_009325, KUTeg_022001
N0.HOG0000033	OG0000020	n5	mikado.HiC_scaffold_19.0G689.1		KUTeg_018650, KUTeg_002818, KUTeg_012096, KUTeg_014416, KUTeg_014871, KUTeg_017403, KUTeg_017072, KUTeg_021835, KUTeg_014870, KUTeg_019674, KUTeg_021828, KUTeg_018680, KUTeg_009779, KUTeg_007331, KUTeg_017745, KUTeg_021794, KUTeg_023089, KUTeg_021596, KUTeg_006560, KUTeg_014495, KUTeg_001305, KUTeg_011997, KUTeg_012184, KUTeg_012793, KUTeg_001006, KUTeg_014607
N0.HOG0000034	OG0000021	n0	mikado.HiC_scaffold_4.0G910.1	EVM0019284.1, EVM0004162.1, EVM0001849.1, EVM0011858.1, EVM0003070.1, EVM0014963.1, EVM0002793.1, EVM0022902.1, EVM0007223.1, EVM0008968.1, EVM0008337.1, EVM0000540.1, EVM0004402.1	KUTeg_010865, KUTeg_010926, KUTeg_010934, KUTeg_001008, KUTeg_010716, KUTeg_007311, KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511, KUTeg_010966, KUTeg_010892, KUTeg_010891
N0.HOG0000035	OG0000022	n0		EVM0009687.1, EVM0012681.1	KUTeg_000915, KUTeg_009158, KUTeg_011460, KUTeg_011443, KUTeg_011463, KUTeg_014561, KUTeg_015760, KUTeg_015744, KUTeg_015743, KUTeg_012814, KUTeg_012816, KUTeg_017303, KUTeg_009275, KUTeg_010987, KUTeg_012815, KUTeg_010988, KUTeg_012811, KUTeg_011406, KUTeg_004438, KUTeg_012813, KUTeg_017383, KUTeg_011461, KUTeg_011407, KUTeg_010985, KUTeg_010990, KUTeg_012812, KUTeg_010816, KUTeg_010982, KUTeg_009277
