HOG	OG	Gene Tree Parent Clade	Azeb	Sbro	Tgra
N1.HOG0000040	OG0000020	n5			KUTeg_018650, KUTeg_002818, KUTeg_012096, KUTeg_014416, KUTeg_014871, KUTeg_017403, KUTeg_017072, KUTeg_021835, KUTeg_014870, KUTeg_019674, KUTeg_021828, KUTeg_018680, KUTeg_009779, KUTeg_007331, KUTeg_017745, KUTeg_021794, KUTeg_023089, KUTeg_021596, KUTeg_006560, KUTeg_014495, KUTeg_001305, KUTeg_011997, KUTeg_012184, KUTeg_012793, KUTeg_001006, KUTeg_014607
N1.HOG0000041	OG0000021	n2			KUTeg_010865, KUTeg_010926
N1.HOG0000042	OG0000021	n4		EVM0019284.1, EVM0004162.1, EVM0001849.1, EVM0011858.1, EVM0003070.1, EVM0014963.1	
N1.HOG0000043	OG0000021	n11		EVM0002793.1	KUTeg_010934
N1.HOG0000044	OG0000021	n13		EVM0022902.1, EVM0007223.1	KUTeg_001008, KUTeg_010716
N1.HOG0000045	OG0000021	n16		EVM0008968.1	KUTeg_007311
N1.HOG0000046	OG0000021	n18		EVM0008337.1, EVM0000540.1	KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511
N1.HOG0000047	OG0000021	n27		EVM0004402.1	KUTeg_010966, KUTeg_010892, KUTeg_010891
N1.HOG0000048	OG0000022	n0		EVM0009687.1, EVM0012681.1	KUTeg_000915, KUTeg_009158, KUTeg_011460, KUTeg_011443, KUTeg_011463, KUTeg_014561, KUTeg_015760, KUTeg_015744, KUTeg_015743, KUTeg_012814, KUTeg_012816, KUTeg_017303, KUTeg_009275, KUTeg_010987, KUTeg_012815, KUTeg_010988, KUTeg_012811, KUTeg_011406, KUTeg_004438, KUTeg_012813, KUTeg_017383, KUTeg_011461, KUTeg_011407, KUTeg_010985, KUTeg_010990, KUTeg_012812, KUTeg_010816, KUTeg_010982, KUTeg_009277
N1.HOG0000049	OG0000023	n0		EVM0016395.1	
N1.HOG0000050	OG0000024	n1		EVM0015677.1	
N1.HOG0000051	OG0000024	n9		EVM0012019.1	KUTeg_010219
N1.HOG0000052	OG0000024	n25		EVM0017141.1	
N1.HOG0000053	OG0000026	n1		EVM0003388.1	KUTeg_005071
N1.HOG0000054	OG0000026	n5		EVM0006769.1	KUTeg_021963, KUTeg_011545
N1.HOG0000055	OG0000026	n14		EVM0009954.1	
N1.HOG0000056	OG0000026	n16		EVM0003412.1, EVM0016095.1, EVM0013042.1	
N1.HOG0000057	OG0000026	n21		EVM0001953.1	KUTeg_017894
N1.HOG0000058	OG0000026	n23		EVM0011835.1, EVM0019614.1, EVM0004665.1, EVM0000756.1, EVM0002914.1	
N1.HOG0000059	OG0000027	n1			KUTeg_022398, KUTeg_011194, KUTeg_016603, KUTeg_011600, KUTeg_003852, KUTeg_008943, KUTeg_009608
N1.HOG0000060	OG0000027	n9			KUTeg_011197, KUTeg_017048, KUTeg_012327, KUTeg_021901, KUTeg_005594, KUTeg_002227, KUTeg_020120, KUTeg_014609, KUTeg_021899, KUTeg_016614, KUTeg_007478, KUTeg_021900, KUTeg_020456, KUTeg_005038, KUTeg_000880, KUTeg_016364, KUTeg_002604, KUTeg_024225, KUTeg_019796, KUTeg_020457
N1.HOG0000061	OG0000028	n0			KUTeg_019634
N1.HOG0000062	OG0000029	n0		EVM0000324.1	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003
N1.HOG0000063	OG0000030	n0		EVM0009044.1, EVM0007512.1, EVM0004809.1, EVM0012586.1, EVM0000116.1, EVM0005495.1, EVM0019382.1, EVM0002058.1, EVM0001235.1, EVM0004434.1, EVM0017700.1, EVM0016296.1, EVM0004425.1, EVM0004590.1, EVM0018222.1, EVM0021962.1, EVM0015902.1, EVM0020155.1, EVM0004741.1, EVM0006917.1, EVM0016577.1, EVM0022724.1, EVM0008352.1, EVM0000333.1, EVM0000416.1, EVM0017156.1, EVM0020371.1, EVM0022047.1	
N1.HOG0000064	OG0000031	n0			KUTeg_024654, KUTeg_010447, KUTeg_005904, KUTeg_018387, KUTeg_003145, KUTeg_005167, KUTeg_015239, KUTeg_021068, KUTeg_011345, KUTeg_011344, KUTeg_020695, KUTeg_003194, KUTeg_005444, KUTeg_015656, KUTeg_021069, KUTeg_024427, KUTeg_007644, KUTeg_013926, KUTeg_007310, KUTeg_003142, KUTeg_018391, KUTeg_012615, KUTeg_016712, KUTeg_016435, KUTeg_008745, KUTeg_012614, KUTeg_007637, KUTeg_018179
N1.HOG0000065	OG0000032	n0			KUTeg_021825, KUTeg_022262, KUTeg_022256, KUTeg_017155, KUTeg_014690, KUTeg_008036, KUTeg_008032, KUTeg_014689, KUTeg_022257, KUTeg_022258, KUTeg_005912, KUTeg_003836, KUTeg_014691, KUTeg_005914, KUTeg_014687, KUTeg_014688, KUTeg_008037, KUTeg_008033, KUTeg_005905, KUTeg_021821, KUTeg_016736, KUTeg_005915, KUTeg_021826, KUTeg_021823, KUTeg_005909, KUTeg_008035, KUTeg_022255, KUTeg_022261
N1.HOG0000066	OG0000033	n0			KUTeg_001115, KUTeg_018665, KUTeg_021462, KUTeg_000228, KUTeg_018659, KUTeg_018687, KUTeg_018660, KUTeg_010282, KUTeg_018771, KUTeg_022166, KUTeg_020039, KUTeg_021463, KUTeg_015400, KUTeg_015610, KUTeg_004061, KUTeg_022492, KUTeg_022054, KUTeg_015559, KUTeg_022167, KUTeg_022497, KUTeg_017924, KUTeg_006657, KUTeg_022476, KUTeg_006654
N1.HOG0000067	OG0000034	n0		EVM0011758.1, EVM0016847.1, EVM0017452.1, EVM0007311.1, EVM0010018.1, EVM0014989.1, EVM0009617.1, EVM0020518.1, EVM0010597.1, EVM0012679.1, EVM0007753.1, EVM0015649.1, EVM0010218.1, EVM0001105.1, EVM0017917.1, EVM0003536.1, EVM0017466.1, EVM0021109.1, EVM0023149.1, EVM0003524.1, EVM0010010.1, EVM0003917.1, EVM0021332.1, EVM0014716.1, EVM0018088.1, EVM0022726.1	KUTeg_006888
N1.HOG0000068	OG0000035	n0		EVM0008024.1	
N1.HOG0000069	OG0000036	n0		EVM0020283.1	KUTeg_024545, KUTeg_024194
N1.HOG0000070	OG0000037	n1			KUTeg_022306, KUTeg_008153
N1.HOG0000071	OG0000037	n4		EVM0008902.1, EVM0011236.1, EVM0002734.1	KUTeg_018725, KUTeg_016414, KUTeg_020464, KUTeg_008970, KUTeg_018201, KUTeg_022695, KUTeg_006601, KUTeg_008152, KUTeg_007704, KUTeg_018773, KUTeg_017797, KUTeg_022209, KUTeg_014487, KUTeg_021772, KUTeg_004627, KUTeg_000018, KUTeg_007293, KUTeg_008996
N1.HOG0000072	OG0000038	n1		EVM0010121.1	KUTeg_016856
N1.HOG0000073	OG0000038	n4			KUTeg_006009, KUTeg_006219
N1.HOG0000074	OG0000038	n6		EVM0021829.1	KUTeg_011543
N1.HOG0000075	OG0000038	n8			KUTeg_012115
N1.HOG0000076	OG0000038	n11		EVM0015420.1, EVM0018528.1, EVM0007404.1, EVM0019691.1, EVM0019551.1, EVM0007686.1, EVM0022083.1, EVM0005413.1, EVM0000476.1	KUTeg_012113
N1.HOG0000077	OG0000038	n20		EVM0008175.1	
N1.HOG0000078	OG0000039	n1		EVM0006909.1, EVM0018021.1, EVM0002287.1	KUTeg_008865
N1.HOG0000079	OG0000039	n9		EVM0007937.1	KUTeg_002763, KUTeg_020140
N1.HOG0000080	OG0000039	n12		EVM0019477.1	
N1.HOG0000081	OG0000039	n15		EVM0002327.1	
N1.HOG0000082	OG0000039	n17		EVM0021055.1	
N1.HOG0000083	OG0000039	n18		EVM0016846.1	
N1.HOG0000084	OG0000039	n21		EVM0005744.1	KUTeg_004466
N1.HOG0000085	OG0000039	n23			KUTeg_004513
N1.HOG0000086	OG0000039	n24		EVM0023907.1	
N1.HOG0000087	OG0000040	n0		EVM0014691.1, EVM0008772.1, EVM0018472.1, EVM0005650.1, EVM0006068.1, EVM0008758.1, EVM0016628.1, EVM0009283.1, EVM0020752.1, EVM0013279.1, EVM0006540.1, EVM0022089.1, EVM0012406.1, EVM0014681.1, EVM0017152.1, EVM0000870.1, EVM0003312.1, EVM0015787.1, EVM0007815.1, EVM0001580.1, EVM0008614.1, EVM0022918.1, EVM0021716.1, EVM0007691.1, EVM0020650.1	KUTeg_003441
N1.HOG0000088	OG0000041	n1		EVM0016327.1	KUTeg_011088
N1.HOG0000089	OG0000041	n9		EVM0001753.1, EVM0020176.1	KUTeg_010375
N1.HOG0000090	OG0000041	n12		EVM0010456.1	KUTeg_012363
N1.HOG0000091	OG0000041	n15		EVM0023425.1	
N1.HOG0000092	OG0000041	n17		EVM0021844.1, EVM0002665.1	KUTeg_013710
N1.HOG0000093	OG0000041	n21		EVM0005406.1	KUTeg_006183
N1.HOG0000094	OG0000042	n1		EVM0008077.1	KUTeg_017398, KUTeg_017396, KUTeg_017395, KUTeg_022535
N1.HOG0000095	OG0000042	n8		EVM0020710.1, EVM0000196.1, EVM0000016.1	
N1.HOG0000096	OG0000042	n14			KUTeg_002813, KUTeg_009013, KUTeg_005752, KUTeg_014482
N1.HOG0000097	OG0000042	n20			KUTeg_011256, KUTeg_005866, KUTeg_007734, KUTeg_012497
N1.HOG0000098	OG0000043	n1			KUTeg_022217
N1.HOG0000099	OG0000043	n11		EVM0023631.1	KUTeg_002820
N1.HOG0000100	OG0000043	n12		EVM0004048.1	KUTeg_014628, KUTeg_024381, KUTeg_014574, KUTeg_011154
N1.HOG0000101	OG0000043	n18		EVM0000644.1	KUTeg_018731
N1.HOG0000102	OG0000043	n19		EVM0010906.1	KUTeg_022395
N1.HOG0000103	OG0000043	n20		EVM0014308.1	KUTeg_021923, KUTeg_003035, KUTeg_021481, KUTeg_017304
N1.HOG0000104	OG0000044	n1		EVM0018838.1	
N1.HOG0000105	OG0000044	n4		EVM0008365.1, EVM0011434.1, EVM0007093.1, EVM0020313.1, EVM0011730.1, EVM0004754.1, EVM0005162.1, EVM0009327.1, EVM0001022.1, EVM0022983.1, EVM0012205.1, EVM0020258.1, EVM0016799.1, EVM0021439.1, EVM0001841.1, EVM0004991.1, EVM0016695.1	
N1.HOG0000106	OG0000044	n22		EVM0007787.1	
N1.HOG0000107	OG0000044	n23		EVM0005892.1	
N1.HOG0000108	OG0000045	n0		EVM0009924.1, EVM0008750.1, EVM0007615.1, EVM0017589.1, EVM0008444.1, EVM0005381.1, EVM0019710.1, EVM0021658.1, EVM0012456.1, EVM0021448.1, EVM0004336.1, EVM0023215.1, EVM0009574.1, EVM0008086.1, EVM0023995.1, EVM0002757.1, EVM0020890.1, EVM0015344.1, EVM0004989.1, EVM0000117.1, EVM0023826.1, EVM0003592.1, EVM0004146.1, EVM0021562.1	KUTeg_015018
N1.HOG0000109	OG0000046	n0		EVM0012724.1	KUTeg_016920, KUTeg_023295, KUTeg_017919, KUTeg_016919, KUTeg_010889, KUTeg_022293, KUTeg_009741, KUTeg_007615, KUTeg_005166, KUTeg_011589, KUTeg_011740, KUTeg_011625, KUTeg_023542, KUTeg_005874, KUTeg_017920, KUTeg_017793, KUTeg_003803, KUTeg_023296, KUTeg_024854, KUTeg_000022, KUTeg_015188, KUTeg_012507
N1.HOG0000110	OG0000047	n0		EVM0014580.1, EVM0011552.1, EVM0010469.1, EVM0012766.1, EVM0018596.1, EVM0009957.1, EVM0022419.1, EVM0022524.1, EVM0021014.1, EVM0010397.1, EVM0018498.1, EVM0007479.1, EVM0002636.1, EVM0021039.1, EVM0022528.1, EVM0016199.1, EVM0000679.1, EVM0000917.1, EVM0008418.1, EVM0006360.1, EVM0012393.1, EVM0018755.1, EVM0003157.1	
N1.HOG0000111	OG0000048	n0			KUTeg_003318, KUTeg_009646, KUTeg_016379, KUTeg_003064, KUTeg_003060, KUTeg_007385, KUTeg_005487, KUTeg_005129, KUTeg_006865, KUTeg_000997, KUTeg_000778, KUTeg_017123, KUTeg_006866, KUTeg_007372, KUTeg_003470, KUTeg_005558, KUTeg_005045, KUTeg_021918, KUTeg_014070, KUTeg_012220, KUTeg_006977, KUTeg_005046, KUTeg_003472, KUTeg_021480
N1.HOG0000112	OG0000050	n0			KUTeg_006092, KUTeg_006086, KUTeg_006087, KUTeg_006084, KUTeg_015792, KUTeg_017312, KUTeg_006487, KUTeg_010626, KUTeg_006083, KUTeg_006085, KUTeg_006089, KUTeg_010631, KUTeg_006289, KUTeg_006088, KUTeg_001086, KUTeg_017311, KUTeg_006445, KUTeg_006294, KUTeg_006288, KUTeg_006292, KUTeg_006295, KUTeg_006453
N1.HOG0000113	OG0000051	n1		EVM0023155.1, EVM0006306.1, EVM0014108.1, EVM0007464.1, EVM0007486.1, EVM0023105.1	
N1.HOG0000114	OG0000051	n9		EVM0018424.1, EVM0021135.1	KUTeg_022889
N1.HOG0000115	OG0000051	n11		EVM0022587.1, EVM0009085.1, EVM0010112.1, EVM0015381.1, EVM0012247.1, EVM0017517.1, EVM0001257.1, EVM0004920.1, EVM0014552.1	KUTeg_006272, KUTeg_006273
N1.HOG0000116	OG0000051	n21			KUTeg_018204
N1.HOG0000117	OG0000053	n3		EVM0007886.1, EVM0001657.1	
N1.HOG0000118	OG0000053	n5		EVM0014729.1, EVM0005995.1, EVM0006214.1, EVM0016062.1, EVM0017527.1, EVM0015360.1, EVM0009457.1, EVM0012235.1, EVM0000026.1	
N1.HOG0000119	OG0000053	n14		EVM0002259.1, EVM0002302.1, EVM0003088.1	KUTeg_011580
N1.HOG0000120	OG0000053	n17		EVM0018361.1, EVM0021914.1, EVM0014760.1, EVM0012055.1, EVM0001437.1	KUTeg_018730
N1.HOG0000121	OG0000054	n1		EVM0000973.1	KUTeg_005028
N1.HOG0000122	OG0000054	n6		EVM0010054.1, EVM0009823.1, EVM0011500.1, EVM0008732.1, EVM0022407.1, EVM0014086.1, EVM0018797.1, EVM0014312.1, EVM0006752.1, EVM0002510.1	
N1.HOG0000123	OG0000054	n18		EVM0012640.1, EVM0020209.1	KUTeg_011874
N1.HOG0000124	OG0000054	n20		EVM0006242.1	KUTeg_010505
N1.HOG0000125	OG0000054	n21		EVM0001874.1	KUTeg_022020
N1.HOG0000126	OG0000055	n0			KUTeg_001961, KUTeg_001965, KUTeg_002489, KUTeg_022121, KUTeg_003379, KUTeg_012326, KUTeg_001813, KUTeg_017344, KUTeg_012324, KUTeg_012323, KUTeg_001960, KUTeg_001964, KUTeg_002488, KUTeg_001958, KUTeg_002494, KUTeg_001040, KUTeg_001041, KUTeg_002495, KUTeg_001962, KUTeg_001044, KUTeg_001043, KUTeg_001959, KUTeg_002182
N1.HOG0000127	OG0000057	n2			KUTeg_021728, KUTeg_021727
N1.HOG0000128	OG0000057	n6		EVM0008236.1, EVM0015047.1	KUTeg_011578, KUTeg_015516, KUTeg_015685, KUTeg_021729, KUTeg_009250
N1.HOG0000129	OG0000057	n12		EVM0023434.1, EVM0014687.1, EVM0023655.1	KUTeg_022137, KUTeg_021730, KUTeg_011271
N1.HOG0000130	OG0000057	n17			KUTeg_005930, KUTeg_005931, KUTeg_005921, KUTeg_018711, KUTeg_005922
N1.HOG0000131	OG0000058	n0			KUTeg_000455
N1.HOG0000132	OG0000059	n0			KUTeg_006568, KUTeg_021487, KUTeg_018649, KUTeg_024378, KUTeg_010543, KUTeg_014627, KUTeg_021482, KUTeg_011155, KUTeg_007066, KUTeg_021686, KUTeg_001325, KUTeg_023042, KUTeg_009263, KUTeg_018729, KUTeg_017221, KUTeg_012417, KUTeg_002815, KUTeg_012681, KUTeg_012799, KUTeg_022396
N1.HOG0000133	OG0000060	n0			KUTeg_019516
N1.HOG0000134	OG0000061	n1		EVM0005727.1	KUTeg_011450
N1.HOG0000135	OG0000061	n2		EVM0002745.1, EVM0015465.1, EVM0021230.1, EVM0006341.1, EVM0006115.1, EVM0013956.1, EVM0020760.1, EVM0010581.1, EVM0011537.1, EVM0004546.1, EVM0020997.1, EVM0001962.1, EVM0010135.1, EVM0014964.1, EVM0023194.1, EVM0015819.1, EVM0020125.1, EVM0015984.1	KUTeg_022610
N1.HOG0000136	OG0000063	n5		EVM0021990.1, EVM0016474.1	KUTeg_017892
N1.HOG0000137	OG0000063	n7		EVM0007589.1, EVM0023568.1, EVM0020227.1, EVM0008856.1, EVM0005502.1, EVM0009125.1, EVM0003491.1, EVM0009334.1, EVM0012408.1, EVM0000486.1, EVM0004190.1, EVM0001158.1	KUTeg_019696
N1.HOG0000138	OG0000064	n0			KUTeg_021868, KUTeg_019255, KUTeg_023895, KUTeg_022012, KUTeg_015028, KUTeg_011555, KUTeg_009274, KUTeg_012983, KUTeg_007932, KUTeg_014484, KUTeg_013899, KUTeg_011557, KUTeg_019252, KUTeg_002733, KUTeg_023894, KUTeg_006312, KUTeg_022017, KUTeg_022243, KUTeg_006313
N1.HOG0000139	OG0000066	n5		EVM0016021.1, EVM0000348.1	
N1.HOG0000140	OG0000066	n7		EVM0011991.1, EVM0021293.1, EVM0007973.1, EVM0015306.1	KUTeg_007435
N1.HOG0000141	OG0000066	n11		EVM0005772.1, EVM0011089.1, EVM0006757.1	KUTeg_010548, KUTeg_021742, KUTeg_014677, KUTeg_017628, KUTeg_003053, KUTeg_018207
N1.HOG0000142	OG0000067	n1		EVM0004350.1	KUTeg_015232
N1.HOG0000143	OG0000067	n4		EVM0006417.1	
N1.HOG0000144	OG0000067	n11			KUTeg_011148, KUTeg_011152, KUTeg_021293, KUTeg_015657
N1.HOG0000145	OG0000067	n16		EVM0020800.1	KUTeg_020434, KUTeg_021287
N1.HOG0000146	OG0000067	n18		EVM0013073.1	KUTeg_020435
