Orthogroup	Species	Tgra	Orthologs
OG0000006	Azeb	KUTeg_021248	mikado.HiC_scaffold_19.0G1479.1, mikado.HiC_scaffold_13.0G1579.1, mikado.HiC_scaffold_13.0G1276.1, mikado.HiC_scaffold_7.0G358.1, mikado.HiC_scaffold_10.0G336.1, mikado.HiC_scaffold_13.0G219.1, mikado.HiC_scaffold_10.0G877.1, mikado.HiC_scaffold_15.0G1320.1, mikado.HiC_scaffold_21.0G1238.1, mikado.HiC_scaffold_8.8335562G831.1, mikado.HiC_scaffold_7.0G1245.1, mikado.HiC_scaffold_4.0G867.1, mikado.HiC_scaffold_5.0G529.1, mikado.HiC_scaffold_19.0G793.2, mikado.HiC_scaffold_19.0G793.1, mikado.HiC_scaffold_21.0G1231.1, mikado.HiC_scaffold_21.0G164.1, mikado.HiC_scaffold_17.0G591.1, mikado.HiC_scaffold_521G1.2, mikado.HiC_scaffold_15.0G919.1, mikado.HiC_scaffold_19.0G1497.2, mikado.HiC_scaffold_8.8335562G757.1, mikado.HiC_scaffold_2.0G405.1, mikado.HiC_scaffold_21.0G1051.1, mikado.HiC_scaffold_15.0G1419.2, mikado.HiC_scaffold_15.0G1419.3, mikado.HiC_scaffold_15.0G1419.1, mikado.HiC_scaffold_7.0G1121.1, mikado.HiC_scaffold_16.0G1667.1, mikado.HiC_scaffold_1.0G659.1, mikado.HiC_scaffold_4.0G387.2, mikado.HiC_scaffold_4.0G387.1, mikado.HiC_scaffold_10.0G821.1, mikado.HiC_scaffold_19.0G1497.1, mikado.HiC_scaffold_521G1.3, mikado.HiC_scaffold_521G1.1, mikado.HiC_scaffold_17.0G959.1, mikado.HiC_scaffold_10.0G540.1, mikado.HiC_scaffold_13.0G1448.1, mikado.HiC_scaffold_4.0G868.1, mikado.HiC_scaffold_7.0G1246.1, mikado.HiC_scaffold_728G1.1, mikado.HiC_scaffold_728G1.2, mikado.HiC_scaffold_19.0G1334.1, mikado.HiC_scaffold_3.0G1016.2, mikado.HiC_scaffold_3.0G1016.1, mikado.HiC_scaffold_650G1.1
OG0000008	Azeb	KUTeg_022192, KUTeg_006471, KUTeg_009614	mikado.HiC_scaffold_19.0G435.1
OG0000008	Sbro	KUTeg_022192	EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1
OG0000008	Sbro	KUTeg_006471	EVM0012425.1
OG0000008	Sbro	KUTeg_009614	EVM0008250.1
OG0000009	Azeb	KUTeg_002928	mikado.HiC_scaffold_21.0G663.1
OG0000009	Azeb	KUTeg_010789	mikado.HiC_scaffold_2.0G941.1, mikado.HiC_scaffold_16.0G1398.1
OG0000009	Azeb	KUTeg_015904	mikado.HiC_scaffold_21.0G370.1
OG0000009	Azeb	KUTeg_016833, KUTeg_016834	mikado.HiC_scaffold_19.0G400.1, mikado.HiC_scaffold_3.0G159.1
OG0000013	Azeb	KUTeg_009093, KUTeg_011859, KUTeg_000713, KUTeg_000561, KUTeg_006825, KUTeg_022144, KUTeg_012634, KUTeg_021226, KUTeg_004839, KUTeg_007251, KUTeg_022143, KUTeg_011880, KUTeg_005983, KUTeg_012216, KUTeg_016148, KUTeg_011747, KUTeg_011593, KUTeg_020710, KUTeg_023570, KUTeg_018772, KUTeg_011424, KUTeg_018845, KUTeg_012602, KUTeg_005415, KUTeg_017542, KUTeg_011101, KUTeg_015474, KUTeg_020704, KUTeg_005418, KUTeg_023571, KUTeg_018846, KUTeg_020711, KUTeg_021217, KUTeg_011594	mikado.HiC_scaffold_21.0G22.1
OG0000015	Sbro	KUTeg_002913, KUTeg_005788	EVM0017892.1
OG0000015	Sbro	KUTeg_017319, KUTeg_005377, KUTeg_018463, KUTeg_014564, KUTeg_014724, KUTeg_011243, KUTeg_014799, KUTeg_014797, KUTeg_014721, KUTeg_017320, KUTeg_014719, KUTeg_002914, KUTeg_017322, KUTeg_015689, KUTeg_011230, KUTeg_011245, KUTeg_014718, KUTeg_002878, KUTeg_017321, KUTeg_005432, KUTeg_014800, KUTeg_005543, KUTeg_005546, KUTeg_017323, KUTeg_014722, KUTeg_005376, KUTeg_014798, KUTeg_014725, KUTeg_011229, KUTeg_009057	EVM0021996.1
OG0000016	Sbro	KUTeg_008976, KUTeg_010577, KUTeg_004493, KUTeg_018047, KUTeg_008454, KUTeg_013667, KUTeg_001014, KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281, KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535	EVM0015943.1
OG0000016	Azeb	KUTeg_008976, KUTeg_010577, KUTeg_004493	mikado.HiC_scaffold_21.0G1003.1
OG0000016	Azeb	KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281	mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1
OG0000016	Azeb	KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535	mikado.HiC_scaffold_18.0G1339.1
OG0000017	Sbro	KUTeg_011932, KUTeg_009324, KUTeg_021486, KUTeg_000996, KUTeg_021980, KUTeg_014613	EVM0009242.1, EVM0020778.1
OG0000017	Sbro	KUTeg_017219	EVM0007965.1
OG0000017	Sbro	KUTeg_006561, KUTeg_017217, KUTeg_014622	EVM0023499.1, EVM0023306.1, EVM0008269.1
OG0000017	Sbro	KUTeg_001320	EVM0000837.1, EVM0019665.1, EVM0015619.1, EVM0005663.1, EVM0013176.1
OG0000017	Sbro	KUTeg_010499	EVM0023571.1, EVM0018113.1, EVM0011639.1
OG0000017	Sbro	KUTeg_001323	EVM0009068.1, EVM0020546.1
OG0000018	Sbro	KUTeg_017886, KUTeg_008019, KUTeg_006110, KUTeg_002456, KUTeg_015732, KUTeg_000735, KUTeg_017986, KUTeg_011453, KUTeg_014712, KUTeg_004292, KUTeg_016405, KUTeg_017883, KUTeg_007080, KUTeg_006323, KUTeg_010173, KUTeg_014489, KUTeg_012755, KUTeg_015709, KUTeg_019254, KUTeg_007429, KUTeg_015771, KUTeg_015517, KUTeg_015142, KUTeg_000740, KUTeg_006417, KUTeg_007001, KUTeg_016406, KUTeg_010576, KUTeg_015710, KUTeg_006910	EVM0022928.1, EVM0007449.1, EVM0018717.1
OG0000020	Sbro	KUTeg_009325, KUTeg_022001	EVM0014346.1
OG0000020	Azeb	KUTeg_009325, KUTeg_022001	mikado.HiC_scaffold_21.0G19.1, mikado.HiC_scaffold_1098G1.1
OG0000020	Azeb	KUTeg_018650, KUTeg_002818, KUTeg_012096, KUTeg_014416, KUTeg_014871, KUTeg_017403, KUTeg_017072, KUTeg_021835, KUTeg_014870, KUTeg_019674, KUTeg_021828, KUTeg_018680, KUTeg_009779, KUTeg_007331, KUTeg_017745, KUTeg_021794, KUTeg_023089, KUTeg_021596, KUTeg_006560, KUTeg_014495, KUTeg_001305, KUTeg_011997, KUTeg_012184, KUTeg_012793, KUTeg_001006, KUTeg_014607	mikado.HiC_scaffold_19.0G689.1
OG0000021	Azeb	KUTeg_010865, KUTeg_010926, KUTeg_010934, KUTeg_001008, KUTeg_010716, KUTeg_007311, KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511, KUTeg_010966, KUTeg_010892, KUTeg_010891	mikado.HiC_scaffold_4.0G910.1
OG0000021	Sbro	KUTeg_010934	EVM0002793.1
OG0000021	Sbro	KUTeg_001008, KUTeg_010716	EVM0022902.1, EVM0007223.1
OG0000021	Sbro	KUTeg_007311	EVM0008968.1
OG0000021	Sbro	KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511	EVM0008337.1, EVM0000540.1
OG0000021	Sbro	KUTeg_010966, KUTeg_010892, KUTeg_010891	EVM0004402.1
OG0000022	Sbro	KUTeg_000915, KUTeg_009158, KUTeg_011460, KUTeg_011443, KUTeg_011463, KUTeg_014561, KUTeg_015760, KUTeg_015744, KUTeg_015743, KUTeg_012814, KUTeg_012816, KUTeg_017303, KUTeg_009275, KUTeg_010987, KUTeg_012815, KUTeg_010988, KUTeg_012811, KUTeg_011406, KUTeg_004438, KUTeg_012813, KUTeg_017383, KUTeg_011461, KUTeg_011407, KUTeg_010985, KUTeg_010990, KUTeg_012812, KUTeg_010816, KUTeg_010982, KUTeg_009277	EVM0009687.1, EVM0012681.1
OG0000024	Azeb	KUTeg_010219	mikado.HiC_scaffold_16.0G567.1, mikado.HiC_scaffold_9.0G330.1, mikado.HiC_scaffold_15.0G1046.1, mikado.HiC_scaffold_10.0G588.1, mikado.HiC_scaffold_10.0G589.1, mikado.HiC_scaffold_10.0G788.1, mikado.HiC_scaffold_10.0G787.1, mikado.HiC_scaffold_10.0G786.1, mikado.HiC_scaffold_12.3160685G348.1, mikado.HiC_scaffold_19.0G771.1, mikado.HiC_scaffold_2.0G199.1, mikado.HiC_scaffold_9.0G328.1, mikado.HiC_scaffold_9.0G328.2, mikado.HiC_scaffold_9.0G332.2, mikado.HiC_scaffold_9.0G332.1
OG0000024	Sbro	KUTeg_010219	EVM0012019.1
OG0000026	Azeb	KUTeg_005071	mikado.HiC_scaffold_14.0G615.1
OG0000026	Sbro	KUTeg_005071	EVM0003388.1
OG0000026	Azeb	KUTeg_021963, KUTeg_011545	mikado.HiC_scaffold_19.0G963.1
OG0000026	Sbro	KUTeg_021963, KUTeg_011545	EVM0006769.1
OG0000026	Azeb	KUTeg_004119	mikado.HiC_scaffold_13.0G598.1, mikado.HiC_scaffold_13.0G597.1, mikado.HiC_scaffold_13.0G595.1, mikado.HiC_scaffold_13.0G591.1, mikado.HiC_scaffold_13.0G590.1, mikado.HiC_scaffold_12.3160685G1006.1, mikado.HiC_scaffold_12.3160685G887.1, mikado.HiC_scaffold_9.0G1226.1
OG0000026	Sbro	KUTeg_004119	EVM0009954.1, EVM0003412.1, EVM0016095.1, EVM0013042.1
OG0000026	Azeb	KUTeg_017894	mikado.HiC_scaffold_5.0G735.1
OG0000026	Sbro	KUTeg_017894	EVM0001953.1
OG0000027	Azeb	KUTeg_022398, KUTeg_011194, KUTeg_016603, KUTeg_011600, KUTeg_003852, KUTeg_008943, KUTeg_009608	mikado.HiC_scaffold_16.0G178.1, mikado.HiC_scaffold_21.0G1046.1
OG0000027	Azeb	KUTeg_011197, KUTeg_017048, KUTeg_012327, KUTeg_021901, KUTeg_005594, KUTeg_002227, KUTeg_020120, KUTeg_014609, KUTeg_021899, KUTeg_016614, KUTeg_007478, KUTeg_021900, KUTeg_020456, KUTeg_005038, KUTeg_000880, KUTeg_016364, KUTeg_002604, KUTeg_024225, KUTeg_019796, KUTeg_020457	mikado.HiC_scaffold_21.0G970.1
OG0000028	Azeb	KUTeg_019634	mikado.HiC_scaffold_18.0G233.1, mikado.HiC_scaffold_3.0G990.1, mikado.HiC_scaffold_1.0G335.1, mikado.HiC_scaffold_13.0G561.1, mikado.HiC_scaffold_378.0G1.1, mikado.HiC_scaffold_378.0G1.2, mikado.HiC_scaffold_14.0G747.1, mikado.HiC_scaffold_12.3160685G632.1, mikado.HiC_scaffold_1.0G115.1, mikado.HiC_scaffold_21.0G1169.1, mikado.HiC_scaffold_150G2.1, mikado.HiC_scaffold_1.0G708.1, mikado.HiC_scaffold_4321G1.2, mikado.HiC_scaffold_4321G1.1, mikado.HiC_scaffold_1.0G371.1, mikado.HiC_scaffold_14.0G35.1, mikado.HiC_scaffold_1.0G325.1, mikado.HiC_scaffold_16.0G664.1, mikado.HiC_scaffold_12.3160685G321.1, mikado.HiC_scaffold_17.0G746.1, mikado.HiC_scaffold_16.0G550.1, mikado.HiC_scaffold_19.0G676.1, mikado.HiC_scaffold_1.0G24.1, mikado.HiC_scaffold_13.0G562.1, mikado.HiC_scaffold_4.0G662.1, mikado.HiC_scaffold_378.0G2.1, mikado.HiC_scaffold_4322G1.1
OG0000029	Azeb	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003	mikado.HiC_scaffold_1.0G672.1, mikado.HiC_scaffold_1.0G639.1
OG0000029	Sbro	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003	EVM0000324.1
OG0000033	Azeb	KUTeg_001115, KUTeg_018665, KUTeg_021462, KUTeg_000228, KUTeg_018659, KUTeg_018687, KUTeg_018660, KUTeg_010282, KUTeg_018771, KUTeg_022166, KUTeg_020039, KUTeg_021463, KUTeg_015400, KUTeg_015610, KUTeg_004061, KUTeg_022492, KUTeg_022054, KUTeg_015559, KUTeg_022167, KUTeg_022497, KUTeg_017924, KUTeg_006657, KUTeg_022476, KUTeg_006654	mikado.HiC_scaffold_17.0G522.1, mikado.HiC_scaffold_21.0G557.1, mikado.HiC_scaffold_13.0G925.1
OG0000034	Sbro	KUTeg_006888	EVM0011758.1, EVM0016847.1, EVM0017452.1, EVM0007311.1, EVM0010018.1, EVM0014989.1, EVM0009617.1, EVM0020518.1, EVM0010597.1, EVM0012679.1, EVM0007753.1, EVM0015649.1, EVM0010218.1, EVM0001105.1, EVM0017917.1, EVM0003536.1, EVM0017466.1, EVM0021109.1, EVM0023149.1, EVM0003524.1, EVM0010010.1, EVM0003917.1, EVM0021332.1, EVM0014716.1, EVM0018088.1, EVM0022726.1
OG0000036	Azeb	KUTeg_024545, KUTeg_024194	mikado.HiC_scaffold_13.0G1142.1, mikado.HiC_scaffold_13.0G1147.1, mikado.HiC_scaffold_7.0G14.1, mikado.HiC_scaffold_7.0G8.1, mikado.HiC_scaffold_4.0G809.1, mikado.HiC_scaffold_7.0G10.1, mikado.HiC_scaffold_7.0G1235.1, mikado.HiC_scaffold_3.0G505.1, mikado.HiC_scaffold_3.0G508.1, mikado.HiC_scaffold_17.0G1125.1, mikado.HiC_scaffold_7.0G185.1, mikado.HiC_scaffold_13.0G1098.1, mikado.HiC_scaffold_3.0G464.1, mikado.HiC_scaffold_3.0G467.1, mikado.HiC_scaffold_19.0G387.1, mikado.HiC_scaffold_19.0G379.1, mikado.HiC_scaffold_19.0G968.1, mikado.HiC_scaffold_9.0G366.1, mikado.HiC_scaffold_19.0G966.1, mikado.HiC_scaffold_19.0G768.1, mikado.HiC_scaffold_16.0G1096.1, mikado.HiC_scaffold_19.0G64.1, mikado.HiC_scaffold_19.0G70.1
OG0000036	Sbro	KUTeg_024545, KUTeg_024194	EVM0020283.1
OG0000037	Azeb	KUTeg_022306, KUTeg_008153	mikado.HiC_scaffold_285G6.1, mikado.HiC_scaffold_18.0G284.1
OG0000037	Azeb	KUTeg_018725, KUTeg_016414, KUTeg_020464, KUTeg_008970, KUTeg_018201, KUTeg_022695, KUTeg_006601, KUTeg_008152, KUTeg_007704, KUTeg_018773, KUTeg_017797, KUTeg_022209, KUTeg_014487, KUTeg_021772, KUTeg_004627, KUTeg_000018, KUTeg_007293, KUTeg_008996	mikado.HiC_scaffold_4.0G302.1
OG0000037	Sbro	KUTeg_018725, KUTeg_016414, KUTeg_020464, KUTeg_008970, KUTeg_018201, KUTeg_022695, KUTeg_006601, KUTeg_008152, KUTeg_007704, KUTeg_018773, KUTeg_017797, KUTeg_022209, KUTeg_014487, KUTeg_021772, KUTeg_004627, KUTeg_000018, KUTeg_007293, KUTeg_008996	EVM0008902.1, EVM0011236.1, EVM0002734.1
OG0000038	Azeb	KUTeg_016856	mikado.HiC_scaffold_13.0G974.1
OG0000038	Sbro	KUTeg_016856	EVM0010121.1
OG0000038	Sbro	KUTeg_011543	EVM0021829.1
OG0000038	Azeb	KUTeg_012115	mikado.HiC_scaffold_13.0G1080.1
OG0000038	Sbro	KUTeg_012113	EVM0015420.1, EVM0018528.1, EVM0007404.1, EVM0019691.1, EVM0019551.1, EVM0007686.1, EVM0022083.1, EVM0005413.1, EVM0000476.1
OG0000039	Azeb	KUTeg_008865	mikado.HiC_scaffold_19.0G985.1
OG0000039	Sbro	KUTeg_008865	EVM0006909.1, EVM0018021.1, EVM0002287.1
OG0000039	Azeb	KUTeg_002763, KUTeg_020140	mikado.HiC_scaffold_15.0G1023.1
OG0000039	Sbro	KUTeg_002763, KUTeg_020140	EVM0007937.1
OG0000039	Sbro	KUTeg_004466	EVM0005744.1
OG0000039	Azeb	KUTeg_004513	mikado.HiC_scaffold_9.0G969.1
OG0000040	Sbro	KUTeg_003441	EVM0014691.1, EVM0008772.1, EVM0018472.1, EVM0005650.1, EVM0006068.1, EVM0008758.1, EVM0016628.1, EVM0009283.1, EVM0020752.1, EVM0013279.1, EVM0006540.1, EVM0022089.1, EVM0012406.1, EVM0014681.1, EVM0017152.1, EVM0000870.1, EVM0003312.1, EVM0015787.1, EVM0007815.1, EVM0001580.1, EVM0008614.1, EVM0022918.1, EVM0021716.1, EVM0007691.1, EVM0020650.1
OG0000041	Sbro	KUTeg_011088	EVM0016327.1
OG0000041	Azeb	KUTeg_011088	mikado.HiC_scaffold_10.0G627.1, mikado.HiC_scaffold_10.0G626.1
OG0000041	Azeb	KUTeg_010375	mikado.HiC_scaffold_2.0G963.1
OG0000041	Sbro	KUTeg_010375	EVM0001753.1, EVM0020176.1
OG0000041	Azeb	KUTeg_012363	mikado.HiC_scaffold_15.0G2420.1
OG0000041	Sbro	KUTeg_012363	EVM0010456.1
OG0000041	Azeb	KUTeg_013710	mikado.HiC_scaffold_11.0G495.1, mikado.HiC_scaffold_12.3160685G454.1
OG0000041	Sbro	KUTeg_013710	EVM0002665.1
OG0000041	Azeb	KUTeg_006183	mikado.HiC_scaffold_1.0G772.1, mikado.HiC_scaffold_1.0G606.1
OG0000041	Sbro	KUTeg_006183	EVM0005406.1
OG0000042	Sbro	KUTeg_017398, KUTeg_017396, KUTeg_017395, KUTeg_022535	EVM0008077.1
OG0000042	Azeb	KUTeg_017398, KUTeg_017396, KUTeg_017395, KUTeg_022535	mikado.HiC_scaffold_19.0G141.1, mikado.HiC_scaffold_21.0G936.1
OG0000042	Sbro	KUTeg_002813, KUTeg_009013, KUTeg_005752, KUTeg_014482, KUTeg_011256, KUTeg_005866, KUTeg_007734, KUTeg_012497	EVM0020710.1, EVM0000196.1, EVM0000016.1
OG0000042	Azeb	KUTeg_002813, KUTeg_009013, KUTeg_005752, KUTeg_014482	mikado.HiC_scaffold_21.0G92.1, mikado.HiC_scaffold_15.0G259.1, mikado.HiC_scaffold_2.0G444.1
OG0000042	Azeb	KUTeg_011256, KUTeg_005866, KUTeg_007734, KUTeg_012497	mikado.HiC_scaffold_19.0G1297.1
OG0000043	Azeb	KUTeg_022217	mikado.HiC_scaffold_12.3160685G764.1
OG0000043	Azeb	KUTeg_012052, KUTeg_011869, KUTeg_011756, KUTeg_018732, KUTeg_002820, KUTeg_014628, KUTeg_024381, KUTeg_014574, KUTeg_011154, KUTeg_024122, KUTeg_018731, KUTeg_022395, KUTeg_021923, KUTeg_003035, KUTeg_021481, KUTeg_017304, KUTeg_021431	mikado.HiC_scaffold_4.0G418.1
OG0000043	Sbro	KUTeg_002820	EVM0023631.1
OG0000043	Sbro	KUTeg_014628, KUTeg_024381, KUTeg_014574, KUTeg_011154	EVM0004048.1
OG0000043	Sbro	KUTeg_018731	EVM0000644.1
OG0000043	Sbro	KUTeg_022395	EVM0010906.1
OG0000043	Sbro	KUTeg_021923, KUTeg_003035, KUTeg_021481, KUTeg_017304	EVM0014308.1
OG0000045	Sbro	KUTeg_015018	EVM0009924.1, EVM0008750.1, EVM0007615.1, EVM0017589.1, EVM0008444.1, EVM0005381.1, EVM0019710.1, EVM0021658.1, EVM0012456.1, EVM0021448.1, EVM0004336.1, EVM0023215.1, EVM0009574.1, EVM0008086.1, EVM0023995.1, EVM0002757.1, EVM0020890.1, EVM0015344.1, EVM0004989.1, EVM0000117.1, EVM0023826.1, EVM0003592.1, EVM0004146.1, EVM0021562.1
OG0000046	Azeb	KUTeg_016920, KUTeg_023295, KUTeg_017919, KUTeg_016919, KUTeg_010889, KUTeg_022293, KUTeg_009741, KUTeg_007615, KUTeg_005166, KUTeg_011589, KUTeg_011740, KUTeg_011625, KUTeg_023542, KUTeg_005874, KUTeg_017920, KUTeg_017793, KUTeg_003803, KUTeg_023296, KUTeg_024854, KUTeg_000022, KUTeg_015188, KUTeg_012507	mikado.HiC_scaffold_7.0G831.1
OG0000046	Sbro	KUTeg_016920, KUTeg_023295, KUTeg_017919, KUTeg_016919, KUTeg_010889, KUTeg_022293, KUTeg_009741, KUTeg_007615, KUTeg_005166, KUTeg_011589, KUTeg_011740, KUTeg_011625, KUTeg_023542, KUTeg_005874, KUTeg_017920, KUTeg_017793, KUTeg_003803, KUTeg_023296, KUTeg_024854, KUTeg_000022, KUTeg_015188, KUTeg_012507	EVM0012724.1
OG0000050	Azeb	KUTeg_006092, KUTeg_006086, KUTeg_006087, KUTeg_006084, KUTeg_015792, KUTeg_017312, KUTeg_006487, KUTeg_010626, KUTeg_006083, KUTeg_006085, KUTeg_006089, KUTeg_010631, KUTeg_006289, KUTeg_006088, KUTeg_001086, KUTeg_017311, KUTeg_006445, KUTeg_006294, KUTeg_006288, KUTeg_006292, KUTeg_006295, KUTeg_006453	mikado.HiC_scaffold_1.0G641.1
OG0000051	Sbro	KUTeg_022889	EVM0018424.1, EVM0021135.1
