Orthogroup	Species	Sbro	Orthologs
OG0000004	Azeb	EVM0009804.1	mikado.HiC_scaffold_2.0G517.1
OG0000004	Tgra	EVM0009804.1	KUTeg_015485, KUTeg_015704, KUTeg_011448, KUTeg_006131, KUTeg_006061, KUTeg_011449, KUTeg_011455, KUTeg_011432, KUTeg_008189, KUTeg_006058, KUTeg_011431, KUTeg_011451, KUTeg_014769, KUTeg_023489, KUTeg_017735, KUTeg_006060, KUTeg_006056, KUTeg_017302, KUTeg_000869, KUTeg_011435, KUTeg_006062, KUTeg_006132, KUTeg_006054, KUTeg_006057, KUTeg_001064, KUTeg_023480, KUTeg_001063, KUTeg_004002, KUTeg_003997, KUTeg_006059, KUTeg_006055, KUTeg_006262, KUTeg_006263, KUTeg_001069, KUTeg_008499, KUTeg_008500, KUTeg_023362, KUTeg_022848, KUTeg_011433, KUTeg_011439, KUTeg_011445, KUTeg_011454, KUTeg_011452, KUTeg_011430, KUTeg_011447, KUTeg_000870, KUTeg_011456, KUTeg_011446
OG0000008	Azeb	EVM0016222.1, EVM0023822.1, EVM0003754.1, EVM0018345.1, EVM0001727.1, EVM0018861.1, EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1, EVM0012425.1, EVM0014483.1, EVM0013928.1, EVM0014219.1, EVM0004848.1, EVM0006463.1, EVM0019792.1, EVM0021542.1, EVM0023738.1, EVM0022120.1, EVM0012401.1, EVM0012803.1, EVM0014508.1, EVM0010265.1, EVM0016527.1, EVM0008405.1, EVM0023544.1, EVM0019596.1, EVM0018461.1, EVM0009263.1, EVM0003525.1, EVM0000755.1, EVM0008250.1	mikado.HiC_scaffold_19.0G435.1
OG0000008	Tgra	EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1	KUTeg_022192
OG0000008	Tgra	EVM0012425.1	KUTeg_006471
OG0000008	Tgra	EVM0008250.1	KUTeg_009614
OG0000011	Azeb	EVM0007388.1	mikado.HiC_scaffold_18.0G807.1, mikado.HiC_scaffold_5.0G204.1, mikado.HiC_scaffold_1.0G364.1, mikado.HiC_scaffold_18.0G138.1, mikado.HiC_scaffold_18.0G37.1, mikado.HiC_scaffold_17.0G120.1, mikado.HiC_scaffold_11.0G16.1, mikado.HiC_scaffold_19.0G1324.1, mikado.HiC_scaffold_11.0G612.1, mikado.HiC_scaffold_15.0G1422.1, mikado.HiC_scaffold_18.0G36.1, mikado.HiC_scaffold_18.0G327.1, mikado.HiC_scaffold_10.0G531.1, mikado.HiC_scaffold_12.3160685G17.1, mikado.HiC_scaffold_12.3160685G44.1, mikado.HiC_scaffold_18.0G341.1, mikado.HiC_scaffold_18.0G245.1, mikado.HiC_scaffold_1.0G291.1, mikado.HiC_scaffold_1.0G301.1, mikado.HiC_scaffold_143G3.1, mikado.HiC_scaffold_19.0G1390.1, mikado.HiC_scaffold_18.0G296.1, mikado.HiC_scaffold_18.0G303.1, mikado.HiC_scaffold_17.0G215.1, mikado.HiC_scaffold_17.0G995.1, mikado.HiC_scaffold_5.0G282.1, mikado.HiC_scaffold_17.0G677.1, mikado.HiC_scaffold_5.0G200.1, mikado.HiC_scaffold_2.0G33.1, mikado.HiC_scaffold_5.0G199.1, mikado.HiC_scaffold_5.0G306.1, mikado.HiC_scaffold_17.0G110.1, mikado.HiC_scaffold_9.0G1510.2, mikado.HiC_scaffold_9.0G1510.1, mikado.HiC_scaffold_17.0G561.1
OG0000012	Azeb	EVM0006215.1	mikado.HiC_scaffold_4.0G635.1
OG0000012	Azeb	EVM0018945.1	mikado.HiC_scaffold_4.0G330.1, mikado.HiC_scaffold_4.0G257.1, mikado.HiC_scaffold_4.0G636.1, mikado.HiC_scaffold_4.0G252.1, mikado.HiC_scaffold_4.0G253.1, mikado.HiC_scaffold_4.0G251.1, mikado.HiC_scaffold_4.0G250.1, mikado.HiC_scaffold_21.0G470.1, mikado.HiC_scaffold_21.0G28.1, mikado.HiC_scaffold_21.0G30.1, mikado.HiC_scaffold_21.0G31.1, mikado.HiC_scaffold_21.0G29.1, mikado.HiC_scaffold_4.0G255.1, mikado.HiC_scaffold_4.0G256.1, mikado.HiC_scaffold_4.0G254.1, mikado.HiC_scaffold_4.0G307.1, mikado.HiC_scaffold_9.0G205.1, mikado.HiC_scaffold_4.0G164.1, mikado.HiC_scaffold_4.0G154.1, mikado.HiC_scaffold_4.0G156.1, mikado.HiC_scaffold_4.0G163.1, mikado.HiC_scaffold_17.0G779.1, mikado.HiC_scaffold_17.0G780.1, mikado.HiC_scaffold_17.0G778.1, mikado.HiC_scaffold_4.0G155.1, mikado.HiC_scaffold_4.0G159.1, mikado.HiC_scaffold_4.0G157.1, mikado.HiC_scaffold_4.0G160.1, mikado.HiC_scaffold_4.0G158.1, mikado.HiC_scaffold_4.0G161.1, mikado.HiC_scaffold_4.0G162.1, mikado.HiC_scaffold_1.0G10.1
OG0000014	Azeb	EVM0020362.1	mikado.HiC_scaffold_2.0G58.1, mikado.HiC_scaffold_13.0G880.1, mikado.HiC_scaffold_5.0G241.1, mikado.HiC_scaffold_5.0G241.2, mikado.HiC_scaffold_17.0G802.1, mikado.HiC_scaffold_17.0G803.1, mikado.HiC_scaffold_14.0G892.1, mikado.HiC_scaffold_14.0G893.1, mikado.HiC_scaffold_10.0G197.1, mikado.HiC_scaffold_10.0G196.1, mikado.HiC_scaffold_10.0G431.1, mikado.HiC_scaffold_13.0G1464.1, mikado.HiC_scaffold_10.0G397.1, mikado.HiC_scaffold_10.0G436.1, mikado.HiC_scaffold_10.0G399.1, mikado.HiC_scaffold_10.0G398.1, mikado.HiC_scaffold_3.0G374.1, mikado.HiC_scaffold_4.0G503.1, mikado.HiC_scaffold_16.0G513.1, mikado.HiC_scaffold_9.0G566.1, mikado.HiC_scaffold_9.0G565.1, mikado.HiC_scaffold_9.0G567.1, mikado.HiC_scaffold_5.0G270.1, mikado.HiC_scaffold_5.0G254.1, mikado.HiC_scaffold_17.0G801.1, mikado.HiC_scaffold_17.0G228.1, mikado.HiC_scaffold_14.0G704.2, mikado.HiC_scaffold_14.0G705.1, mikado.HiC_scaffold_14.0G704.1, mikado.HiC_scaffold_14.0G891.1, mikado.HiC_scaffold_13.0G881.1, mikado.HiC_scaffold_12.3160685G104.1, mikado.HiC_scaffold_10.0G149.1
OG0000015	Tgra	EVM0017892.1	KUTeg_002913, KUTeg_005788
OG0000015	Tgra	EVM0021996.1	KUTeg_017319, KUTeg_005377, KUTeg_018463, KUTeg_014564, KUTeg_014724, KUTeg_011243, KUTeg_014799, KUTeg_014797, KUTeg_014721, KUTeg_017320, KUTeg_014719, KUTeg_002914, KUTeg_017322, KUTeg_015689, KUTeg_011230, KUTeg_011245, KUTeg_014718, KUTeg_002878, KUTeg_017321, KUTeg_005432, KUTeg_014800, KUTeg_005543, KUTeg_005546, KUTeg_017323, KUTeg_014722, KUTeg_005376, KUTeg_014798, KUTeg_014725, KUTeg_011229, KUTeg_009057
OG0000016	Tgra	EVM0015943.1	KUTeg_008976, KUTeg_010577, KUTeg_004493, KUTeg_018047, KUTeg_008454, KUTeg_013667, KUTeg_001014, KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281, KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535
OG0000016	Azeb	EVM0015943.1	mikado.HiC_scaffold_21.0G1003.1, mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1, mikado.HiC_scaffold_18.0G1339.1
OG0000017	Tgra	EVM0009242.1, EVM0020778.1	KUTeg_011932, KUTeg_009324, KUTeg_021486, KUTeg_000996, KUTeg_021980, KUTeg_014613
OG0000017	Tgra	EVM0007965.1	KUTeg_017219
OG0000017	Tgra	EVM0023499.1, EVM0023306.1, EVM0008269.1	KUTeg_006561, KUTeg_017217, KUTeg_014622
OG0000017	Tgra	EVM0000837.1, EVM0019665.1, EVM0015619.1, EVM0005663.1, EVM0013176.1	KUTeg_001320
OG0000017	Tgra	EVM0023571.1, EVM0018113.1, EVM0011639.1	KUTeg_010499
OG0000017	Tgra	EVM0009068.1, EVM0020546.1	KUTeg_001323
OG0000018	Tgra	EVM0022928.1, EVM0007449.1, EVM0018717.1	KUTeg_017886, KUTeg_008019, KUTeg_006110, KUTeg_002456, KUTeg_015732, KUTeg_000735, KUTeg_017986, KUTeg_011453, KUTeg_014712, KUTeg_004292, KUTeg_016405, KUTeg_017883, KUTeg_007080, KUTeg_006323, KUTeg_010173, KUTeg_014489, KUTeg_012755, KUTeg_015709, KUTeg_019254, KUTeg_007429, KUTeg_015771, KUTeg_015517, KUTeg_015142, KUTeg_000740, KUTeg_006417, KUTeg_007001, KUTeg_016406, KUTeg_010576, KUTeg_015710, KUTeg_006910
OG0000020	Tgra	EVM0014346.1	KUTeg_009325, KUTeg_022001
OG0000020	Azeb	EVM0014346.1	mikado.HiC_scaffold_21.0G19.1, mikado.HiC_scaffold_1098G1.1
OG0000021	Azeb	EVM0019284.1, EVM0004162.1, EVM0001849.1, EVM0011858.1, EVM0003070.1, EVM0014963.1, EVM0002793.1, EVM0022902.1, EVM0007223.1, EVM0008968.1, EVM0008337.1, EVM0000540.1, EVM0004402.1	mikado.HiC_scaffold_4.0G910.1
OG0000021	Tgra	EVM0002793.1	KUTeg_010934
OG0000021	Tgra	EVM0022902.1, EVM0007223.1	KUTeg_001008, KUTeg_010716
OG0000021	Tgra	EVM0008968.1	KUTeg_007311
OG0000021	Tgra	EVM0008337.1, EVM0000540.1	KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511
OG0000021	Tgra	EVM0004402.1	KUTeg_010966, KUTeg_010892, KUTeg_010891
OG0000022	Tgra	EVM0009687.1, EVM0012681.1	KUTeg_000915, KUTeg_009158, KUTeg_011460, KUTeg_011443, KUTeg_011463, KUTeg_014561, KUTeg_015760, KUTeg_015744, KUTeg_015743, KUTeg_012814, KUTeg_012816, KUTeg_017303, KUTeg_009275, KUTeg_010987, KUTeg_012815, KUTeg_010988, KUTeg_012811, KUTeg_011406, KUTeg_004438, KUTeg_012813, KUTeg_017383, KUTeg_011461, KUTeg_011407, KUTeg_010985, KUTeg_010990, KUTeg_012812, KUTeg_010816, KUTeg_010982, KUTeg_009277
OG0000023	Azeb	EVM0016395.1	mikado.HiC_scaffold_13.0G1581.2, mikado.HiC_scaffold_13.0G1581.1, mikado.HiC_scaffold_13.0G1577.1, mikado.HiC_scaffold_16.0G1847.1, mikado.HiC_scaffold_5.0G683.1, mikado.HiC_scaffold_5.0G682.1, mikado.HiC_scaffold_1.0G188.1, mikado.HiC_scaffold_12.3160685G761.1, mikado.HiC_scaffold_5.0G684.1, mikado.HiC_scaffold_8.8335562G237.1, mikado.HiC_scaffold_8.8335562G240.1, mikado.HiC_scaffold_8.8335562G243.1, mikado.HiC_scaffold_8.8335562G236.1, mikado.HiC_scaffold_8.8335562G244.1, mikado.HiC_scaffold_8.8335562G239.1, mikado.HiC_scaffold_17.0G476.1, mikado.HiC_scaffold_17.0G477.1, mikado.HiC_scaffold_17.0G478.1, mikado.HiC_scaffold_8.8335562G902.1, mikado.HiC_scaffold_8.8335562G901.1, mikado.HiC_scaffold_8.8335562G898.1, mikado.HiC_scaffold_8.8335562G897.1, mikado.HiC_scaffold_4.0G375.1, mikado.HiC_scaffold_12.3160685G730.1, mikado.HiC_scaffold_18.0G1349.1, mikado.HiC_scaffold_18.0G1350.1, mikado.HiC_scaffold_9.0G108.1, mikado.HiC_scaffold_2.0G1110.1, mikado.HiC_scaffold_2.0G1111.1
OG0000024	Azeb	EVM0015677.1	mikado.HiC_scaffold_7.0G1197.1
OG0000024	Azeb	EVM0012019.1	mikado.HiC_scaffold_16.0G567.1, mikado.HiC_scaffold_9.0G330.1, mikado.HiC_scaffold_15.0G1046.1, mikado.HiC_scaffold_10.0G588.1, mikado.HiC_scaffold_10.0G589.1, mikado.HiC_scaffold_10.0G788.1, mikado.HiC_scaffold_10.0G787.1, mikado.HiC_scaffold_10.0G786.1, mikado.HiC_scaffold_12.3160685G348.1, mikado.HiC_scaffold_19.0G771.1, mikado.HiC_scaffold_2.0G199.1, mikado.HiC_scaffold_9.0G328.1, mikado.HiC_scaffold_9.0G328.2, mikado.HiC_scaffold_9.0G332.2, mikado.HiC_scaffold_9.0G332.1
OG0000024	Tgra	EVM0012019.1	KUTeg_010219
OG0000024	Azeb	EVM0017141.1	mikado.HiC_scaffold_10.0G581.1, mikado.HiC_scaffold_10.0G275.1, mikado.HiC_scaffold_10.0G318.1, mikado.HiC_scaffold_10.0G319.1
OG0000026	Azeb	EVM0003388.1	mikado.HiC_scaffold_14.0G615.1
OG0000026	Tgra	EVM0003388.1	KUTeg_005071
OG0000026	Azeb	EVM0006769.1	mikado.HiC_scaffold_19.0G963.1
OG0000026	Tgra	EVM0006769.1	KUTeg_021963, KUTeg_011545
OG0000026	Tgra	EVM0009954.1, EVM0003412.1, EVM0016095.1, EVM0013042.1	KUTeg_004119
OG0000026	Azeb	EVM0009954.1	mikado.HiC_scaffold_13.0G591.1, mikado.HiC_scaffold_13.0G590.1
OG0000026	Azeb	EVM0003412.1, EVM0016095.1, EVM0013042.1	mikado.HiC_scaffold_12.3160685G1006.1, mikado.HiC_scaffold_12.3160685G887.1
OG0000026	Azeb	EVM0001953.1	mikado.HiC_scaffold_5.0G735.1
OG0000026	Tgra	EVM0001953.1	KUTeg_017894
OG0000026	Azeb	EVM0011835.1, EVM0019614.1, EVM0004665.1, EVM0000756.1, EVM0002914.1	mikado.HiC_scaffold_11.0G145.1, mikado.HiC_scaffold_13.0G596.1
OG0000029	Azeb	EVM0000324.1	mikado.HiC_scaffold_1.0G672.1, mikado.HiC_scaffold_1.0G639.1
OG0000029	Tgra	EVM0000324.1	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003
OG0000034	Tgra	EVM0011758.1, EVM0016847.1, EVM0017452.1, EVM0007311.1, EVM0010018.1, EVM0014989.1, EVM0009617.1, EVM0020518.1, EVM0010597.1, EVM0012679.1, EVM0007753.1, EVM0015649.1, EVM0010218.1, EVM0001105.1, EVM0017917.1, EVM0003536.1, EVM0017466.1, EVM0021109.1, EVM0023149.1, EVM0003524.1, EVM0010010.1, EVM0003917.1, EVM0021332.1, EVM0014716.1, EVM0018088.1, EVM0022726.1	KUTeg_006888
OG0000035	Azeb	EVM0008024.1	mikado.HiC_scaffold_19.0G190.1, mikado.HiC_scaffold_1.0G764.1, mikado.HiC_scaffold_1.0G1136.1, mikado.HiC_scaffold_15.0G1444.1, mikado.HiC_scaffold_10.0G71.1, mikado.HiC_scaffold_1.0G1129.1, mikado.HiC_scaffold_1.0G244.2, mikado.HiC_scaffold_1.0G244.1, mikado.HiC_scaffold_1.0G245.1, mikado.HiC_scaffold_1.0G525.1, mikado.HiC_scaffold_11.0G466.1, mikado.HiC_scaffold_1.0G1138.1, mikado.HiC_scaffold_13.0G1164.1, mikado.HiC_scaffold_1.0G1063.1, mikado.HiC_scaffold_1.0G514.1, mikado.HiC_scaffold_5.0G93.1, mikado.HiC_scaffold_1.0G1131.1, mikado.HiC_scaffold_421G1.1, mikado.HiC_scaffold_1.0G1132.1, mikado.HiC_scaffold_1.0G1124.3, mikado.HiC_scaffold_1.0G1124.2, mikado.HiC_scaffold_1.0G1124.1, mikado.HiC_scaffold_1.0G1128.1, mikado.HiC_scaffold_1.0G1098.1, mikado.HiC_scaffold_1.0G1130.1
OG0000036	Azeb	EVM0020283.1	mikado.HiC_scaffold_13.0G1142.1, mikado.HiC_scaffold_13.0G1147.1, mikado.HiC_scaffold_7.0G14.1, mikado.HiC_scaffold_7.0G8.1, mikado.HiC_scaffold_4.0G809.1, mikado.HiC_scaffold_7.0G10.1, mikado.HiC_scaffold_7.0G1235.1, mikado.HiC_scaffold_3.0G505.1, mikado.HiC_scaffold_3.0G508.1, mikado.HiC_scaffold_17.0G1125.1, mikado.HiC_scaffold_7.0G185.1, mikado.HiC_scaffold_13.0G1098.1, mikado.HiC_scaffold_3.0G464.1, mikado.HiC_scaffold_3.0G467.1, mikado.HiC_scaffold_19.0G387.1, mikado.HiC_scaffold_19.0G379.1, mikado.HiC_scaffold_19.0G968.1, mikado.HiC_scaffold_9.0G366.1, mikado.HiC_scaffold_19.0G966.1, mikado.HiC_scaffold_19.0G768.1, mikado.HiC_scaffold_16.0G1096.1, mikado.HiC_scaffold_19.0G64.1, mikado.HiC_scaffold_19.0G70.1
OG0000036	Tgra	EVM0020283.1	KUTeg_024545, KUTeg_024194
OG0000037	Azeb	EVM0008902.1, EVM0011236.1, EVM0002734.1	mikado.HiC_scaffold_4.0G302.1
OG0000037	Tgra	EVM0008902.1, EVM0011236.1, EVM0002734.1	KUTeg_018725, KUTeg_016414, KUTeg_020464, KUTeg_008970, KUTeg_018201, KUTeg_022695, KUTeg_006601, KUTeg_008152, KUTeg_007704, KUTeg_018773, KUTeg_017797, KUTeg_022209, KUTeg_014487, KUTeg_021772, KUTeg_004627, KUTeg_000018, KUTeg_007293, KUTeg_008996
OG0000038	Azeb	EVM0010121.1	mikado.HiC_scaffold_13.0G974.1
OG0000038	Tgra	EVM0010121.1	KUTeg_016856
OG0000038	Tgra	EVM0021829.1	KUTeg_011543
OG0000038	Tgra	EVM0015420.1, EVM0018528.1, EVM0007404.1, EVM0019691.1, EVM0019551.1, EVM0007686.1, EVM0022083.1, EVM0005413.1, EVM0000476.1	KUTeg_012113
OG0000038	Azeb	EVM0008175.1	mikado.HiC_scaffold_13.0G1088.1, mikado.HiC_scaffold_7.0G147.1, mikado.HiC_scaffold_13.0G1082.1, mikado.HiC_scaffold_13.0G1085.1, mikado.HiC_scaffold_13.0G1084.1
OG0000039	Azeb	EVM0006909.1, EVM0018021.1, EVM0002287.1	mikado.HiC_scaffold_19.0G985.1
