Orthogroup	Species	Azeb	Orthologs
OG0000004	Sbro	mikado.HiC_scaffold_2.0G517.1	EVM0009804.1
OG0000004	Tgra	mikado.HiC_scaffold_2.0G517.1	KUTeg_015485, KUTeg_015704, KUTeg_011448, KUTeg_006131, KUTeg_006061, KUTeg_011449, KUTeg_011455, KUTeg_011432, KUTeg_008189, KUTeg_006058, KUTeg_011431, KUTeg_011451, KUTeg_014769, KUTeg_023489, KUTeg_017735, KUTeg_006060, KUTeg_006056, KUTeg_017302, KUTeg_000869, KUTeg_011435, KUTeg_006062, KUTeg_006132, KUTeg_006054, KUTeg_006057, KUTeg_001064, KUTeg_023480, KUTeg_001063, KUTeg_004002, KUTeg_003997, KUTeg_006059, KUTeg_006055, KUTeg_006262, KUTeg_006263, KUTeg_001069, KUTeg_008499, KUTeg_008500, KUTeg_023362, KUTeg_022848, KUTeg_011433, KUTeg_011439, KUTeg_011445, KUTeg_011454, KUTeg_011452, KUTeg_011430, KUTeg_011447, KUTeg_000870, KUTeg_011456, KUTeg_011446
OG0000005	Tgra	mikado.HiC_scaffold_5.0G539.1	KUTeg_024695
OG0000005	Tgra	mikado.HiC_scaffold_17.0G376.1	KUTeg_016065, KUTeg_019685, KUTeg_015565, KUTeg_004162, KUTeg_000337, KUTeg_000836, KUTeg_000134, KUTeg_000630, KUTeg_001239, KUTeg_001237, KUTeg_001049, KUTeg_001238, KUTeg_019683, KUTeg_001236, KUTeg_001048, KUTeg_001046, KUTeg_009331, KUTeg_000336, KUTeg_000340, KUTeg_000139, KUTeg_000837, KUTeg_001050, KUTeg_000339, KUTeg_020103, KUTeg_009333, KUTeg_009330, KUTeg_001047, KUTeg_012244, KUTeg_024142, KUTeg_023910, KUTeg_024051, KUTeg_024822, KUTeg_024226, KUTeg_023941, KUTeg_024363, KUTeg_024145, KUTeg_024151, KUTeg_024574, KUTeg_025055, KUTeg_024366, KUTeg_024364, KUTeg_024144, KUTeg_024367, KUTeg_024362, KUTeg_024405, KUTeg_024090
OG0000006	Tgra	mikado.HiC_scaffold_19.0G1479.1, mikado.HiC_scaffold_13.0G1579.1, mikado.HiC_scaffold_13.0G1276.1, mikado.HiC_scaffold_7.0G358.1, mikado.HiC_scaffold_10.0G336.1, mikado.HiC_scaffold_13.0G219.1, mikado.HiC_scaffold_10.0G877.1, mikado.HiC_scaffold_15.0G1320.1, mikado.HiC_scaffold_21.0G1238.1, mikado.HiC_scaffold_8.8335562G831.1, mikado.HiC_scaffold_7.0G1245.1, mikado.HiC_scaffold_4.0G867.1, mikado.HiC_scaffold_5.0G529.1, mikado.HiC_scaffold_19.0G793.2, mikado.HiC_scaffold_19.0G793.1, mikado.HiC_scaffold_21.0G1231.1, mikado.HiC_scaffold_21.0G164.1, mikado.HiC_scaffold_17.0G591.1, mikado.HiC_scaffold_521G1.2, mikado.HiC_scaffold_15.0G919.1, mikado.HiC_scaffold_19.0G1497.2, mikado.HiC_scaffold_8.8335562G757.1, mikado.HiC_scaffold_2.0G405.1, mikado.HiC_scaffold_21.0G1051.1, mikado.HiC_scaffold_15.0G1419.2, mikado.HiC_scaffold_15.0G1419.3, mikado.HiC_scaffold_15.0G1419.1, mikado.HiC_scaffold_7.0G1121.1, mikado.HiC_scaffold_16.0G1667.1, mikado.HiC_scaffold_1.0G659.1, mikado.HiC_scaffold_4.0G387.2, mikado.HiC_scaffold_4.0G387.1, mikado.HiC_scaffold_10.0G821.1, mikado.HiC_scaffold_19.0G1497.1, mikado.HiC_scaffold_521G1.3, mikado.HiC_scaffold_521G1.1, mikado.HiC_scaffold_17.0G959.1, mikado.HiC_scaffold_10.0G540.1, mikado.HiC_scaffold_13.0G1448.1, mikado.HiC_scaffold_4.0G868.1, mikado.HiC_scaffold_7.0G1246.1, mikado.HiC_scaffold_728G1.1, mikado.HiC_scaffold_728G1.2, mikado.HiC_scaffold_19.0G1334.1, mikado.HiC_scaffold_3.0G1016.2, mikado.HiC_scaffold_3.0G1016.1, mikado.HiC_scaffold_650G1.1	KUTeg_021248
OG0000008	Sbro	mikado.HiC_scaffold_19.0G435.1	EVM0016222.1, EVM0023822.1, EVM0003754.1, EVM0018345.1, EVM0001727.1, EVM0018861.1, EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1, EVM0012425.1, EVM0014483.1, EVM0013928.1, EVM0014219.1, EVM0004848.1, EVM0006463.1, EVM0019792.1, EVM0021542.1, EVM0023738.1, EVM0022120.1, EVM0012401.1, EVM0012803.1, EVM0014508.1, EVM0010265.1, EVM0016527.1, EVM0008405.1, EVM0023544.1, EVM0019596.1, EVM0018461.1, EVM0009263.1, EVM0003525.1, EVM0000755.1, EVM0008250.1
OG0000008	Tgra	mikado.HiC_scaffold_19.0G435.1	KUTeg_022192, KUTeg_006471, KUTeg_009614
OG0000009	Tgra	mikado.HiC_scaffold_21.0G663.1	KUTeg_002928
OG0000009	Tgra	mikado.HiC_scaffold_2.0G941.1, mikado.HiC_scaffold_16.0G1398.1	KUTeg_010789
OG0000009	Tgra	mikado.HiC_scaffold_21.0G370.1	KUTeg_015904
OG0000009	Tgra	mikado.HiC_scaffold_19.0G400.1, mikado.HiC_scaffold_3.0G159.1	KUTeg_016833, KUTeg_016834
OG0000011	Sbro	mikado.HiC_scaffold_18.0G807.1, mikado.HiC_scaffold_5.0G204.1, mikado.HiC_scaffold_1.0G364.1, mikado.HiC_scaffold_18.0G138.1, mikado.HiC_scaffold_18.0G37.1, mikado.HiC_scaffold_17.0G120.1, mikado.HiC_scaffold_11.0G16.1, mikado.HiC_scaffold_19.0G1324.1, mikado.HiC_scaffold_11.0G612.1, mikado.HiC_scaffold_15.0G1422.1, mikado.HiC_scaffold_18.0G36.1, mikado.HiC_scaffold_18.0G327.1, mikado.HiC_scaffold_10.0G531.1, mikado.HiC_scaffold_12.3160685G17.1, mikado.HiC_scaffold_12.3160685G44.1, mikado.HiC_scaffold_18.0G341.1, mikado.HiC_scaffold_18.0G245.1, mikado.HiC_scaffold_1.0G291.1, mikado.HiC_scaffold_1.0G301.1, mikado.HiC_scaffold_143G3.1, mikado.HiC_scaffold_19.0G1390.1, mikado.HiC_scaffold_18.0G296.1, mikado.HiC_scaffold_18.0G303.1, mikado.HiC_scaffold_17.0G215.1, mikado.HiC_scaffold_17.0G995.1, mikado.HiC_scaffold_5.0G282.1, mikado.HiC_scaffold_17.0G677.1, mikado.HiC_scaffold_5.0G200.1, mikado.HiC_scaffold_2.0G33.1, mikado.HiC_scaffold_5.0G199.1, mikado.HiC_scaffold_5.0G306.1, mikado.HiC_scaffold_17.0G110.1, mikado.HiC_scaffold_9.0G1510.2, mikado.HiC_scaffold_9.0G1510.1, mikado.HiC_scaffold_17.0G561.1	EVM0007388.1
OG0000012	Sbro	mikado.HiC_scaffold_4.0G635.1	EVM0006215.1
OG0000012	Sbro	mikado.HiC_scaffold_4.0G330.1, mikado.HiC_scaffold_4.0G257.1, mikado.HiC_scaffold_4.0G636.1, mikado.HiC_scaffold_4.0G252.1, mikado.HiC_scaffold_4.0G253.1, mikado.HiC_scaffold_4.0G251.1, mikado.HiC_scaffold_4.0G250.1, mikado.HiC_scaffold_21.0G470.1, mikado.HiC_scaffold_21.0G28.1, mikado.HiC_scaffold_21.0G30.1, mikado.HiC_scaffold_21.0G31.1, mikado.HiC_scaffold_21.0G29.1, mikado.HiC_scaffold_4.0G255.1, mikado.HiC_scaffold_4.0G256.1, mikado.HiC_scaffold_4.0G254.1, mikado.HiC_scaffold_4.0G307.1, mikado.HiC_scaffold_9.0G205.1, mikado.HiC_scaffold_4.0G164.1, mikado.HiC_scaffold_4.0G154.1, mikado.HiC_scaffold_4.0G156.1, mikado.HiC_scaffold_4.0G163.1, mikado.HiC_scaffold_17.0G779.1, mikado.HiC_scaffold_17.0G780.1, mikado.HiC_scaffold_17.0G778.1, mikado.HiC_scaffold_4.0G155.1, mikado.HiC_scaffold_4.0G159.1, mikado.HiC_scaffold_4.0G157.1, mikado.HiC_scaffold_4.0G160.1, mikado.HiC_scaffold_4.0G158.1, mikado.HiC_scaffold_4.0G161.1, mikado.HiC_scaffold_4.0G162.1, mikado.HiC_scaffold_1.0G10.1	EVM0018945.1
OG0000013	Tgra	mikado.HiC_scaffold_21.0G22.1	KUTeg_009093, KUTeg_011859, KUTeg_000713, KUTeg_000561, KUTeg_006825, KUTeg_022144, KUTeg_012634, KUTeg_021226, KUTeg_004839, KUTeg_007251, KUTeg_022143, KUTeg_011880, KUTeg_005983, KUTeg_012216, KUTeg_016148, KUTeg_011747, KUTeg_011593, KUTeg_020710, KUTeg_023570, KUTeg_018772, KUTeg_011424, KUTeg_018845, KUTeg_012602, KUTeg_005415, KUTeg_017542, KUTeg_011101, KUTeg_015474, KUTeg_020704, KUTeg_005418, KUTeg_023571, KUTeg_018846, KUTeg_020711, KUTeg_021217, KUTeg_011594
OG0000014	Sbro	mikado.HiC_scaffold_2.0G58.1, mikado.HiC_scaffold_13.0G880.1, mikado.HiC_scaffold_5.0G241.1, mikado.HiC_scaffold_5.0G241.2, mikado.HiC_scaffold_17.0G802.1, mikado.HiC_scaffold_17.0G803.1, mikado.HiC_scaffold_14.0G892.1, mikado.HiC_scaffold_14.0G893.1, mikado.HiC_scaffold_10.0G197.1, mikado.HiC_scaffold_10.0G196.1, mikado.HiC_scaffold_10.0G431.1, mikado.HiC_scaffold_13.0G1464.1, mikado.HiC_scaffold_10.0G397.1, mikado.HiC_scaffold_10.0G436.1, mikado.HiC_scaffold_10.0G399.1, mikado.HiC_scaffold_10.0G398.1, mikado.HiC_scaffold_3.0G374.1, mikado.HiC_scaffold_4.0G503.1, mikado.HiC_scaffold_16.0G513.1, mikado.HiC_scaffold_9.0G566.1, mikado.HiC_scaffold_9.0G565.1, mikado.HiC_scaffold_9.0G567.1, mikado.HiC_scaffold_5.0G270.1, mikado.HiC_scaffold_5.0G254.1, mikado.HiC_scaffold_17.0G801.1, mikado.HiC_scaffold_17.0G228.1, mikado.HiC_scaffold_14.0G704.2, mikado.HiC_scaffold_14.0G705.1, mikado.HiC_scaffold_14.0G704.1, mikado.HiC_scaffold_14.0G891.1, mikado.HiC_scaffold_13.0G881.1, mikado.HiC_scaffold_12.3160685G104.1, mikado.HiC_scaffold_10.0G149.1	EVM0020362.1
OG0000016	Sbro	mikado.HiC_scaffold_21.0G1003.1, mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1, mikado.HiC_scaffold_18.0G1339.1	EVM0015943.1
OG0000016	Tgra	mikado.HiC_scaffold_21.0G1003.1	KUTeg_008976, KUTeg_010577, KUTeg_004493
OG0000016	Tgra	mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1	KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281
OG0000016	Tgra	mikado.HiC_scaffold_18.0G1339.1	KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535
OG0000020	Tgra	mikado.HiC_scaffold_21.0G19.1, mikado.HiC_scaffold_1098G1.1	KUTeg_009325, KUTeg_022001
OG0000020	Sbro	mikado.HiC_scaffold_21.0G19.1, mikado.HiC_scaffold_1098G1.1	EVM0014346.1
OG0000020	Tgra	mikado.HiC_scaffold_19.0G689.1	KUTeg_018650, KUTeg_002818, KUTeg_012096, KUTeg_014416, KUTeg_014871, KUTeg_017403, KUTeg_017072, KUTeg_021835, KUTeg_014870, KUTeg_019674, KUTeg_021828, KUTeg_018680, KUTeg_009779, KUTeg_007331, KUTeg_017745, KUTeg_021794, KUTeg_023089, KUTeg_021596, KUTeg_006560, KUTeg_014495, KUTeg_001305, KUTeg_011997, KUTeg_012184, KUTeg_012793, KUTeg_001006, KUTeg_014607
OG0000021	Tgra	mikado.HiC_scaffold_4.0G910.1	KUTeg_010865, KUTeg_010926, KUTeg_010934, KUTeg_001008, KUTeg_010716, KUTeg_007311, KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511, KUTeg_010966, KUTeg_010892, KUTeg_010891
OG0000021	Sbro	mikado.HiC_scaffold_4.0G910.1	EVM0019284.1, EVM0004162.1, EVM0001849.1, EVM0011858.1, EVM0003070.1, EVM0014963.1, EVM0002793.1, EVM0022902.1, EVM0007223.1, EVM0008968.1, EVM0008337.1, EVM0000540.1, EVM0004402.1
OG0000023	Sbro	mikado.HiC_scaffold_13.0G1581.2, mikado.HiC_scaffold_13.0G1581.1, mikado.HiC_scaffold_13.0G1577.1, mikado.HiC_scaffold_16.0G1847.1, mikado.HiC_scaffold_5.0G683.1, mikado.HiC_scaffold_5.0G682.1, mikado.HiC_scaffold_1.0G188.1, mikado.HiC_scaffold_12.3160685G761.1, mikado.HiC_scaffold_5.0G684.1, mikado.HiC_scaffold_8.8335562G237.1, mikado.HiC_scaffold_8.8335562G240.1, mikado.HiC_scaffold_8.8335562G243.1, mikado.HiC_scaffold_8.8335562G236.1, mikado.HiC_scaffold_8.8335562G244.1, mikado.HiC_scaffold_8.8335562G239.1, mikado.HiC_scaffold_17.0G476.1, mikado.HiC_scaffold_17.0G477.1, mikado.HiC_scaffold_17.0G478.1, mikado.HiC_scaffold_8.8335562G902.1, mikado.HiC_scaffold_8.8335562G901.1, mikado.HiC_scaffold_8.8335562G898.1, mikado.HiC_scaffold_8.8335562G897.1, mikado.HiC_scaffold_4.0G375.1, mikado.HiC_scaffold_12.3160685G730.1, mikado.HiC_scaffold_18.0G1349.1, mikado.HiC_scaffold_18.0G1350.1, mikado.HiC_scaffold_9.0G108.1, mikado.HiC_scaffold_2.0G1110.1, mikado.HiC_scaffold_2.0G1111.1	EVM0016395.1
OG0000024	Sbro	mikado.HiC_scaffold_7.0G1197.1	EVM0015677.1
OG0000024	Sbro	mikado.HiC_scaffold_16.0G567.1, mikado.HiC_scaffold_9.0G330.1, mikado.HiC_scaffold_15.0G1046.1, mikado.HiC_scaffold_10.0G588.1, mikado.HiC_scaffold_10.0G589.1, mikado.HiC_scaffold_10.0G788.1, mikado.HiC_scaffold_10.0G787.1, mikado.HiC_scaffold_10.0G786.1, mikado.HiC_scaffold_12.3160685G348.1, mikado.HiC_scaffold_19.0G771.1, mikado.HiC_scaffold_2.0G199.1, mikado.HiC_scaffold_9.0G328.1, mikado.HiC_scaffold_9.0G328.2, mikado.HiC_scaffold_9.0G332.2, mikado.HiC_scaffold_9.0G332.1	EVM0012019.1
OG0000024	Tgra	mikado.HiC_scaffold_16.0G567.1, mikado.HiC_scaffold_9.0G330.1, mikado.HiC_scaffold_15.0G1046.1, mikado.HiC_scaffold_10.0G588.1, mikado.HiC_scaffold_10.0G589.1, mikado.HiC_scaffold_10.0G788.1, mikado.HiC_scaffold_10.0G787.1, mikado.HiC_scaffold_10.0G786.1, mikado.HiC_scaffold_12.3160685G348.1, mikado.HiC_scaffold_19.0G771.1, mikado.HiC_scaffold_2.0G199.1, mikado.HiC_scaffold_9.0G328.1, mikado.HiC_scaffold_9.0G328.2, mikado.HiC_scaffold_9.0G332.2, mikado.HiC_scaffold_9.0G332.1	KUTeg_010219
OG0000024	Sbro	mikado.HiC_scaffold_10.0G581.1, mikado.HiC_scaffold_10.0G275.1, mikado.HiC_scaffold_10.0G318.1, mikado.HiC_scaffold_10.0G319.1	EVM0017141.1
OG0000026	Tgra	mikado.HiC_scaffold_14.0G615.1	KUTeg_005071
OG0000026	Sbro	mikado.HiC_scaffold_14.0G615.1	EVM0003388.1
OG0000026	Sbro	mikado.HiC_scaffold_19.0G963.1	EVM0006769.1
OG0000026	Tgra	mikado.HiC_scaffold_19.0G963.1	KUTeg_021963, KUTeg_011545
OG0000026	Tgra	mikado.HiC_scaffold_13.0G598.1, mikado.HiC_scaffold_13.0G597.1, mikado.HiC_scaffold_13.0G595.1, mikado.HiC_scaffold_13.0G591.1, mikado.HiC_scaffold_13.0G590.1, mikado.HiC_scaffold_12.3160685G1006.1, mikado.HiC_scaffold_12.3160685G887.1, mikado.HiC_scaffold_9.0G1226.1	KUTeg_004119
OG0000026	Sbro	mikado.HiC_scaffold_13.0G591.1, mikado.HiC_scaffold_13.0G590.1	EVM0009954.1
OG0000026	Sbro	mikado.HiC_scaffold_12.3160685G1006.1, mikado.HiC_scaffold_12.3160685G887.1	EVM0003412.1, EVM0016095.1, EVM0013042.1
OG0000026	Tgra	mikado.HiC_scaffold_5.0G735.1	KUTeg_017894
OG0000026	Sbro	mikado.HiC_scaffold_5.0G735.1	EVM0001953.1
OG0000026	Sbro	mikado.HiC_scaffold_11.0G145.1, mikado.HiC_scaffold_13.0G596.1	EVM0011835.1, EVM0019614.1, EVM0004665.1, EVM0000756.1, EVM0002914.1
OG0000027	Tgra	mikado.HiC_scaffold_16.0G178.1, mikado.HiC_scaffold_21.0G1046.1	KUTeg_022398, KUTeg_011194, KUTeg_016603, KUTeg_011600, KUTeg_003852, KUTeg_008943, KUTeg_009608
OG0000027	Tgra	mikado.HiC_scaffold_21.0G970.1	KUTeg_011197, KUTeg_017048, KUTeg_012327, KUTeg_021901, KUTeg_005594, KUTeg_002227, KUTeg_020120, KUTeg_014609, KUTeg_021899, KUTeg_016614, KUTeg_007478, KUTeg_021900, KUTeg_020456, KUTeg_005038, KUTeg_000880, KUTeg_016364, KUTeg_002604, KUTeg_024225, KUTeg_019796, KUTeg_020457
OG0000028	Tgra	mikado.HiC_scaffold_18.0G233.1, mikado.HiC_scaffold_3.0G990.1, mikado.HiC_scaffold_1.0G335.1, mikado.HiC_scaffold_13.0G561.1, mikado.HiC_scaffold_378.0G1.1, mikado.HiC_scaffold_378.0G1.2, mikado.HiC_scaffold_14.0G747.1, mikado.HiC_scaffold_12.3160685G632.1, mikado.HiC_scaffold_1.0G115.1, mikado.HiC_scaffold_21.0G1169.1, mikado.HiC_scaffold_150G2.1, mikado.HiC_scaffold_1.0G708.1, mikado.HiC_scaffold_4321G1.2, mikado.HiC_scaffold_4321G1.1, mikado.HiC_scaffold_1.0G371.1, mikado.HiC_scaffold_14.0G35.1, mikado.HiC_scaffold_1.0G325.1, mikado.HiC_scaffold_16.0G664.1, mikado.HiC_scaffold_12.3160685G321.1, mikado.HiC_scaffold_17.0G746.1, mikado.HiC_scaffold_16.0G550.1, mikado.HiC_scaffold_19.0G676.1, mikado.HiC_scaffold_1.0G24.1, mikado.HiC_scaffold_13.0G562.1, mikado.HiC_scaffold_4.0G662.1, mikado.HiC_scaffold_378.0G2.1, mikado.HiC_scaffold_4322G1.1	KUTeg_019634
OG0000029	Sbro	mikado.HiC_scaffold_1.0G672.1, mikado.HiC_scaffold_1.0G639.1	EVM0000324.1
OG0000029	Tgra	mikado.HiC_scaffold_1.0G672.1, mikado.HiC_scaffold_1.0G639.1	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003
OG0000033	Tgra	mikado.HiC_scaffold_17.0G522.1, mikado.HiC_scaffold_21.0G557.1, mikado.HiC_scaffold_13.0G925.1	KUTeg_001115, KUTeg_018665, KUTeg_021462, KUTeg_000228, KUTeg_018659, KUTeg_018687, KUTeg_018660, KUTeg_010282, KUTeg_018771, KUTeg_022166, KUTeg_020039, KUTeg_021463, KUTeg_015400, KUTeg_015610, KUTeg_004061, KUTeg_022492, KUTeg_022054, KUTeg_015559, KUTeg_022167, KUTeg_022497, KUTeg_017924, KUTeg_006657, KUTeg_022476, KUTeg_006654
