genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 142,48373604,49935279,12025,12036,0_12023,0_12034,6,42392240,42852390,6819,6836,1_16770,1_16787,6,+,42392240,42852390,6819,6836,1_16770,1_16787
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 144,56979702,69079312,12153,12330,0_12151,0_12328,26,34958771,38004251,6631,6713,1_16582,1_16664,26,+,34958771,38004251,6631,6713,1_16582,1_16664
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 146,63463975,65855115,12262,12278,0_12260,0_12276,7,41627502,42141903,6798,6806,1_16749,1_16757,7,+,41627502,42141903,6798,6806,1_16749,1_16757
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 148,71356109,71726996,12366,12376,0_12364,0_12374,6,28830536,29173957,6461,6470,1_16412,1_16421,6,+,28830536,29173957,6461,6470,1_16412,1_16421
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 149,72610366,74007750,12388,12409,0_12386,0_12407,11,48489991,49056918,7012,7023,1_16963,1_16974,11,+,48489991,49056918,7012,7023,1_16963,1_16974
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 151,79959191,80876839,12532,12548,0_12530,0_12546,11,1138479,1672790,5689,5707,1_15640,1_15658,11,+,1138479,1672790,5689,5707,1_15640,1_15658
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 154,85657949,85961583,12624,12633,0_12622,0_12631,10,21956814,22129567,6265,6274,1_16216,1_16225,10,+,21956814,22129567,6265,6274,1_16216,1_16225
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 155,86064178,86691698,12636,12644,0_12634,0_12642,6,6317940,6851103,5830,5843,1_15781,1_15794,6,+,6317940,6851103,5830,5843,1_15781,1_15794
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 157,90119802,90704578,12699,12710,0_12697,0_12708,11,48086338,48443020,6998,7010,1_16949,1_16961,11,+,48086338,48443020,6998,7010,1_16949,1_16961
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 158,91172106,95356061,12717,12788,0_12715,0_12786,17,8097919,9405049,5879,5912,1_15830,1_15863,17,+,8097919,9405049,5879,5912,1_15830,1_15863
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 162,17260609,17580754,13089,13098,0_13087,0_13096,6,22879306,23275901,16316,16325,1_7428,1_7437,6,+,22879306,23275901,16316,16325,1_7428,1_7437
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 164,25727566,26436839,13216,13225,0_13214,0_13223,7,39805758,40357901,16754,16764,1_7866,1_7876,7,+,39805758,40357901,16754,16764,1_7866,1_7876
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 165,27353352,28046945,13238,13250,0_13236,0_13248,13,26120951,26590612,16400,16417,1_7512,1_7529,13,+,26120951,26590612,16400,16417,1_7512,1_7529
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 170,50665996,68561536,13533,13822,0_13531,0_13820,25,22140027,24236700,16298,16346,1_7410,1_7458,25,+,22140027,24236700,16298,16346,1_7410,1_7458
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 179,21266746,22565057,14555,14578,0_14553,0_14576,11,1225457,2482323,16867,16898,1_7979,1_8010,11,+,1225457,2482323,16867,16898,1_7979,1_8010
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 184,35090097,36345803,14759,14782,0_14757,0_14780,14,38289322,42007373,17834,17962,1_8946,1_9074,14,+,38289322,42007373,17834,17962,1_8946,1_9074
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 199,75697953,75981549,15503,15511,0_15501,0_15509,7,29284781,29568531,17652,17663,1_8764,1_8775,7,+,29284781,29568531,17652,17663,1_8764,1_8775
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 212,123894857,124456199,16350,16361,0_16348,0_16359,8,26610427,26933290,17564,17576,1_8676,1_8688,8,+,26610427,26933290,17564,17576,1_8676,1_8688
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 215,128553482,139414715,16426,16638,0_16424,0_16636,19,8528369,10551346,17056,17118,1_8168,1_8230,19,+,8528369,10551346,17056,17118,1_8168,1_8230
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 177,14355294,17092791,14426,14480,0_14424,0_14478,29,20578297,22889914,8835,8897,1_18786,1_18848,29,+,20578297,22889914,8835,8897,1_18786,1_18848
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 178,17113211,17847187,14481,14492,0_14479,0_14490,9,43162385,43880672,9472,9488,1_19423,1_19439,9,+,43162385,43880672,9472,9488,1_19423,1_19439
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 181,25604754,26524167,14629,14642,0_14627,0_14640,9,14607334,15197791,8672,8681,1_18623,1_18632,9,+,14607334,15197791,8672,8681,1_18623,1_18632
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 182,29385579,30585481,14676,14696,0_14674,0_14694,7,7173786,7888055,8482,8495,1_18433,1_18446,7,+,7173786,7888055,8482,8495,1_18433,1_18446
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 185,39415961,42523641,14852,14910,0_14850,0_14908,11,4140437,4649388,8366,8385,1_18317,1_18336,11,+,4140437,4649388,8366,8385,1_18317,1_18336
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 188,46202684,47302735,14986,15007,0_14984,0_15005,15,15279089,15902237,8685,8707,1_18636,1_18658,15,+,15279089,15902237,8685,8707,1_18636,1_18658
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 191,50564456,51097448,15068,15085,0_15066,0_15082,6,40812064,41041355,9402,9410,1_19353,1_19361,6,+,40812064,41041355,9402,9410,1_19353,1_19361
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 193,53789460,54696097,15122,15138,0_15120,0_15136,13,5264337,5787058,8401,8415,1_18352,1_18366,13,+,5264337,5787058,8401,8415,1_18352,1_18366
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 194,56948776,62417079,15170,15275,0_15168,0_15273,32,1833247,4047438,8299,8363,1_18250,1_18314,32,+,1833247,4047438,8299,8363,1_18250,1_18314
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 196,64950903,66551135,15299,15327,0_15297,0_15325,8,30791814,31878706,9097,9143,1_19048,1_19094,8,+,30791814,31878706,9097,9143,1_19048,1_19094
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 197,68340714,73252820,15367,15469,0_15365,0_15467,47,37050224,39690299,9283,9359,1_19234,1_19310,47,+,37050224,39690299,9283,9359,1_19234,1_19310
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 200,77422955,78726779,15525,15548,0_15523,0_15546,14,21623702,22425897,8865,8884,1_18816,1_18835,14,+,21623702,22425897,8865,8884,1_18816,1_18835
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 201,79745155,82180456,15556,15573,0_15554,0_15571,7,46092654,46748974,9561,9573,1_19512,1_19524,7,+,46092654,46748974,9561,9573,1_19512,1_19524
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 206,115814505,117364758,16211,16240,0_16209,0_16238,20,19533538,20564387,8804,8834,1_18755,1_18785,20,+,19533538,20564387,8804,8834,1_18755,1_18785
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 207,117664392,117969448,16248,16253,0_16246,0_16251,6,27187296,27434696,9003,9011,1_18954,1_18962,6,+,27187296,27434696,9003,9011,1_18954,1_18962
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 209,119118170,120030584,16269,16284,0_16267,0_16282,10,35631682,36035079,9245,9254,1_19196,1_19205,10,+,35631682,36035079,9245,9254,1_19196,1_19205
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 211,121406374,122483734,16306,16326,0_16304,0_16324,13,24473011,24981485,8925,8939,1_18876,1_18890,13,+,24473011,24981485,8925,8939,1_18876,1_18890
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 214,127304156,127885949,16401,16414,0_16399,0_16412,10,18202292,19322593,8772,8796,1_18723,1_18747,10,+,18202292,19322593,8772,8796,1_18723,1_18747
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 220,5767381,6802738,16845,16859,0_16843,0_16857,11,13375866,13725211,3229,3241,1_13189,1_13201,11,+,13375866,13725211,3229,3241,1_13189,1_13201
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 221,11457270,13208151,16939,16964,0_16937,0_16962,16,32550143,34580756,3853,3902,1_13811,1_13860,16,+,32550143,34580756,3853,3902,1_13811,1_13860
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 223,18752580,19166574,17045,17053,0_17043,0_17051,7,29365679,29546625,3728,3736,1_13688,1_13696,7,+,29365679,29546625,3728,3736,1_13688,1_13696
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 234,43678743,49838381,17485,17533,0_17483,0_17531,26,42763097,45607404,4151,4236,1_14109,1_14194,26,+,42763097,45607404,4151,4236,1_14109,1_14194
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 238,59147604,60692586,17709,17733,0_17707,0_17731,14,18437894,18941791,3384,3407,1_13344,1_13367,14,+,18437894,18941791,3384,3407,1_13344,1_13367
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 239,63100843,65511071,17769,17805,0_17767,0_17803,22,15685140,16596260,3287,3320,1_13247,1_13280,22,+,15685140,16596260,3287,3320,1_13247,1_13280
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 241,68616502,69077627,17861,17874,0_17859,0_17872,7,885634,1062550,2876,2882,1_12836,1_12842,7,+,885634,1062550,2876,2882,1_12836,1_12842
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 243,75166772,79496856,17980,18054,0_17978,0_18052,20,19321892,19878633,3414,3439,1_13374,1_13399,20,+,19321892,19878633,3414,3439,1_13374,1_13399
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 245,85911967,86693870,18168,18179,0_18166,0_18177,7,2806640,3273140,2930,2938,1_12890,1_12898,7,+,2806640,3273140,2930,2938,1_12890,1_12898
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 246,88258855,89093509,18205,18217,0_18203,0_18215,7,12157986,12499807,3203,3210,1_13163,1_13170,7,+,12157986,12499807,3203,3210,1_13163,1_13170
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 247,90618319,92143595,18240,18269,0_18238,0_18267,7,38612770,39294723,4014,4031,1_13972,1_13989,7,+,38612770,39294723,4014,4031,1_13972,1_13989
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 248,92199370,95129559,18271,18336,0_18269,0_18334,19,27249770,29137436,3674,3718,1_13634,1_13678,19,+,27249770,29137436,3674,3718,1_13634,1_13678
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 250,102744327,106856757,18452,18531,0_18450,0_18529,16,46121545,46980325,4261,4292,1_14219,1_14250,16,+,46121545,46980325,4261,4292,1_14219,1_14250
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 253,108018216,108571319,18557,18571,0_18555,0_18570,15,31377924,31820930,3805,3827,1_13764,1_13786,15,+,31377924,31820930,3805,3827,1_13764,1_13786
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 254,108952664,112125344,18580,18627,0_18578,0_18625,9,21539239,21682628,3489,3497,1_13449,1_13457,9,+,21539239,21682628,3489,3497,1_13449,1_13457
Azeb,Sbro,HiC_scaffold_17.0,Lachesis_group14,Azeb_vs_Sbro: 255,11382116,32522930,18761,19118,0_18759,0_19116,18,29520593,34884015,18657,18783,1_9766,1_9892,18,+,29520593,34884015,18657,18783,1_9766,1_9892
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 262,8298718,16088888,19991,20117,0_19989,0_20115,34,13586684,16538468,11240,11337,1_21191,1_21288,34,+,13586684,16538468,11240,11337,1_21191,1_21288
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 264,18885672,19179868,20152,20160,0_20150,0_20158,7,6907000,7090258,11049,11060,1_21000,1_21011,7,+,6907000,7090258,11049,11060,1_21000,1_21011
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 265,20023880,21835311,20170,20196,0_20168,0_20194,18,1745060,2612994,10883,10908,1_20834,1_20859,18,+,1745060,2612994,10883,10908,1_20834,1_20859
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 267,25028352,38606438,20217,20438,0_20215,0_20436,25,29242320,34548938,11679,11837,1_21630,1_21788,25,+,29242320,34548938,11679,11837,1_21630,1_21788
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 269,31437929,31820633,20318,20330,0_20316,0_20328,6,8523522,8616150,11103,11109,1_21054,1_21060,6,+,8523522,8616150,11103,11109,1_21054,1_21060
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 271,39657848,42527103,20455,20500,0_20453,0_20498,24,11092772,12606349,11177,11214,1_21128,1_21165,24,+,11092772,12606349,11177,11214,1_21128,1_21165
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 272,46960903,52539631,20563,20648,0_20561,0_20646,20,22306543,24089462,11473,11513,1_21424,1_21464,20,+,22306543,24089462,11473,11513,1_21424,1_21464
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 273,50428391,50880585,20620,20627,0_20618,0_20625,8,13941671,14257185,11246,11256,1_21197,1_21207,8,+,13941671,14257185,11246,11256,1_21197,1_21207
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 274,52751725,53196686,20651,20659,0_20649,0_20657,8,4273233,4640143,10965,10974,1_20916,1_20925,8,+,4273233,4640143,10965,10974,1_20916,1_20925
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 278,61637913,62332068,20800,20814,0_20798,0_20812,11,3039668,3502581,10926,10943,1_20877,1_20894,11,+,3039668,3502581,10926,10943,1_20877,1_20894
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 281,67187393,79969570,20898,21121,0_20896,0_21119,17,26817243,28613146,11590,11656,1_21541,1_21607,17,+,26817243,28613146,11590,11656,1_21541,1_21607
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 282,67538004,70031404,20905,20951,0_20903,0_20949,15,16875497,18819035,11350,11406,1_21301,1_21357,15,+,16875497,18819035,11350,11406,1_21301,1_21357
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 283,71768952,72163786,20984,20991,0_20982,0_20989,6,31916753,32136793,11769,11776,1_21720,1_21727,6,+,31916753,32136793,11769,11776,1_21720,1_21727
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 284,74792131,75134055,21026,21033,0_21024,0_21031,5,1216222,1460816,10872,10879,1_20823,1_20830,5,+,1216222,1460816,10872,10879,1_20823,1_20830
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 285,76951458,78446556,21058,21093,0_21056,0_21091,7,40122403,40857669,11990,12011,1_21939,1_21960,7,+,40122403,40857669,11990,12011,1_21939,1_21960
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 286,80180846,89485724,21123,21275,0_21121,0_21273,39,7227960,9276564,11069,11132,1_21020,1_21083,39,+,7227960,9276564,11069,11132,1_21020,1_21083
Azeb,Sbro,HiC_scaffold_18.0,Lachesis_group8,Azeb_vs_Sbro: 287,86065761,87543707,21215,21242,0_21213,0_21240,6,20227878,20987746,11440,11452,1_21391,1_21403,6,+,20227878,20987746,11440,11452,1_21391,1_21403
Azeb,Sbro,HiC_scaffold_19.0,Lachesis_group7,Azeb_vs_Sbro: 290,12752946,15230599,21529,21578,0_21527,0_21576,18,24235781,24995302,10281,10311,1_20232,1_20262,18,+,24235781,24995302,10281,10311,1_20232,1_20262
Azeb,Sbro,HiC_scaffold_19.0,Lachesis_group7,Azeb_vs_Sbro: 291,15721038,19124995,21584,21625,0_21582,0_21623,6,40568425,42367092,10713,10776,1_20664,1_20727,6,+,40568425,42367092,10713,10776,1_20664,1_20727
Azeb,Sbro,HiC_scaffold_19.0,Lachesis_group7,Azeb_vs_Sbro: 293,21919698,24757685,21671,21723,0_21669,0_21721,20,34399448,36957243,10537,10605,1_20488,1_20556,20,+,34399448,36957243,10537,10605,1_20488,1_20556
Azeb,Sbro,HiC_scaffold_19.0,Lachesis_group7,Azeb_vs_Sbro: 294,35798841,40264126,21862,21947,0_21859,0_21945,21,232295,6572364,9584,9770,1_19535,1_19721,21,+,232295,6572364,9584,9770,1_19535,1_19721
