genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 171,8465295,9341353,10526,10541,0_10524,0_10538,6,24078479,24311833,4951,4960,1_14904,1_14913,6,+,24078479,24311833,4951,4960,1_14904,1_14913
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 173,10597482,11151966,10559,10569,0_10557,0_10567,5,25073271,25223817,4972,4977,1_14925,1_14930,5,+,25073271,25223817,4972,4977,1_14925,1_14930
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 176,38330032,44451164,10967,11034,0_10965,0_11032,7,30152426,30768310,5109,5117,1_15062,1_15070,7,+,30152426,30768310,5109,5117,1_15062,1_15070
Azeb,Sbro,HiC_scaffold_12.0,Lachesis_group1,Azeb_vs_Sbro: 84,122235,2037013,11122,11147,0_11120,0_11145,7,33913418,34688465,2368,2375,1_3996,1_4003,7,+,33913418,34688465,2368,2375,1_3996,1_4003
Azeb,Sbro,HiC_scaffold_12.3160685,Contig00808_ERROPOS2732884,Azeb_vs_Sbro: 600,15345764,17889131,26034,26072,0_26032,0_26070,6,8189,157303,23260,23267,1_1153,1_1160,6,+,8189,157303,23260,23267,1_1153,1_1160
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 100,72760504,73557963,26903,26919,0_26902,0_26918,10,50405955,50755966,2791,2802,1_4418,1_4429,10,+,50405955,50755966,2791,2802,1_4418,1_4429
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 64,33281856,33943379,26320,26331,0_26318,0_26329,10,3710277,4080602,1609,1620,1_3237,1_3248,10,+,3710277,4080602,1609,1620,1_3237,1_3248
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 65,42103344,43209578,26400,26416,0_26398,0_26414,8,4161874,4740566,1622,1634,1_3250,1_3262,8,+,4161874,4740566,1622,1634,1_3250,1_3262
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 67,64355439,65123958,26759,26774,0_26757,0_26772,13,6079414,6505640,1674,1696,1_3302,1_3324,13,+,6079414,6505640,1674,1696,1_3302,1_3324
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 68,48124299,49708262,26494,26514,0_26492,0_26512,7,8052082,8717057,1738,1753,1_3366,1_3381,7,+,8052082,8717057,1738,1753,1_3366,1_3381
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 70,13639829,14861484,26002,26022,0_26000,0_26020,13,12104482,12663164,1840,1857,1_3468,1_3485,13,+,12104482,12663164,1840,1857,1_3468,1_3485
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 71,22923025,23601701,26163,26175,0_26161,0_26173,11,16125775,16709100,1921,1944,1_3549,1_3572,11,+,16125775,16709100,1921,1944,1_3549,1_3572
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 72,17007481,17689456,26055,26067,0_26053,0_26065,7,16784668,17654794,1946,1968,1_3574,1_3596,7,+,16784668,17654794,1946,1968,1_3574,1_3596
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 73,45429852,47445243,26447,26482,0_26445,0_26480,17,18170779,18864137,1976,1997,1_3604,1_3625,17,+,18170779,18864137,1976,1997,1_3604,1_3625
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 77,54273569,54901923,26586,26594,0_26584,0_26592,6,23112819,23739422,2109,2115,1_3737,1_3743,6,+,23112819,23739422,2109,2115,1_3737,1_3743
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 78,50656853,52043261,26528,26549,0_26526,0_26547,14,23767647,24843947,2118,2135,1_3746,1_3763,14,+,23767647,24843947,2118,2135,1_3746,1_3763
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 81,24361835,24856399,26190,26202,0_26188,0_26200,12,28337696,28588761,2205,2217,1_3833,1_3845,12,+,28337696,28588761,2205,2217,1_3833,1_3845
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 82,232359,1180558,25746,25772,0_25744,0_25770,18,29255056,29997376,2234,2264,1_3862,1_3892,18,+,29255056,29997376,2234,2264,1_3862,1_3892
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 85,76023468,76513821,26955,26965,0_26954,0_26964,10,35663087,35946607,2398,2409,1_4026,1_4037,10,+,35663087,35946607,2398,2409,1_4026,1_4037
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 89,83604087,84589867,27077,27088,0_27076,0_27087,6,43290422,43608686,2584,2589,1_4211,1_4216,6,+,43290422,43608686,2584,2589,1_4211,1_4216
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 91,85100124,85865225,27097,27108,0_27096,0_27107,10,43843798,44340244,2601,2610,1_4228,1_4237,10,+,43843798,44340244,2601,2610,1_4228,1_4237
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 93,86237184,86484129,27120,27125,0_27119,0_27124,5,44700013,44888927,2626,2633,1_4253,1_4260,5,+,44700013,44888927,2626,2633,1_4253,1_4260
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 95,104595974,105076279,27431,27441,0_27430,0_27440,6,47187079,47412070,2706,2715,1_4333,1_4342,6,+,47187079,47412070,2706,2715,1_4333,1_4342
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 96,21966110,22668186,26148,26159,0_26146,0_26157,9,48770858,49108955,2738,2749,1_4365,1_4376,9,+,48770858,49108955,2738,2749,1_4365,1_4376
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 189,19160035,20120136,11537,11552,0_11535,0_11550,9,544021,922468,5668,5679,1_15619,1_15630,9,+,544021,922468,5668,5679,1_15619,1_15630
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 190,79959191,80876839,12532,12548,0_12530,0_12546,11,1138479,1672790,5689,5707,1_15640,1_15658,11,+,1138479,1672790,5689,5707,1_15640,1_15658
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 191,12930626,13568075,11408,11422,0_11406,0_11420,14,2341053,2739805,5724,5740,1_15675,1_15691,14,+,2341053,2739805,5724,5740,1_15675,1_15691
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 194,86064178,86691698,12636,12644,0_12634,0_12642,6,6317940,6851103,5830,5843,1_15781,1_15794,6,+,6317940,6851103,5830,5843,1_15781,1_15794
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 198,35226415,37123835,11805,11843,0_11803,0_11841,25,11369075,12119424,5963,5997,1_15914,1_15948,25,+,11369075,12119424,5963,5997,1_15914,1_15948
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 199,5801891,7677598,11269,11303,0_11267,0_11300,22,12692905,13605427,6016,6041,1_15967,1_15992,22,+,12692905,13605427,6016,6041,1_15967,1_15992
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 202,12168012,12920806,11391,11407,0_11389,0_11405,12,15946190,16554589,6105,6122,1_16056,1_16073,12,+,15946190,16554589,6105,6122,1_16056,1_16073
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 203,29803721,31092132,11721,11739,0_11719,0_11737,9,17768251,19133944,6160,6184,1_16111,1_16135,9,+,17768251,19133944,6160,6184,1_16111,1_16135
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 205,85657949,85961583,12624,12633,0_12622,0_12631,10,21956814,22129567,6265,6274,1_16216,1_16225,10,+,21956814,22129567,6265,6274,1_16216,1_16225
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 207,404965,1014595,11180,11191,0_11178,0_11189,11,24596345,24936857,6352,6365,1_16303,1_16316,11,+,24596345,24936857,6352,6365,1_16303,1_16316
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 209,71356109,71726996,12366,12376,0_12364,0_12374,6,28830536,29173957,6461,6470,1_16412,1_16421,6,+,28830536,29173957,6461,6470,1_16412,1_16421
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 210,22404171,22852845,11589,11599,0_11587,0_11596,7,29791413,30180016,6489,6497,1_16440,1_16448,7,+,29791413,30180016,6489,6497,1_16440,1_16448
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 214,69923395,70735837,12344,12354,0_12342,0_12352,7,32364424,32591729,6562,6569,1_16513,1_16520,7,+,32364424,32591729,6562,6569,1_16513,1_16520
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 215,65918036,67821071,12280,12309,0_12278,0_12307,6,33119276,33477042,6587,6596,1_16538,1_16547,6,+,33119276,33477042,6587,6596,1_16538,1_16547
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 216,27801017,28490710,11683,11695,0_11681,0_11692,7,34455540,34941747,6614,6630,1_16565,1_16581,7,+,34455540,34941747,6614,6630,1_16565,1_16581
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 218,61761050,63119128,12246,12260,0_12244,0_12258,12,35353560,35733611,6649,6664,1_16600,1_16615,12,+,35353560,35733611,6649,6664,1_16600,1_16615
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 220,68267963,69079312,12317,12330,0_12315,0_12328,5,37712230,38004251,6705,6713,1_16656,1_16664,5,+,37712230,38004251,6705,6713,1_16656,1_16664
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 222,45842284,48136733,11990,12022,0_11988,0_12020,7,40143129,40653208,6750,6769,1_16701,1_16720,7,+,40143129,40653208,6750,6769,1_16701,1_16720
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 224,63463975,65855115,12262,12278,0_12260,0_12276,7,41627502,42141903,6798,6806,1_16749,1_16757,7,+,41627502,42141903,6798,6806,1_16749,1_16757
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 226,48373604,49935279,12025,12036,0_12023,0_12034,6,42392240,42852390,6819,6836,1_16770,1_16787,6,+,42392240,42852390,6819,6836,1_16770,1_16787
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 227,3289141,4271825,11225,11244,0_11223,0_11242,16,42938392,43450188,6839,6856,1_16790,1_16807,16,+,42938392,43450188,6839,6856,1_16790,1_16807
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 229,44681449,45650483,11964,11985,0_11962,0_11983,15,45481383,45941591,6921,6939,1_16872,1_16890,15,+,45481383,45941591,6921,6939,1_16872,1_16890
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 230,17403288,17927161,11498,11510,0_11496,0_11508,13,46033236,46319938,6942,6954,1_16893,1_16905,13,+,46033236,46319938,6942,6954,1_16893,1_16905
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 231,1070609,2462657,11192,11215,0_11190,0_11213,10,46532357,47145225,6960,6983,1_16911,1_16934,10,+,46532357,47145225,6960,6983,1_16911,1_16934
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 232,90119802,90704578,12699,12710,0_12697,0_12708,11,48086338,48443020,6998,7010,1_16949,1_16961,11,+,48086338,48443020,6998,7010,1_16949,1_16961
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 233,72610366,74007750,12388,12409,0_12386,0_12407,11,48489991,49056918,7012,7023,1_16963,1_16974,11,+,48489991,49056918,7012,7023,1_16963,1_16974
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 234,18669577,19071025,11524,11533,0_11522,0_11531,6,49085262,49433966,7025,7032,1_16976,1_16983,6,+,49085262,49433966,7025,7032,1_16976,1_16983
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 499,43976143,44901961,13439,13452,0_13437,0_13450,10,477896,954948,15805,15816,1_6917,1_6928,10,+,477896,954948,15805,15816,1_6917,1_6928
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 501,31317563,31642215,13293,13299,0_13291,0_13297,6,1688831,1888362,15834,15840,1_6946,1_6952,6,+,1688831,1888362,15834,15840,1_6946,1_6952
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 506,23338383,23888136,13179,13186,0_13177,0_13184,6,11453958,11650704,16069,16077,1_7181,1_7189,6,+,11453958,11650704,16069,16077,1_7181,1_7189
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 508,20845625,23309219,13155,13178,0_13153,0_13176,9,18242651,19497067,16199,16221,1_7311,1_7333,9,+,18242651,19497067,16199,16221,1_7311,1_7333
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 510,71489610,72966947,13873,13899,0_13871,0_13897,13,21217460,21664829,16266,16286,1_7378,1_7398,13,+,21217460,21664829,16266,16286,1_7378,1_7398
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 511,50665996,51531228,13533,13550,0_13531,0_13548,14,22140027,22817476,16298,16314,1_7410,1_7426,14,+,22140027,22817476,16298,16314,1_7410,1_7426
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 512,17260609,17580754,13089,13098,0_13087,0_13096,6,22879306,23275901,16316,16325,1_7428,1_7437,6,+,22879306,23275901,16316,16325,1_7428,1_7437
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 513,67606770,68561536,13811,13822,0_13809,0_13820,11,23614616,24236700,16330,16346,1_7442,1_7458,11,+,23614616,24236700,16330,16346,1_7442,1_7458
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 514,27353352,28046945,13238,13250,0_13236,0_13248,13,26120951,26590612,16400,16417,1_7512,1_7529,13,+,26120951,26590612,16400,16417,1_7512,1_7529
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 516,37138358,39053818,13391,13411,0_13389,0_13409,8,32211630,34743416,16575,16620,1_7687,1_7732,8,+,32211630,34743416,16575,16620,1_7687,1_7732
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 517,63096812,65726709,13746,13790,0_13744,0_13788,8,35509207,36074734,16645,16663,1_7757,1_7775,8,+,35509207,36074734,16645,16663,1_7757,1_7775
Azeb,Sbro,HiC_scaffold_14.0,Lachesis_group12,Azeb_vs_Sbro: 519,25727566,26436839,13216,13225,0_13214,0_13223,7,39805758,40357901,16754,16764,1_7866,1_7876,7,+,39805758,40357901,16754,16764,1_7866,1_7876
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 520,21266746,22565057,14555,14578,0_14553,0_14576,11,1225457,2482323,16867,16898,1_7979,1_8010,11,+,1225457,2482323,16867,16898,1_7979,1_8010
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 521,128553482,139414715,16426,16638,0_16424,0_16636,19,8528369,10551346,17056,17118,1_8168,1_8230,19,+,8528369,10551346,17056,17118,1_8168,1_8230
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 526,123894857,124456199,16350,16361,0_16348,0_16359,8,26610427,26933290,17564,17576,1_8676,1_8688,8,+,26610427,26933290,17564,17576,1_8676,1_8688
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 527,103847365,105538695,15958,16005,0_15956,0_16003,9,27299612,28898967,17586,17633,1_8698,1_8745,9,+,27299612,28898967,17586,17633,1_8698,1_8745
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 528,75697953,75981549,15503,15511,0_15501,0_15509,7,29284781,29568531,17652,17663,1_8764,1_8775,7,+,29284781,29568531,17652,17663,1_8764,1_8775
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 529,94228598,97411901,15791,15842,0_15789,0_15840,8,33667632,35210090,17730,17764,1_8842,1_8876,8,+,33667632,35210090,17730,17764,1_8842,1_8876
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 530,103638319,103834407,15951,15957,0_15949,0_15955,6,37347378,37427004,17814,17819,1_8926,1_8931,6,+,37347378,37427004,17814,17819,1_8926,1_8931
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 531,35090097,36345803,14759,14782,0_14757,0_14780,14,38289322,42007373,17834,17962,1_8946,1_9074,14,+,38289322,42007373,17834,17962,1_8946,1_9074
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 532,106484862,107191682,16028,16040,0_16026,0_16038,11,39157879,39599740,17854,17870,1_8966,1_8982,11,+,39157879,39599740,17854,17870,1_8966,1_8982
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group13,Azeb_vs_Sbro: 534,87396200,87783867,15663,15672,0_15661,0_15670,7,41647644,41774422,17947,17955,1_9059,1_9067,7,+,41647644,41774422,17947,17955,1_9059,1_9067
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 271,82215661,83118204,15575,15585,0_15573,0_15583,8,1391451,1811688,8288,8297,1_18239,1_18248,8,+,1391451,1811688,8288,8297,1_18239,1_18248
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 275,39415961,42523641,14852,14910,0_14850,0_14908,11,4140437,4649388,8366,8385,1_18317,1_18336,11,+,4140437,4649388,8366,8385,1_18317,1_18336
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 276,53789460,54696097,15122,15138,0_15120,0_15136,13,5264337,5787058,8401,8415,1_18352,1_18366,13,+,5264337,5787058,8401,8415,1_18352,1_18366
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 278,29385579,30585481,14676,14696,0_14674,0_14694,7,7173786,7888055,8482,8495,1_18433,1_18446,7,+,7173786,7888055,8482,8495,1_18433,1_18446
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 279,44079025,44857705,14948,14959,0_14946,0_14957,6,8420965,8943512,8514,8523,1_18465,1_18474,6,+,8420965,8943512,8514,8523,1_18465,1_18474
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 283,25604754,26524167,14629,14642,0_14627,0_14640,9,14607334,15197791,8672,8681,1_18623,1_18632,9,+,14607334,15197791,8672,8681,1_18623,1_18632
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 284,46202684,47302735,14986,15007,0_14984,0_15005,15,15279089,15902237,8685,8707,1_18636,1_18658,15,+,15279089,15902237,8685,8707,1_18636,1_18658
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 285,127304156,127885949,16401,16414,0_16399,0_16412,10,18202292,19322593,8772,8796,1_18723,1_18747,10,+,18202292,19322593,8772,8796,1_18723,1_18747
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 286,115814505,117364758,16211,16240,0_16209,0_16238,20,19533538,20564387,8804,8834,1_18755,1_18785,20,+,19533538,20564387,8804,8834,1_18755,1_18785
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 287,14355294,16397740,14426,14463,0_14424,0_14461,21,20578297,21589083,8835,8863,1_18786,1_18814,21,+,20578297,21589083,8835,8863,1_18786,1_18814
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 288,77422955,78726779,15525,15548,0_15523,0_15546,14,21623702,22425897,8865,8884,1_18816,1_18835,14,+,21623702,22425897,8865,8884,1_18816,1_18835
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 289,16629659,17092791,14469,14480,0_14467,0_14478,8,22589608,22889914,8888,8897,1_18839,1_18848,8,+,22589608,22889914,8888,8897,1_18839,1_18848
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 290,121406374,122483734,16306,16326,0_16304,0_16324,13,24473011,24981485,8925,8939,1_18876,1_18890,13,+,24473011,24981485,8925,8939,1_18876,1_18890
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 292,117664392,117969448,16248,16253,0_16246,0_16251,6,27187296,27434696,9003,9011,1_18954,1_18962,6,+,27187296,27434696,9003,9011,1_18954,1_18962
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 295,64950903,66551135,15299,15327,0_15297,0_15325,8,30791814,31878706,9097,9143,1_19048,1_19094,8,+,30791814,31878706,9097,9143,1_19048,1_19094
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 296,6399196,6986634,14283,14291,0_14282,0_14289,8,32051705,32888475,9148,9160,1_19099,1_19111,8,+,32051705,32888475,9148,9160,1_19099,1_19111
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 298,6132284,6391513,14275,14282,0_14273,0_14280,5,34239562,34306151,9197,9202,1_19148,1_19153,5,+,34239562,34306151,9197,9202,1_19148,1_19153
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 300,119118170,120030584,16269,16284,0_16267,0_16282,10,35631682,36035079,9245,9254,1_19196,1_19205,10,+,35631682,36035079,9245,9254,1_19196,1_19205
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 302,72125924,72644345,15446,15458,0_15444,0_15456,8,37981590,38295745,9310,9320,1_19261,1_19271,8,+,37981590,38295745,9310,9320,1_19261,1_19271
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 304,69756845,71236035,15394,15429,0_15392,0_15427,18,38950385,39690299,9338,9359,1_19289,1_19310,18,+,38950385,39690299,9338,9359,1_19289,1_19310
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 307,50564456,51097448,15068,15085,0_15066,0_15082,6,40812064,41041355,9402,9410,1_19353,1_19361,6,+,40812064,41041355,9402,9410,1_19353,1_19361
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 310,17230491,17847187,14483,14492,0_14481,0_14490,8,43256696,43880672,9476,9488,1_19427,1_19439,8,+,43256696,43880672,9476,9488,1_19427,1_19439
Azeb,Sbro,HiC_scaffold_15.0,Lachesis_group6,Azeb_vs_Sbro: 316,79745155,82180456,15556,15573,0_15554,0_15571,7,46092654,46748974,9561,9573,1_19512,1_19524,7,+,46092654,46748974,9561,9573,1_19512,1_19524
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 103,68616502,69077627,17861,17874,0_17859,0_17872,7,885634,1062550,2876,2882,1_12836,1_12842,7,+,885634,1062550,2876,2882,1_12836,1_12842
Azeb,Sbro,HiC_scaffold_16.0,Lachesis_group2,Azeb_vs_Sbro: 104,85911967,86693870,18168,18179,0_18166,0_18177,7,2806640,3273140,2930,2938,1_12890,1_12898,7,+,2806640,3273140,2930,2938,1_12890,1_12898
