Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	Sbro	n14	1.0	Terminal	EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1	EVM0000731.1
OG0000000	Sbro	n15	1.0	Terminal	EVM0017314.1, EVM0002065.1, EVM0003626.1	EVM0002047.1
OG0000000	Sbro	n16	1.0	Terminal	EVM0017314.1, EVM0002065.1	EVM0003626.1
OG0000000	Sbro	n17	1.0	Terminal	EVM0017314.1	EVM0002065.1
OG0000000	Sbro	n18	1.0	Terminal	EVM0007039.1, EVM0009213.1	EVM0014600.1
OG0000000	Sbro	n19	1.0	Terminal	EVM0007039.1	EVM0009213.1
OG0000000	Sbro	n20	1.0	Terminal	EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1	EVM0003822.1, EVM0016006.1
OG0000000	Sbro	n21	1.0	Terminal	EVM0008008.1, EVM0009516.1, EVM0014117.1	EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1
OG0000000	Sbro	n22	1.0	Terminal	EVM0008008.1, EVM0009516.1	EVM0014117.1
OG0000000	Sbro	n23	1.0	Terminal	EVM0008008.1	EVM0009516.1
OG0000000	Sbro	n24	1.0	Terminal	EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1	EVM0022489.1
OG0000000	Sbro	n25	1.0	Terminal	EVM0010901.1, EVM0004382.1, EVM0003143.1	EVM0002459.1
OG0000000	Sbro	n26	1.0	Terminal	EVM0010901.1, EVM0004382.1	EVM0003143.1
OG0000000	Sbro	n27	1.0	Terminal	EVM0010901.1	EVM0004382.1
OG0000000	Sbro	n28	1.0	Terminal	EVM0003822.1	EVM0016006.1
OG0000000	Sbro	n29	1.0	Terminal	EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1	EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1
OG0000000	Sbro	n30	1.0	Terminal	EVM0021538.1	EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1
OG0000000	Sbro	n31	1.0	Terminal	EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1	EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1
OG0000000	Sbro	n32	1.0	Terminal	EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1	EVM0004331.1, EVM0010343.1
OG0000000	Sbro	n33	1.0	Terminal	EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1	EVM0008394.1
OG0000000	Sbro	n34	1.0	Terminal	EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1	EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1
OG0000000	Sbro	n35	1.0	Terminal	EVM0020232.1, EVM0011358.1, EVM0003213.1	EVM0015440.1
OG0000000	Sbro	n36	1.0	Terminal	EVM0020232.1	EVM0011358.1, EVM0003213.1
OG0000000	Sbro	n37	1.0	Terminal	EVM0011358.1	EVM0003213.1
OG0000000	Sbro	n38	1.0	Terminal	EVM0021017.1, EVM0014132.1, EVM0020358.1	EVM0020142.1
OG0000000	Sbro	n39	1.0	Terminal	EVM0021017.1	EVM0014132.1, EVM0020358.1
OG0000000	Sbro	n40	1.0	Terminal	EVM0014132.1	EVM0020358.1
OG0000000	Sbro	n41	1.0	Terminal	EVM0004331.1	EVM0010343.1
OG0000000	Sbro	n42	1.0	Terminal	EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1	EVM0010258.1, EVM0022032.1
OG0000000	Sbro	n43	1.0	Terminal	EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1	EVM0016699.1, EVM0020381.1
OG0000000	Sbro	n44	1.0	Terminal	EVM0010851.1, EVM0009135.1, EVM0017747.1	EVM0008082.1
OG0000000	Sbro	n45	1.0	Terminal	EVM0010851.1	EVM0009135.1, EVM0017747.1
OG0000000	Sbro	n46	1.0	Terminal	EVM0009135.1	EVM0017747.1
OG0000000	Sbro	n47	1.0	Terminal	EVM0016699.1	EVM0020381.1
OG0000000	Sbro	n48	1.0	Terminal	EVM0010258.1	EVM0022032.1
OG0000000	Sbro	n49	1.0	Terminal	EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1	EVM0015898.1, EVM0014630.1
OG0000000	Sbro	n50	1.0	Terminal	EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1	EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1
OG0000000	Sbro	n51	1.0	Terminal	EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1	EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1
OG0000000	Sbro	n52	1.0	Terminal	EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1	EVM0017929.1, EVM0022421.1
OG0000000	Sbro	n53	1.0	Terminal	EVM0016385.1, EVM0016251.1, EVM0022309.1	EVM0009579.1
OG0000000	Sbro	n54	1.0	Terminal	EVM0016385.1	EVM0016251.1, EVM0022309.1
OG0000000	Sbro	n55	1.0	Terminal	EVM0016251.1	EVM0022309.1
OG0000000	Sbro	n56	1.0	Terminal	EVM0017929.1	EVM0022421.1
OG0000000	Sbro	n57	1.0	Terminal	EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1	EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1
OG0000000	Sbro	n58	1.0	Terminal	EVM0011881.1	EVM0009624.1, EVM0018694.1, EVM0003454.1
OG0000000	Sbro	n59	1.0	Terminal	EVM0009624.1	EVM0018694.1, EVM0003454.1
OG0000000	Sbro	n60	1.0	Terminal	EVM0018694.1	EVM0003454.1
OG0000000	Sbro	n61	1.0	Terminal	EVM0014789.1, EVM0003084.1, EVM0005800.1	EVM0000078.1
OG0000000	Sbro	n62	1.0	Terminal	EVM0014789.1, EVM0003084.1	EVM0005800.1
OG0000000	Sbro	n63	1.0	Terminal	EVM0014789.1	EVM0003084.1
OG0000000	Sbro	n64	1.0	Terminal	EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1	EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1
OG0000000	Sbro	n65	1.0	Terminal	EVM0006528.1, EVM0005398.1	EVM0022955.1, EVM0022845.1, EVM0021141.1
OG0000000	Sbro	n66	1.0	Terminal	EVM0006528.1	EVM0005398.1
OG0000000	Sbro	n67	1.0	Terminal	EVM0022955.1, EVM0022845.1	EVM0021141.1
OG0000000	Sbro	n68	1.0	Terminal	EVM0022955.1	EVM0022845.1
OG0000000	Sbro	n69	1.0	Terminal	EVM0014031.1	EVM0015407.1, EVM0000127.1, EVM0019036.1
OG0000000	Sbro	n70	1.0	Terminal	EVM0015407.1, EVM0000127.1	EVM0019036.1
OG0000000	Sbro	n71	1.0	Terminal	EVM0015407.1	EVM0000127.1
OG0000000	Sbro	n72	1.0	Terminal	EVM0015898.1	EVM0014630.1
OG0000001	Azeb	n1	1.0	Terminal	mikado.HiC_scaffold_1.0G794.1	mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1, mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1, mikado.HiC_scaffold_11.0G661.1, mikado.HiC_scaffold_21.0G153.1, mikado.HiC_scaffold_17.0G79.1, mikado.HiC_scaffold_17.0G1194.1, mikado.HiC_scaffold_18.0G1248.1, mikado.HiC_scaffold_9.0G448.1, mikado.HiC_scaffold_5.0G422.1, mikado.HiC_scaffold_19.0G53.1, mikado.HiC_scaffold_1.0G419.1, mikado.HiC_scaffold_8.8335562G1108.1, mikado.HiC_scaffold_10.0G848.1, mikado.HiC_scaffold_21.0G1019.1, mikado.HiC_scaffold_19.0G376.1, mikado.HiC_scaffold_8.8335562G971.1, mikado.HiC_scaffold_4.0G259.1, mikado.HiC_scaffold_5.0G335.1
OG0000001	Azeb	n2	1.0	Terminal	mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1, mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1, mikado.HiC_scaffold_11.0G661.1, mikado.HiC_scaffold_21.0G153.1, mikado.HiC_scaffold_17.0G79.1	mikado.HiC_scaffold_17.0G1194.1, mikado.HiC_scaffold_18.0G1248.1, mikado.HiC_scaffold_9.0G448.1, mikado.HiC_scaffold_5.0G422.1, mikado.HiC_scaffold_19.0G53.1, mikado.HiC_scaffold_1.0G419.1, mikado.HiC_scaffold_8.8335562G1108.1, mikado.HiC_scaffold_10.0G848.1, mikado.HiC_scaffold_21.0G1019.1, mikado.HiC_scaffold_19.0G376.1, mikado.HiC_scaffold_8.8335562G971.1, mikado.HiC_scaffold_4.0G259.1, mikado.HiC_scaffold_5.0G335.1
OG0000001	Azeb	n3	1.0	Terminal	mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1, mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1, mikado.HiC_scaffold_11.0G661.1, mikado.HiC_scaffold_21.0G153.1	mikado.HiC_scaffold_17.0G79.1
OG0000001	Azeb	n4	1.0	Terminal	mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1, mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1	mikado.HiC_scaffold_11.0G661.1, mikado.HiC_scaffold_21.0G153.1
OG0000001	Azeb	n5	1.0	Terminal	mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1	mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1
OG0000001	Azeb	n6	1.0	Terminal	mikado.HiC_scaffold_15.0G1386.1	mikado.HiC_scaffold_19.0G1139.1
