Orthogroup	Sbro	Tgra
OG0000018	EVM0022928.1, EVM0007449.1, EVM0018717.1	KUTeg_017886, KUTeg_008019, KUTeg_006110, KUTeg_002456, KUTeg_015732, KUTeg_000735, KUTeg_017986, KUTeg_011453, KUTeg_014712, KUTeg_004292, KUTeg_016405, KUTeg_017883, KUTeg_007080, KUTeg_006323, KUTeg_010173, KUTeg_014489, KUTeg_012755, KUTeg_015709, KUTeg_019254, KUTeg_007429, KUTeg_015771, KUTeg_015517, KUTeg_015142, KUTeg_000740, KUTeg_006417, KUTeg_007001, KUTeg_016406, KUTeg_010576, KUTeg_015710, KUTeg_006910
OG0000020	EVM0014346.1	KUTeg_009325, KUTeg_022001
OG0000021	EVM0002793.1	KUTeg_010934
OG0000021	EVM0022902.1, EVM0007223.1	KUTeg_001008, KUTeg_010716
OG0000021	EVM0008968.1	KUTeg_007311
OG0000021	EVM0008337.1, EVM0000540.1	KUTeg_010963, KUTeg_011070, KUTeg_010961, KUTeg_014514, KUTeg_014513, KUTeg_011068, KUTeg_011069, KUTeg_014511
OG0000021	EVM0004402.1	KUTeg_010966, KUTeg_010892, KUTeg_010891
OG0000022	EVM0009687.1, EVM0012681.1	KUTeg_000915, KUTeg_009158, KUTeg_011460, KUTeg_011443, KUTeg_011463, KUTeg_014561, KUTeg_015760, KUTeg_015744, KUTeg_015743, KUTeg_012814, KUTeg_012816, KUTeg_017303, KUTeg_009275, KUTeg_010987, KUTeg_012815, KUTeg_010988, KUTeg_012811, KUTeg_011406, KUTeg_004438, KUTeg_012813, KUTeg_017383, KUTeg_011461, KUTeg_011407, KUTeg_010985, KUTeg_010990, KUTeg_012812, KUTeg_010816, KUTeg_010982, KUTeg_009277
OG0000024	EVM0012019.1	KUTeg_010219
OG0000026	EVM0003388.1	KUTeg_005071
OG0000026	EVM0006769.1	KUTeg_021963, KUTeg_011545
OG0000026	EVM0009954.1, EVM0003412.1, EVM0016095.1, EVM0013042.1	KUTeg_004119
OG0000026	EVM0001953.1	KUTeg_017894
OG0000029	EVM0000324.1	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003
OG0000034	EVM0011758.1, EVM0016847.1, EVM0017452.1, EVM0007311.1, EVM0010018.1, EVM0014989.1, EVM0009617.1, EVM0020518.1, EVM0010597.1, EVM0012679.1, EVM0007753.1, EVM0015649.1, EVM0010218.1, EVM0001105.1, EVM0017917.1, EVM0003536.1, EVM0017466.1, EVM0021109.1, EVM0023149.1, EVM0003524.1, EVM0010010.1, EVM0003917.1, EVM0021332.1, EVM0014716.1, EVM0018088.1, EVM0022726.1	KUTeg_006888
OG0000036	EVM0020283.1	KUTeg_024545, KUTeg_024194
OG0000037	EVM0008902.1, EVM0011236.1, EVM0002734.1	KUTeg_018725, KUTeg_016414, KUTeg_020464, KUTeg_008970, KUTeg_018201, KUTeg_022695, KUTeg_006601, KUTeg_008152, KUTeg_007704, KUTeg_018773, KUTeg_017797, KUTeg_022209, KUTeg_014487, KUTeg_021772, KUTeg_004627, KUTeg_000018, KUTeg_007293, KUTeg_008996
OG0000038	EVM0010121.1	KUTeg_016856
OG0000038	EVM0021829.1	KUTeg_011543
OG0000038	EVM0015420.1, EVM0018528.1, EVM0007404.1, EVM0019691.1, EVM0019551.1, EVM0007686.1, EVM0022083.1, EVM0005413.1, EVM0000476.1	KUTeg_012113
OG0000039	EVM0006909.1, EVM0018021.1, EVM0002287.1	KUTeg_008865
OG0000039	EVM0007937.1	KUTeg_002763, KUTeg_020140
OG0000039	EVM0005744.1	KUTeg_004466
OG0000040	EVM0014691.1, EVM0008772.1, EVM0018472.1, EVM0005650.1, EVM0006068.1, EVM0008758.1, EVM0016628.1, EVM0009283.1, EVM0020752.1, EVM0013279.1, EVM0006540.1, EVM0022089.1, EVM0012406.1, EVM0014681.1, EVM0017152.1, EVM0000870.1, EVM0003312.1, EVM0015787.1, EVM0007815.1, EVM0001580.1, EVM0008614.1, EVM0022918.1, EVM0021716.1, EVM0007691.1, EVM0020650.1	KUTeg_003441
OG0000041	EVM0016327.1	KUTeg_011088
OG0000041	EVM0001753.1, EVM0020176.1	KUTeg_010375
OG0000041	EVM0010456.1	KUTeg_012363
OG0000041	EVM0002665.1	KUTeg_013710
OG0000041	EVM0005406.1	KUTeg_006183
OG0000042	EVM0008077.1	KUTeg_017398, KUTeg_017396, KUTeg_017395, KUTeg_022535
OG0000042	EVM0020710.1, EVM0000196.1, EVM0000016.1	KUTeg_002813, KUTeg_009013, KUTeg_005752, KUTeg_014482, KUTeg_011256, KUTeg_005866, KUTeg_007734, KUTeg_012497
OG0000043	EVM0023631.1	KUTeg_002820
OG0000043	EVM0004048.1	KUTeg_014628, KUTeg_024381, KUTeg_014574, KUTeg_011154
OG0000043	EVM0000644.1	KUTeg_018731
OG0000043	EVM0010906.1	KUTeg_022395
OG0000043	EVM0014308.1	KUTeg_021923, KUTeg_003035, KUTeg_021481, KUTeg_017304
OG0000045	EVM0009924.1, EVM0008750.1, EVM0007615.1, EVM0017589.1, EVM0008444.1, EVM0005381.1, EVM0019710.1, EVM0021658.1, EVM0012456.1, EVM0021448.1, EVM0004336.1, EVM0023215.1, EVM0009574.1, EVM0008086.1, EVM0023995.1, EVM0002757.1, EVM0020890.1, EVM0015344.1, EVM0004989.1, EVM0000117.1, EVM0023826.1, EVM0003592.1, EVM0004146.1, EVM0021562.1	KUTeg_015018
OG0000046	EVM0012724.1	KUTeg_016920, KUTeg_023295, KUTeg_017919, KUTeg_016919, KUTeg_010889, KUTeg_022293, KUTeg_009741, KUTeg_007615, KUTeg_005166, KUTeg_011589, KUTeg_011740, KUTeg_011625, KUTeg_023542, KUTeg_005874, KUTeg_017920, KUTeg_017793, KUTeg_003803, KUTeg_023296, KUTeg_024854, KUTeg_000022, KUTeg_015188, KUTeg_012507
OG0000051	EVM0018424.1, EVM0021135.1	KUTeg_022889
OG0000051	EVM0022587.1, EVM0009085.1, EVM0010112.1, EVM0015381.1, EVM0012247.1, EVM0017517.1, EVM0001257.1, EVM0004920.1, EVM0014552.1	KUTeg_006272, KUTeg_006273
OG0000053	EVM0002259.1, EVM0002302.1, EVM0003088.1	KUTeg_011580
OG0000053	EVM0018361.1, EVM0021914.1, EVM0014760.1, EVM0012055.1, EVM0001437.1	KUTeg_018730
OG0000054	EVM0000973.1	KUTeg_005028
OG0000054	EVM0012640.1, EVM0020209.1	KUTeg_011874
OG0000054	EVM0006242.1	KUTeg_010505
OG0000054	EVM0001874.1	KUTeg_022020
OG0000057	EVM0008236.1, EVM0015047.1	KUTeg_011578, KUTeg_015516, KUTeg_015685, KUTeg_021729, KUTeg_009250
OG0000057	EVM0023434.1, EVM0014687.1, EVM0023655.1	KUTeg_022137, KUTeg_021730, KUTeg_011271
OG0000061	EVM0005727.1	KUTeg_011450
OG0000061	EVM0002745.1, EVM0015465.1, EVM0021230.1, EVM0006341.1, EVM0006115.1, EVM0013956.1, EVM0020760.1, EVM0010581.1, EVM0011537.1, EVM0004546.1, EVM0020997.1, EVM0001962.1, EVM0010135.1, EVM0014964.1, EVM0023194.1, EVM0015819.1, EVM0020125.1, EVM0015984.1	KUTeg_022610
OG0000063	EVM0021990.1, EVM0016474.1	KUTeg_017892
OG0000063	EVM0007589.1, EVM0023568.1, EVM0020227.1, EVM0008856.1, EVM0005502.1, EVM0009125.1, EVM0003491.1, EVM0009334.1, EVM0012408.1, EVM0000486.1, EVM0004190.1, EVM0001158.1	KUTeg_019696
OG0000066	EVM0011991.1, EVM0021293.1, EVM0007973.1, EVM0015306.1	KUTeg_007435
OG0000066	EVM0005772.1, EVM0011089.1, EVM0006757.1	KUTeg_010548, KUTeg_021742, KUTeg_014677, KUTeg_017628, KUTeg_003053, KUTeg_018207
OG0000067	EVM0004350.1	KUTeg_015232
OG0000067	EVM0020800.1	KUTeg_020434, KUTeg_021287
OG0000067	EVM0013073.1	KUTeg_020435
OG0000068	EVM0021180.1	KUTeg_007069
OG0000068	EVM0017850.1, EVM0008811.1	KUTeg_003672, KUTeg_018738, KUTeg_018737
OG0000068	EVM0014266.1, EVM0011395.1, EVM0019131.1	KUTeg_001953, KUTeg_005903, KUTeg_010581, KUTeg_001952, KUTeg_010580, KUTeg_001995
OG0000069	EVM0005804.1, EVM0013442.1	KUTeg_024319, KUTeg_024320, KUTeg_024318
OG0000069	EVM0018309.1	KUTeg_022363, KUTeg_021950, KUTeg_021949, KUTeg_022365, KUTeg_010608, KUTeg_022366, KUTeg_022364, KUTeg_010607, KUTeg_000917, KUTeg_005771, KUTeg_021951, KUTeg_022362, KUTeg_000918, KUTeg_022361
OG0000071	EVM0006712.1, EVM0010806.1	KUTeg_017795
OG0000072	EVM0021979.1	KUTeg_009563
OG0000072	EVM0021526.1	KUTeg_008308
OG0000072	EVM0010043.1, EVM0004666.1	KUTeg_014931
OG0000072	EVM0014562.1, EVM0005376.1	KUTeg_002718
OG0000072	EVM0000687.1	KUTeg_024688
OG0000073	EVM0017308.1	KUTeg_013433
OG0000073	EVM0001767.1	KUTeg_005058
OG0000074	EVM0001185.1	KUTeg_014669, KUTeg_015663, KUTeg_015596
OG0000074	EVM0020724.1, EVM0009642.1, EVM0008812.1, EVM0000889.1, EVM0003348.1, EVM0020473.1, EVM0001063.1, EVM0015793.1	KUTeg_015534, KUTeg_017237
OG0000075	EVM0013922.1	KUTeg_017808
OG0000075	EVM0006736.1	KUTeg_000282, KUTeg_017553
OG0000075	EVM0000572.1, EVM0022397.1	KUTeg_017815
OG0000077	EVM0008293.1	KUTeg_004573
OG0000077	EVM0008172.1, EVM0013060.1, EVM0014407.1	KUTeg_004575
OG0000077	EVM0021835.1, EVM0007930.1	KUTeg_012027, KUTeg_012026
OG0000078	EVM0020689.1	KUTeg_002147, KUTeg_016964, KUTeg_012241, KUTeg_004970, KUTeg_007818, KUTeg_006233, KUTeg_004993, KUTeg_000265, KUTeg_009511, KUTeg_011764, KUTeg_021011, KUTeg_014162, KUTeg_015789, KUTeg_017459, KUTeg_019931, KUTeg_012120, KUTeg_020123
OG0000079	EVM0018284.1	KUTeg_017390, KUTeg_000912
OG0000079	EVM0010290.1	KUTeg_006216, KUTeg_016033, KUTeg_005373, KUTeg_017823, KUTeg_018841, KUTeg_003016, KUTeg_013500
OG0000080	EVM0010046.1, EVM0010601.1	KUTeg_023899, KUTeg_019133, KUTeg_006877, KUTeg_006529, KUTeg_017668, KUTeg_006532, KUTeg_021189, KUTeg_022530, KUTeg_023149, KUTeg_006531, KUTeg_011605, KUTeg_012412, KUTeg_002049, KUTeg_022529, KUTeg_011604
OG0000081	EVM0010642.1	KUTeg_023017
OG0000081	EVM0004521.1, EVM0001972.1	KUTeg_022540
OG0000081	EVM0014290.1	KUTeg_022539
OG0000082	EVM0013651.1	KUTeg_023344, KUTeg_001656, KUTeg_022883, KUTeg_023536, KUTeg_018288, KUTeg_020776, KUTeg_014285, KUTeg_004018, KUTeg_017867, KUTeg_017862, KUTeg_018289, KUTeg_022882, KUTeg_001658, KUTeg_023343, KUTeg_014852, KUTeg_007690, KUTeg_004485, KUTeg_004253
OG0000085	EVM0017387.1, EVM0002764.1, EVM0020792.1, EVM0012830.1, EVM0006055.1, EVM0012321.1, EVM0019116.1, EVM0000469.1, EVM0020673.1, EVM0005246.1, EVM0021679.1, EVM0005361.1, EVM0001660.1, EVM0012596.1	KUTeg_014545
OG0000087	EVM0012017.1	KUTeg_019390, KUTeg_018929
OG0000087	EVM0017486.1	KUTeg_019391, KUTeg_019393, KUTeg_018928, KUTeg_018925
OG0000090	EVM0020531.1, EVM0017814.1, EVM0001626.1, EVM0004762.1, EVM0003553.1, EVM0007030.1, EVM0018529.1, EVM0004219.1, EVM0011179.1, EVM0002746.1, EVM0001663.1, EVM0018962.1, EVM0011701.1, EVM0009012.1, EVM0020069.1, EVM0022173.1	KUTeg_020672
OG0000092	EVM0017408.1, EVM0019712.1, EVM0010874.1, EVM0020255.1, EVM0000260.1, EVM0007135.1, EVM0012481.1, EVM0018475.1, EVM0020843.1, EVM0005575.1, EVM0002616.1, EVM0018074.1, EVM0000280.1, EVM0014619.1, EVM0001368.1, EVM0013643.1	KUTeg_022498
OG0000093	EVM0008514.1, EVM0013274.1	KUTeg_006191, KUTeg_003335, KUTeg_003342
OG0000093	EVM0019466.1, EVM0005551.1	KUTeg_015790, KUTeg_015764, KUTeg_015791, KUTeg_015783
OG0000094	EVM0003890.1	KUTeg_015116
OG0000094	EVM0006419.1	KUTeg_015289, KUTeg_020482, KUTeg_015281, KUTeg_009255, KUTeg_000949, KUTeg_002884, KUTeg_020483, KUTeg_015282, KUTeg_006446, KUTeg_011131, KUTeg_005691, KUTeg_015288, KUTeg_009011, KUTeg_017655, KUTeg_020777
OG0000095	EVM0002668.1	KUTeg_003027, KUTeg_024270
OG0000095	EVM0014631.1	KUTeg_018423, KUTeg_021789, KUTeg_008455, KUTeg_017372, KUTeg_017371, KUTeg_011423, KUTeg_018456, KUTeg_018034, KUTeg_008946, KUTeg_007472, KUTeg_015470, KUTeg_008200, KUTeg_002181, KUTeg_005258
OG0000097	EVM0017327.1, EVM0012287.1	KUTeg_022931
OG0000097	EVM0015443.1	KUTeg_019521, KUTeg_004656
OG0000097	EVM0014957.1	KUTeg_019522
OG0000098	EVM0012984.1	KUTeg_021689
OG0000098	EVM0007504.1	KUTeg_009770
OG0000098	EVM0003931.1	KUTeg_002553
OG0000098	EVM0019633.1	KUTeg_002552
OG0000100	EVM0023515.1, EVM0018410.1	KUTeg_013281
OG0000100	EVM0011206.1	KUTeg_011871, KUTeg_018786, KUTeg_015206, KUTeg_019253
OG0000101	EVM0019836.1	KUTeg_009352, KUTeg_016550
OG0000101	EVM0002094.1, EVM0006286.1, EVM0013635.1, EVM0008566.1	KUTeg_009351, KUTeg_009348, KUTeg_009350, KUTeg_002732, KUTeg_009349, KUTeg_009347
OG0000102	EVM0003119.1	KUTeg_018485, KUTeg_018483
OG0000102	EVM0009890.1	KUTeg_020343, KUTeg_023106, KUTeg_014934, KUTeg_000817, KUTeg_020853, KUTeg_007334, KUTeg_002826, KUTeg_017644, KUTeg_015608, KUTeg_015609
OG0000103	EVM0013891.1, EVM0009335.1, EVM0005154.1, EVM0023919.1, EVM0020062.1, EVM0010323.1, EVM0000499.1, EVM0015204.1, EVM0001983.1, EVM0014844.1, EVM0002767.1, EVM0012378.1, EVM0018411.1, EVM0000234.1, EVM0005301.1	KUTeg_017900
OG0000104	EVM0010708.1, EVM0023962.1, EVM0009733.1, EVM0010577.1, EVM0002506.1, EVM0023994.1, EVM0001646.1, EVM0017890.1, EVM0014615.1, EVM0011257.1, EVM0007024.1, EVM0013337.1, EVM0020022.1, EVM0020457.1	KUTeg_024730, KUTeg_010841
OG0000105	EVM0021403.1	KUTeg_012048, KUTeg_012043, KUTeg_011738, KUTeg_005662
OG0000106	EVM0009906.1	KUTeg_014945
OG0000106	EVM0012868.1, EVM0007910.1, EVM0014066.1, EVM0021622.1, EVM0010123.1, EVM0023156.1, EVM0007348.1, EVM0018602.1, EVM0013695.1, EVM0014479.1, EVM0018091.1, EVM0012310.1, EVM0020722.1, EVM0023787.1	KUTeg_022216
OG0000107	EVM0017265.1	KUTeg_018492
OG0000110	EVM0012379.1, EVM0003556.1, EVM0018943.1	KUTeg_020928, KUTeg_018010, KUTeg_013064, KUTeg_000015, KUTeg_019790, KUTeg_007300
OG0000112	EVM0015521.1, EVM0016184.1	KUTeg_000832, KUTeg_017558, KUTeg_017559, KUTeg_006398, KUTeg_006395, KUTeg_006037, KUTeg_006396, KUTeg_006035, KUTeg_006401, KUTeg_006033, KUTeg_006034, KUTeg_006397, KUTeg_006402
OG0000113	EVM0015727.1	KUTeg_022019, KUTeg_015684
OG0000113	EVM0015755.1, EVM0006384.1, EVM0014022.1	KUTeg_000515
OG0000119	EVM0008575.1, EVM0002511.1	KUTeg_019045
OG0000120	EVM0023981.1	KUTeg_018571, KUTeg_012111, KUTeg_002114, KUTeg_022061, KUTeg_008706, KUTeg_004928, KUTeg_023433, KUTeg_022060, KUTeg_019815, KUTeg_018797, KUTeg_018793, KUTeg_018317, KUTeg_000030, KUTeg_021607
OG0000121	EVM0012737.1	KUTeg_020537
OG0000121	EVM0000107.1	KUTeg_020535
OG0000121	EVM0001094.1	KUTeg_021375, KUTeg_021169
OG0000122	EVM0001842.1	KUTeg_014156
OG0000122	EVM0007019.1	KUTeg_006010, KUTeg_016120, KUTeg_003676
OG0000122	EVM0000955.1	KUTeg_006325
OG0000123	EVM0006636.1	KUTeg_023317, KUTeg_023004, KUTeg_023316, KUTeg_023138
OG0000123	EVM0018567.1	KUTeg_023005, KUTeg_022998, KUTeg_023457, KUTeg_023456
OG0000126	EVM0009767.1	KUTeg_005719, KUTeg_017402, KUTeg_022934, KUTeg_012655, KUTeg_023026, KUTeg_022461, KUTeg_024184, KUTeg_008674, KUTeg_020480, KUTeg_014425, KUTeg_013401, KUTeg_022388, KUTeg_024185, KUTeg_008677, KUTeg_006918
OG0000128	EVM0014515.1	KUTeg_015107
OG0000128	EVM0023115.1, EVM0016623.1	KUTeg_015331
OG0000129	EVM0023208.1, EVM0001577.1	KUTeg_025022
OG0000129	EVM0012295.1	KUTeg_005048
OG0000129	EVM0020032.1	KUTeg_005047, KUTeg_001200, KUTeg_010582
OG0000130	EVM0015155.1	KUTeg_023898
OG0000132	EVM0021965.1	KUTeg_012534, KUTeg_013291, KUTeg_021920, KUTeg_021921, KUTeg_002672, KUTeg_001756, KUTeg_021585, KUTeg_022304, KUTeg_011601
OG0000136	EVM0004463.1, EVM0006515.1, EVM0005137.1	KUTeg_009842
OG0000136	EVM0022560.1	KUTeg_009844
OG0000136	EVM0021202.1	KUTeg_009843, KUTeg_005453
OG0000139	EVM0018740.1	KUTeg_024000
OG0000139	EVM0010081.1	KUTeg_012214
OG0000142	EVM0020904.1	KUTeg_010679, KUTeg_009638, KUTeg_010678, KUTeg_006835, KUTeg_018767
OG0000143	EVM0010621.1	KUTeg_010218
OG0000144	EVM0016570.1	KUTeg_005399
OG0000144	EVM0000230.1	KUTeg_023877
OG0000144	EVM0006619.1	KUTeg_010812, KUTeg_014793, KUTeg_010815
OG0000144	EVM0008102.1	KUTeg_003419
OG0000145	EVM0012614.1	KUTeg_017058
OG0000145	EVM0003912.1	KUTeg_017055, KUTeg_017057
OG0000145	EVM0008138.1	KUTeg_000890
OG0000145	EVM0008602.4	KUTeg_016879
OG0000146	EVM0002477.1, EVM0010816.1	KUTeg_021362
OG0000146	EVM0003747.1, EVM0015869.1, EVM0006240.1, EVM0005897.1	KUTeg_021135, KUTeg_021203
OG0000147	EVM0002333.1	KUTeg_008353, KUTeg_001387
OG0000148	EVM0012374.1	KUTeg_013095
OG0000148	EVM0003025.1	KUTeg_021567
OG0000148	EVM0006502.1	KUTeg_021699
OG0000148	EVM0017243.1, EVM0013058.1, EVM0006678.1, EVM0011156.1, EVM0005564.1	KUTeg_003770
OG0000151	EVM0011419.1	KUTeg_001024, KUTeg_005893, KUTeg_015130, KUTeg_005891, KUTeg_005894, KUTeg_001023, KUTeg_005897, KUTeg_015457, KUTeg_006536, KUTeg_011352, KUTeg_001021, KUTeg_015456, KUTeg_005890
OG0000152	EVM0019845.1, EVM0016226.1	KUTeg_017600, KUTeg_001828, KUTeg_007764, KUTeg_017599, KUTeg_013858, KUTeg_002882, KUTeg_016055, KUTeg_018657, KUTeg_019099, KUTeg_022554, KUTeg_018658, KUTeg_019293
OG0000153	EVM0023311.1	KUTeg_006314
OG0000154	EVM0010301.1, EVM0007086.1	KUTeg_021786
OG0000154	EVM0009716.1	KUTeg_021857, KUTeg_021859
OG0000154	EVM0007714.1	KUTeg_014479
OG0000155	EVM0011229.1, EVM0021208.1, EVM0022954.1	KUTeg_012702, KUTeg_011899, KUTeg_012698, KUTeg_012696, KUTeg_011900, KUTeg_012693, KUTeg_003485, KUTeg_011897, KUTeg_012697, KUTeg_012701, KUTeg_012700
OG0000156	EVM0005453.1, EVM0017522.1, EVM0023983.1, EVM0006857.1, EVM0018186.1, EVM0000110.1, EVM0013445.1, EVM0014623.1, EVM0006694.1, EVM0021952.1, EVM0000095.1, EVM0012027.1, EVM0005377.1, EVM0021583.1	KUTeg_023897
OG0000157	EVM0011802.1	KUTeg_004775
OG0000157	EVM0014059.1, EVM0006875.1	KUTeg_005465
OG0000157	EVM0009989.1, EVM0004557.1, EVM0013186.1, EVM0008472.1, EVM0015163.1, EVM0016449.1, EVM0011607.1	KUTeg_008728
OG0000158	EVM0023238.1	KUTeg_017679
OG0000158	EVM0008178.1	KUTeg_020340, KUTeg_018644, KUTeg_011703, KUTeg_024503, KUTeg_014720, KUTeg_020907, KUTeg_011704, KUTeg_018181, KUTeg_020339, KUTeg_017675, KUTeg_014723, KUTeg_020906
OG0000164	EVM0008030.1, EVM0007173.1	KUTeg_002149, KUTeg_009846
OG0000164	EVM0021805.1, EVM0008131.1	KUTeg_005901, KUTeg_012243
OG0000164	EVM0008531.1, EVM0021104.1	KUTeg_012622, KUTeg_003329
OG0000165	EVM0020289.1	KUTeg_000719, KUTeg_000216
OG0000165	EVM0009839.1	KUTeg_000220, KUTeg_000215
OG0000166	EVM0012702.1	KUTeg_015451
OG0000166	EVM0009435.1	KUTeg_002232
OG0000167	EVM0009248.1, EVM0023656.1	KUTeg_011917, KUTeg_004191
OG0000167	EVM0007273.1, EVM0004726.1	KUTeg_014636
OG0000168	EVM0004263.2	KUTeg_008815
OG0000169	EVM0012211.1, EVM0003290.1, EVM0001220.1	KUTeg_003802, KUTeg_021032
OG0000169	EVM0019094.1	KUTeg_015356
OG0000169	EVM0003987.1	KUTeg_015353
OG0000169	EVM0022751.1	KUTeg_008534
OG0000170	EVM0015949.1	KUTeg_021391, KUTeg_019787, KUTeg_018510, KUTeg_005679, KUTeg_011679, KUTeg_024139, KUTeg_005697, KUTeg_018186, KUTeg_021916, KUTeg_021915, KUTeg_018509, KUTeg_018188
OG0000171	EVM0004671.1, EVM0005247.1	KUTeg_020295
OG0000172	EVM0023327.1, EVM0000777.1, EVM0004142.1, EVM0004086.1	KUTeg_012613, KUTeg_011642, KUTeg_019129, KUTeg_024105, KUTeg_024104
