Orthogroup	Azeb	Sbro	Tgra
OG0000010	mikado.HiC_scaffold_1.0G150.1, mikado.HiC_scaffold_1.0G156.1, mikado.HiC_scaffold_1.0G156.2, mikado.HiC_scaffold_1.0G191.1, mikado.HiC_scaffold_1.0G452.1, mikado.HiC_scaffold_1.0G453.1, mikado.HiC_scaffold_1.0G455.1, mikado.HiC_scaffold_1.0G484.1, mikado.HiC_scaffold_1.0G485.1, mikado.HiC_scaffold_1.0G486.1, mikado.HiC_scaffold_1.0G487.1, mikado.HiC_scaffold_1.0G489.1, mikado.HiC_scaffold_1.0G501.1, mikado.HiC_scaffold_1.0G502.1, mikado.HiC_scaffold_10.0G115.1, mikado.HiC_scaffold_10.0G267.1, mikado.HiC_scaffold_10.0G453.1, mikado.HiC_scaffold_14.0G517.1, mikado.HiC_scaffold_19.0G1159.1, mikado.HiC_scaffold_19.0G1405.1, mikado.HiC_scaffold_19.0G1406.1, mikado.HiC_scaffold_2.0G1071.1, mikado.HiC_scaffold_21.0G402.1, mikado.HiC_scaffold_21.0G403.1, mikado.HiC_scaffold_3.0G200.1, mikado.HiC_scaffold_3.0G333.1, mikado.HiC_scaffold_3.0G334.1, mikado.HiC_scaffold_3.0G82.1, mikado.HiC_scaffold_3.0G83.1, mikado.HiC_scaffold_3.0G84.1, mikado.HiC_scaffold_5.0G212.1, mikado.HiC_scaffold_5.0G263.1, mikado.HiC_scaffold_8.8335562G758.1, mikado.HiC_scaffold_8.8335562G759.1, mikado.HiC_scaffold_8.8335562G760.1, mikado.HiC_scaffold_8.8335562G761.1		
OG0000011	mikado.HiC_scaffold_1.0G291.1, mikado.HiC_scaffold_1.0G301.1, mikado.HiC_scaffold_1.0G364.1, mikado.HiC_scaffold_10.0G531.1, mikado.HiC_scaffold_11.0G16.1, mikado.HiC_scaffold_11.0G612.1, mikado.HiC_scaffold_12.3160685G17.1, mikado.HiC_scaffold_12.3160685G44.1, mikado.HiC_scaffold_143G3.1, mikado.HiC_scaffold_15.0G1422.1, mikado.HiC_scaffold_17.0G110.1, mikado.HiC_scaffold_17.0G120.1, mikado.HiC_scaffold_17.0G215.1, mikado.HiC_scaffold_17.0G561.1, mikado.HiC_scaffold_17.0G677.1, mikado.HiC_scaffold_17.0G995.1, mikado.HiC_scaffold_18.0G138.1, mikado.HiC_scaffold_18.0G245.1, mikado.HiC_scaffold_18.0G296.1, mikado.HiC_scaffold_18.0G303.1, mikado.HiC_scaffold_18.0G327.1, mikado.HiC_scaffold_18.0G341.1, mikado.HiC_scaffold_18.0G36.1, mikado.HiC_scaffold_18.0G37.1, mikado.HiC_scaffold_18.0G807.1, mikado.HiC_scaffold_19.0G1324.1, mikado.HiC_scaffold_19.0G1390.1, mikado.HiC_scaffold_2.0G33.1, mikado.HiC_scaffold_5.0G199.1, mikado.HiC_scaffold_5.0G200.1, mikado.HiC_scaffold_5.0G204.1, mikado.HiC_scaffold_5.0G282.1, mikado.HiC_scaffold_5.0G306.1, mikado.HiC_scaffold_9.0G1510.1, mikado.HiC_scaffold_9.0G1510.2	EVM0007388.1	
OG0000012	mikado.HiC_scaffold_1.0G10.1, mikado.HiC_scaffold_17.0G778.1, mikado.HiC_scaffold_17.0G779.1, mikado.HiC_scaffold_17.0G780.1, mikado.HiC_scaffold_21.0G28.1, mikado.HiC_scaffold_21.0G29.1, mikado.HiC_scaffold_21.0G30.1, mikado.HiC_scaffold_21.0G31.1, mikado.HiC_scaffold_21.0G470.1, mikado.HiC_scaffold_4.0G154.1, mikado.HiC_scaffold_4.0G155.1, mikado.HiC_scaffold_4.0G156.1, mikado.HiC_scaffold_4.0G157.1, mikado.HiC_scaffold_4.0G158.1, mikado.HiC_scaffold_4.0G159.1, mikado.HiC_scaffold_4.0G160.1, mikado.HiC_scaffold_4.0G161.1, mikado.HiC_scaffold_4.0G162.1, mikado.HiC_scaffold_4.0G163.1, mikado.HiC_scaffold_4.0G164.1, mikado.HiC_scaffold_4.0G250.1, mikado.HiC_scaffold_4.0G251.1, mikado.HiC_scaffold_4.0G252.1, mikado.HiC_scaffold_4.0G253.1, mikado.HiC_scaffold_4.0G254.1, mikado.HiC_scaffold_4.0G255.1, mikado.HiC_scaffold_4.0G256.1, mikado.HiC_scaffold_4.0G257.1, mikado.HiC_scaffold_4.0G307.1, mikado.HiC_scaffold_4.0G330.1, mikado.HiC_scaffold_4.0G635.1, mikado.HiC_scaffold_4.0G636.1, mikado.HiC_scaffold_9.0G205.1	EVM0006215.1, EVM0018945.1	
OG0000013	mikado.HiC_scaffold_21.0G22.1		KUTeg_000561, KUTeg_000713, KUTeg_004839, KUTeg_005415, KUTeg_005418, KUTeg_005983, KUTeg_006825, KUTeg_007251, KUTeg_009093, KUTeg_011101, KUTeg_011424, KUTeg_011593, KUTeg_011594, KUTeg_011747, KUTeg_011859, KUTeg_011880, KUTeg_012216, KUTeg_012602, KUTeg_012634, KUTeg_015474, KUTeg_016148, KUTeg_017542, KUTeg_018772, KUTeg_018845, KUTeg_018846, KUTeg_020704, KUTeg_020710, KUTeg_020711, KUTeg_021217, KUTeg_021226, KUTeg_022143, KUTeg_022144, KUTeg_023570, KUTeg_023571
OG0000014	mikado.HiC_scaffold_10.0G149.1, mikado.HiC_scaffold_10.0G196.1, mikado.HiC_scaffold_10.0G197.1, mikado.HiC_scaffold_10.0G397.1, mikado.HiC_scaffold_10.0G398.1, mikado.HiC_scaffold_10.0G399.1, mikado.HiC_scaffold_10.0G431.1, mikado.HiC_scaffold_10.0G436.1, mikado.HiC_scaffold_12.3160685G104.1, mikado.HiC_scaffold_13.0G1464.1, mikado.HiC_scaffold_13.0G880.1, mikado.HiC_scaffold_13.0G881.1, mikado.HiC_scaffold_14.0G704.1, mikado.HiC_scaffold_14.0G704.2, mikado.HiC_scaffold_14.0G705.1, mikado.HiC_scaffold_14.0G891.1, mikado.HiC_scaffold_14.0G892.1, mikado.HiC_scaffold_14.0G893.1, mikado.HiC_scaffold_16.0G513.1, mikado.HiC_scaffold_17.0G228.1, mikado.HiC_scaffold_17.0G801.1, mikado.HiC_scaffold_17.0G802.1, mikado.HiC_scaffold_17.0G803.1, mikado.HiC_scaffold_2.0G58.1, mikado.HiC_scaffold_3.0G374.1, mikado.HiC_scaffold_4.0G503.1, mikado.HiC_scaffold_5.0G241.1, mikado.HiC_scaffold_5.0G241.2, mikado.HiC_scaffold_5.0G254.1, mikado.HiC_scaffold_5.0G270.1, mikado.HiC_scaffold_9.0G565.1, mikado.HiC_scaffold_9.0G566.1, mikado.HiC_scaffold_9.0G567.1	EVM0020362.1	
OG0000015		EVM0017892.1, EVM0021996.1	KUTeg_002878, KUTeg_002913, KUTeg_002914, KUTeg_005376, KUTeg_005377, KUTeg_005432, KUTeg_005543, KUTeg_005546, KUTeg_005788, KUTeg_009057, KUTeg_011229, KUTeg_011230, KUTeg_011243, KUTeg_011245, KUTeg_014564, KUTeg_014718, KUTeg_014719, KUTeg_014721, KUTeg_014722, KUTeg_014724, KUTeg_014725, KUTeg_014797, KUTeg_014798, KUTeg_014799, KUTeg_014800, KUTeg_015689, KUTeg_017319, KUTeg_017320, KUTeg_017321, KUTeg_017322, KUTeg_017323, KUTeg_018463
OG0000016	mikado.HiC_scaffold_1.0G454.1, mikado.HiC_scaffold_116G1.1, mikado.HiC_scaffold_18.0G1339.1, mikado.HiC_scaffold_21.0G1003.1	EVM0015943.1	KUTeg_000785, KUTeg_001014, KUTeg_001089, KUTeg_004493, KUTeg_005715, KUTeg_005778, KUTeg_006074, KUTeg_006535, KUTeg_008454, KUTeg_008760, KUTeg_008976, KUTeg_009055, KUTeg_009388, KUTeg_010577, KUTeg_010627, KUTeg_010629, KUTeg_010864, KUTeg_011281, KUTeg_013667, KUTeg_014507, KUTeg_014559, KUTeg_014880, KUTeg_018047, KUTeg_018596, KUTeg_019893, KUTeg_021497, KUTeg_021610, KUTeg_024960
OG0000017		EVM0000837.1, EVM0003154.1, EVM0005663.1, EVM0007965.1, EVM0008269.1, EVM0008888.1, EVM0009068.1, EVM0009242.1, EVM0010213.1, EVM0011639.1, EVM0013176.1, EVM0015619.1, EVM0018113.1, EVM0019665.1, EVM0020546.1, EVM0020778.1, EVM0023306.1, EVM0023499.1, EVM0023571.1	KUTeg_000996, KUTeg_001320, KUTeg_001323, KUTeg_006561, KUTeg_009324, KUTeg_010499, KUTeg_011932, KUTeg_014613, KUTeg_014622, KUTeg_017217, KUTeg_017219, KUTeg_018088, KUTeg_021486, KUTeg_021980
OG0000018		EVM0007449.1, EVM0018717.1, EVM0022928.1	KUTeg_000735, KUTeg_000740, KUTeg_002456, KUTeg_004292, KUTeg_006110, KUTeg_006323, KUTeg_006417, KUTeg_006910, KUTeg_007001, KUTeg_007080, KUTeg_007429, KUTeg_008019, KUTeg_010173, KUTeg_010576, KUTeg_011453, KUTeg_012755, KUTeg_014489, KUTeg_014712, KUTeg_015142, KUTeg_015517, KUTeg_015709, KUTeg_015710, KUTeg_015732, KUTeg_015771, KUTeg_016405, KUTeg_016406, KUTeg_017883, KUTeg_017886, KUTeg_017986, KUTeg_019254
OG0000019	mikado.HiC_scaffold_1.0G112.1, mikado.HiC_scaffold_1.0G172.1, mikado.HiC_scaffold_1.0G701.1, mikado.HiC_scaffold_1.0G703.1, mikado.HiC_scaffold_1.0G82.1, mikado.HiC_scaffold_1.0G904.1, mikado.HiC_scaffold_10.0G74.1, mikado.HiC_scaffold_11.0G20.1, mikado.HiC_scaffold_116G3.1, mikado.HiC_scaffold_117G2.1, mikado.HiC_scaffold_14.0G536.1, mikado.HiC_scaffold_15.0G2023.1, mikado.HiC_scaffold_17.0G806.1, mikado.HiC_scaffold_19.0G477.1, mikado.HiC_scaffold_19.0G928.1, mikado.HiC_scaffold_2.0G1449.1, mikado.HiC_scaffold_21.0G624.1, mikado.HiC_scaffold_21.0G750.1, mikado.HiC_scaffold_297.0G1.1, mikado.HiC_scaffold_3.0G227.1, mikado.HiC_scaffold_3.0G332.1, mikado.HiC_scaffold_327G3.1, mikado.HiC_scaffold_4.0G217.1, mikado.HiC_scaffold_4.0G675.1, mikado.HiC_scaffold_4336G1.1, mikado.HiC_scaffold_4350G1.1, mikado.HiC_scaffold_4350G2.1, mikado.HiC_scaffold_4350G2.2, mikado.HiC_scaffold_4371G1.1, mikado.HiC_scaffold_7.0G1149.1, mikado.HiC_scaffold_7.0G1184.1, mikado.HiC_scaffold_8.8335562G1245.1		
OG0000020	mikado.HiC_scaffold_1098G1.1, mikado.HiC_scaffold_19.0G689.1, mikado.HiC_scaffold_21.0G19.1	EVM0014346.1	KUTeg_001006, KUTeg_001305, KUTeg_002818, KUTeg_006560, KUTeg_007331, KUTeg_009325, KUTeg_009779, KUTeg_011997, KUTeg_012096, KUTeg_012184, KUTeg_012793, KUTeg_014416, KUTeg_014495, KUTeg_014607, KUTeg_014870, KUTeg_014871, KUTeg_017072, KUTeg_017403, KUTeg_017745, KUTeg_018650, KUTeg_018680, KUTeg_019674, KUTeg_021596, KUTeg_021794, KUTeg_021828, KUTeg_021835, KUTeg_022001, KUTeg_023089
OG0000021	mikado.HiC_scaffold_4.0G910.1	EVM0000540.1, EVM0001849.1, EVM0002793.1, EVM0003070.1, EVM0004162.1, EVM0004402.1, EVM0007223.1, EVM0008337.1, EVM0008968.1, EVM0011858.1, EVM0014963.1, EVM0019284.1, EVM0022902.1	KUTeg_001008, KUTeg_007311, KUTeg_010716, KUTeg_010865, KUTeg_010891, KUTeg_010892, KUTeg_010926, KUTeg_010934, KUTeg_010961, KUTeg_010963, KUTeg_010966, KUTeg_011068, KUTeg_011069, KUTeg_011070, KUTeg_014511, KUTeg_014513, KUTeg_014514
OG0000022		EVM0009687.1, EVM0012681.1	KUTeg_000915, KUTeg_004438, KUTeg_009158, KUTeg_009275, KUTeg_009277, KUTeg_010816, KUTeg_010982, KUTeg_010985, KUTeg_010987, KUTeg_010988, KUTeg_010990, KUTeg_011406, KUTeg_011407, KUTeg_011443, KUTeg_011460, KUTeg_011461, KUTeg_011463, KUTeg_012811, KUTeg_012812, KUTeg_012813, KUTeg_012814, KUTeg_012815, KUTeg_012816, KUTeg_014561, KUTeg_015743, KUTeg_015744, KUTeg_015760, KUTeg_017303, KUTeg_017383
