Orthogroup	Tgra	Azeb
OG0000024	KUTeg_010219	mikado.HiC_scaffold_16.0G567.1, mikado.HiC_scaffold_9.0G330.1, mikado.HiC_scaffold_15.0G1046.1, mikado.HiC_scaffold_10.0G588.1, mikado.HiC_scaffold_10.0G589.1, mikado.HiC_scaffold_10.0G788.1, mikado.HiC_scaffold_10.0G787.1, mikado.HiC_scaffold_10.0G786.1, mikado.HiC_scaffold_12.3160685G348.1, mikado.HiC_scaffold_19.0G771.1, mikado.HiC_scaffold_2.0G199.1, mikado.HiC_scaffold_9.0G328.1, mikado.HiC_scaffold_9.0G328.2, mikado.HiC_scaffold_9.0G332.2, mikado.HiC_scaffold_9.0G332.1
OG0000026	KUTeg_005071	mikado.HiC_scaffold_14.0G615.1
OG0000026	KUTeg_021963, KUTeg_011545	mikado.HiC_scaffold_19.0G963.1
OG0000026	KUTeg_004119	mikado.HiC_scaffold_13.0G598.1, mikado.HiC_scaffold_13.0G597.1, mikado.HiC_scaffold_13.0G595.1, mikado.HiC_scaffold_13.0G591.1, mikado.HiC_scaffold_13.0G590.1, mikado.HiC_scaffold_12.3160685G1006.1, mikado.HiC_scaffold_12.3160685G887.1, mikado.HiC_scaffold_9.0G1226.1
OG0000026	KUTeg_017894	mikado.HiC_scaffold_5.0G735.1
OG0000027	KUTeg_022398, KUTeg_011194, KUTeg_016603, KUTeg_011600, KUTeg_003852, KUTeg_008943, KUTeg_009608	mikado.HiC_scaffold_16.0G178.1, mikado.HiC_scaffold_21.0G1046.1
OG0000027	KUTeg_011197, KUTeg_017048, KUTeg_012327, KUTeg_021901, KUTeg_005594, KUTeg_002227, KUTeg_020120, KUTeg_014609, KUTeg_021899, KUTeg_016614, KUTeg_007478, KUTeg_021900, KUTeg_020456, KUTeg_005038, KUTeg_000880, KUTeg_016364, KUTeg_002604, KUTeg_024225, KUTeg_019796, KUTeg_020457	mikado.HiC_scaffold_21.0G970.1
OG0000028	KUTeg_019634	mikado.HiC_scaffold_18.0G233.1, mikado.HiC_scaffold_3.0G990.1, mikado.HiC_scaffold_1.0G335.1, mikado.HiC_scaffold_13.0G561.1, mikado.HiC_scaffold_378.0G1.1, mikado.HiC_scaffold_378.0G1.2, mikado.HiC_scaffold_14.0G747.1, mikado.HiC_scaffold_12.3160685G632.1, mikado.HiC_scaffold_1.0G115.1, mikado.HiC_scaffold_21.0G1169.1, mikado.HiC_scaffold_150G2.1, mikado.HiC_scaffold_1.0G708.1, mikado.HiC_scaffold_4321G1.2, mikado.HiC_scaffold_4321G1.1, mikado.HiC_scaffold_1.0G371.1, mikado.HiC_scaffold_14.0G35.1, mikado.HiC_scaffold_1.0G325.1, mikado.HiC_scaffold_16.0G664.1, mikado.HiC_scaffold_12.3160685G321.1, mikado.HiC_scaffold_17.0G746.1, mikado.HiC_scaffold_16.0G550.1, mikado.HiC_scaffold_19.0G676.1, mikado.HiC_scaffold_1.0G24.1, mikado.HiC_scaffold_13.0G562.1, mikado.HiC_scaffold_4.0G662.1, mikado.HiC_scaffold_378.0G2.1, mikado.HiC_scaffold_4322G1.1
OG0000029	KUTeg_006486, KUTeg_017308, KUTeg_014709, KUTeg_006450, KUTeg_006447, KUTeg_002866, KUTeg_024705, KUTeg_006485, KUTeg_000010, KUTeg_006114, KUTeg_002865, KUTeg_006449, KUTeg_010622, KUTeg_014747, KUTeg_014713, KUTeg_014490, KUTeg_011422, KUTeg_002864, KUTeg_002731, KUTeg_017307, KUTeg_014746, KUTeg_011241, KUTeg_006484, KUTeg_000906, KUTeg_013003	mikado.HiC_scaffold_1.0G672.1, mikado.HiC_scaffold_1.0G639.1
OG0000033	KUTeg_001115, KUTeg_018665, KUTeg_021462, KUTeg_000228, KUTeg_018659, KUTeg_018687, KUTeg_018660, KUTeg_010282, KUTeg_018771, KUTeg_022166, KUTeg_020039, KUTeg_021463, KUTeg_015400, KUTeg_015610, KUTeg_004061, KUTeg_022492, KUTeg_022054, KUTeg_015559, KUTeg_022167, KUTeg_022497, KUTeg_017924, KUTeg_006657, KUTeg_022476, KUTeg_006654	mikado.HiC_scaffold_17.0G522.1, mikado.HiC_scaffold_21.0G557.1, mikado.HiC_scaffold_13.0G925.1
OG0000036	KUTeg_024545, KUTeg_024194	mikado.HiC_scaffold_13.0G1142.1, mikado.HiC_scaffold_13.0G1147.1, mikado.HiC_scaffold_7.0G14.1, mikado.HiC_scaffold_7.0G8.1, mikado.HiC_scaffold_4.0G809.1, mikado.HiC_scaffold_7.0G10.1, mikado.HiC_scaffold_7.0G1235.1, mikado.HiC_scaffold_3.0G505.1, mikado.HiC_scaffold_3.0G508.1, mikado.HiC_scaffold_17.0G1125.1, mikado.HiC_scaffold_7.0G185.1, mikado.HiC_scaffold_13.0G1098.1, mikado.HiC_scaffold_3.0G464.1, mikado.HiC_scaffold_3.0G467.1, mikado.HiC_scaffold_19.0G387.1, mikado.HiC_scaffold_19.0G379.1, mikado.HiC_scaffold_19.0G968.1, mikado.HiC_scaffold_9.0G366.1, mikado.HiC_scaffold_19.0G966.1, mikado.HiC_scaffold_19.0G768.1, mikado.HiC_scaffold_16.0G1096.1, mikado.HiC_scaffold_19.0G64.1, mikado.HiC_scaffold_19.0G70.1
OG0000037	KUTeg_022306, KUTeg_008153	mikado.HiC_scaffold_285G6.1, mikado.HiC_scaffold_18.0G284.1
OG0000037	KUTeg_018725, KUTeg_016414, KUTeg_020464, KUTeg_008970, KUTeg_018201, KUTeg_022695, KUTeg_006601, KUTeg_008152, KUTeg_007704, KUTeg_018773, KUTeg_017797, KUTeg_022209, KUTeg_014487, KUTeg_021772, KUTeg_004627, KUTeg_000018, KUTeg_007293, KUTeg_008996	mikado.HiC_scaffold_4.0G302.1
OG0000038	KUTeg_016856	mikado.HiC_scaffold_13.0G974.1
OG0000038	KUTeg_012115	mikado.HiC_scaffold_13.0G1080.1
OG0000039	KUTeg_008865	mikado.HiC_scaffold_19.0G985.1
OG0000039	KUTeg_002763, KUTeg_020140	mikado.HiC_scaffold_15.0G1023.1
OG0000039	KUTeg_004513	mikado.HiC_scaffold_9.0G969.1
OG0000041	KUTeg_011088	mikado.HiC_scaffold_10.0G627.1, mikado.HiC_scaffold_10.0G626.1
OG0000041	KUTeg_010375	mikado.HiC_scaffold_2.0G963.1
OG0000041	KUTeg_012363	mikado.HiC_scaffold_15.0G2420.1
OG0000041	KUTeg_013710	mikado.HiC_scaffold_11.0G495.1, mikado.HiC_scaffold_12.3160685G454.1
OG0000041	KUTeg_006183	mikado.HiC_scaffold_1.0G772.1, mikado.HiC_scaffold_1.0G606.1
OG0000042	KUTeg_017398, KUTeg_017396, KUTeg_017395, KUTeg_022535	mikado.HiC_scaffold_19.0G141.1, mikado.HiC_scaffold_21.0G936.1
OG0000042	KUTeg_002813, KUTeg_009013, KUTeg_005752, KUTeg_014482	mikado.HiC_scaffold_21.0G92.1, mikado.HiC_scaffold_15.0G259.1, mikado.HiC_scaffold_2.0G444.1
OG0000042	KUTeg_011256, KUTeg_005866, KUTeg_007734, KUTeg_012497	mikado.HiC_scaffold_19.0G1297.1
OG0000043	KUTeg_022217	mikado.HiC_scaffold_12.3160685G764.1
OG0000043	KUTeg_012052, KUTeg_011869, KUTeg_011756, KUTeg_018732, KUTeg_002820, KUTeg_014628, KUTeg_024381, KUTeg_014574, KUTeg_011154, KUTeg_024122, KUTeg_018731, KUTeg_022395, KUTeg_021923, KUTeg_003035, KUTeg_021481, KUTeg_017304, KUTeg_021431	mikado.HiC_scaffold_4.0G418.1
OG0000046	KUTeg_016920, KUTeg_023295, KUTeg_017919, KUTeg_016919, KUTeg_010889, KUTeg_022293, KUTeg_009741, KUTeg_007615, KUTeg_005166, KUTeg_011589, KUTeg_011740, KUTeg_011625, KUTeg_023542, KUTeg_005874, KUTeg_017920, KUTeg_017793, KUTeg_003803, KUTeg_023296, KUTeg_024854, KUTeg_000022, KUTeg_015188, KUTeg_012507	mikado.HiC_scaffold_7.0G831.1
OG0000050	KUTeg_006092, KUTeg_006086, KUTeg_006087, KUTeg_006084, KUTeg_015792, KUTeg_017312, KUTeg_006487, KUTeg_010626, KUTeg_006083, KUTeg_006085, KUTeg_006089, KUTeg_010631, KUTeg_006289, KUTeg_006088, KUTeg_001086, KUTeg_017311, KUTeg_006445, KUTeg_006294, KUTeg_006288, KUTeg_006292, KUTeg_006295, KUTeg_006453	mikado.HiC_scaffold_1.0G641.1
OG0000051	KUTeg_018204	mikado.HiC_scaffold_16.0G571.1
OG0000053	KUTeg_011580, KUTeg_018730	mikado.HiC_scaffold_11.0G428.1
OG0000057	KUTeg_021728, KUTeg_021727, KUTeg_011578, KUTeg_015516, KUTeg_015685, KUTeg_021729, KUTeg_009250, KUTeg_022137, KUTeg_021730, KUTeg_011271, KUTeg_009251, KUTeg_005930, KUTeg_005931, KUTeg_005921, KUTeg_018711, KUTeg_005922	mikado.HiC_scaffold_1.0G1040.1
OG0000058	KUTeg_000455	mikado.HiC_scaffold_4.0G650.1, mikado.HiC_scaffold_3.0G878.1, mikado.HiC_scaffold_3.0G879.1, mikado.HiC_scaffold_3.0G877.1, mikado.HiC_scaffold_3.0G876.1, mikado.HiC_scaffold_14.0G452.1, mikado.HiC_scaffold_11.0G493.2, mikado.HiC_scaffold_11.0G493.1, mikado.HiC_scaffold_11.0G492.1, mikado.HiC_scaffold_2.0G1457.1, mikado.HiC_scaffold_3.0G117.1, mikado.HiC_scaffold_3.0G118.1, mikado.HiC_scaffold_4.0G249.1, mikado.HiC_scaffold_5.0G994.1, mikado.HiC_scaffold_3.0G115.1, mikado.HiC_scaffold_3.0G116.1, mikado.HiC_scaffold_4.0G808.1, mikado.HiC_scaffold_12.3160685G782.1, mikado.HiC_scaffold_5.0G1182.1, mikado.HiC_scaffold_3.0G119.2, mikado.HiC_scaffold_3.0G119.1
OG0000059	KUTeg_006568, KUTeg_021487, KUTeg_018649, KUTeg_024378, KUTeg_010543, KUTeg_014627, KUTeg_021482, KUTeg_011155, KUTeg_007066, KUTeg_021686, KUTeg_001325, KUTeg_023042, KUTeg_009263, KUTeg_018729, KUTeg_017221, KUTeg_012417, KUTeg_002815, KUTeg_012681, KUTeg_012799, KUTeg_022396	mikado.HiC_scaffold_12.3160685G1339.1, mikado.HiC_scaffold_17.0G941.1
OG0000060	KUTeg_019516	mikado.HiC_scaffold_18.0G685.1, mikado.HiC_scaffold_19.0G1172.1, mikado.HiC_scaffold_19.0G1171.1, mikado.HiC_scaffold_4.0G646.1, mikado.HiC_scaffold_18.0G985.1, mikado.HiC_scaffold_12.3160685G1595.1, mikado.HiC_scaffold_21.0G631.1, mikado.HiC_scaffold_19.0G1173.1, mikado.HiC_scaffold_12.3160685G1380.1, mikado.HiC_scaffold_407G2.1, mikado.HiC_scaffold_19.0G1204.1, mikado.HiC_scaffold_21.0G662.1, mikado.HiC_scaffold_18.0G1204.1, mikado.HiC_scaffold_18.0G674.1, mikado.HiC_scaffold_18.0G673.1, mikado.HiC_scaffold_18.0G675.1, mikado.HiC_scaffold_18.0G1203.1, mikado.HiC_scaffold_18.0G1202.1, mikado.HiC_scaffold_18.0G784.1, mikado.HiC_scaffold_16.0G1671.1
OG0000063	KUTeg_000260, KUTeg_017892, KUTeg_019696	mikado.HiC_scaffold_2.0G180.1, mikado.HiC_scaffold_15.0G377.1, mikado.HiC_scaffold_16.0G1849.1
OG0000064	KUTeg_021868, KUTeg_019255, KUTeg_023895, KUTeg_022012, KUTeg_015028, KUTeg_011555, KUTeg_009274, KUTeg_012983, KUTeg_007932, KUTeg_014484, KUTeg_013899, KUTeg_011557, KUTeg_019252, KUTeg_002733, KUTeg_023894, KUTeg_006312, KUTeg_022017, KUTeg_022243, KUTeg_006313	mikado.HiC_scaffold_2.0G603.1
OG0000066	KUTeg_002749, KUTeg_007435, KUTeg_010548, KUTeg_021742, KUTeg_014677, KUTeg_017628, KUTeg_003053, KUTeg_018207	mikado.HiC_scaffold_3.0G862.1
OG0000067	KUTeg_015232	mikado.HiC_scaffold_4.0G397.1
OG0000067	KUTeg_011148, KUTeg_011152, KUTeg_021293, KUTeg_015657, KUTeg_020434, KUTeg_021287, KUTeg_020435	mikado.HiC_scaffold_4.0G540.1, mikado.HiC_scaffold_4.0G541.1, mikado.HiC_scaffold_4.0G539.1, mikado.HiC_scaffold_4.0G542.2, mikado.HiC_scaffold_4.0G542.1
OG0000068	KUTeg_007069	mikado.HiC_scaffold_12.3160685G583.1
OG0000068	KUTeg_003672, KUTeg_018738, KUTeg_018737, KUTeg_001953, KUTeg_005903, KUTeg_010581, KUTeg_001952, KUTeg_010580, KUTeg_001995	mikado.HiC_scaffold_9.0G1475.1, mikado.HiC_scaffold_9.0G632.1
OG0000070	KUTeg_011119	mikado.HiC_scaffold_4353G1.1, mikado.HiC_scaffold_16.0G1738.1, mikado.HiC_scaffold_19.0G1433.1, mikado.HiC_scaffold_15.0G2504.1, mikado.HiC_scaffold_2.0G212.1, mikado.HiC_scaffold_19.0G1158.1, mikado.HiC_scaffold_4.0G140.1, mikado.HiC_scaffold_7.0G431.1, mikado.HiC_scaffold_14.0G295.1, mikado.HiC_scaffold_12.3160685G527.1, mikado.HiC_scaffold_18.0G573.1, mikado.HiC_scaffold_7.0G983.1, mikado.HiC_scaffold_17.0G816.1, mikado.HiC_scaffold_10.0G145.1, mikado.HiC_scaffold_5.0G1331.1, mikado.HiC_scaffold_8.8335562G929.1, mikado.HiC_scaffold_1.0G83.1, mikado.HiC_scaffold_15.0G1613.1
OG0000071	KUTeg_017795	mikado.HiC_scaffold_14.0G573.1, mikado.HiC_scaffold_1.0G850.1, mikado.HiC_scaffold_21.0G51.1, mikado.HiC_scaffold_1.0G1133.1, mikado.HiC_scaffold_19.0G958.1, mikado.HiC_scaffold_19.0G801.1, mikado.HiC_scaffold_19.0G890.1, mikado.HiC_scaffold_19.0G67.1, mikado.HiC_scaffold_17.0G567.1, mikado.HiC_scaffold_19.0G1294.1, mikado.HiC_scaffold_10.0G648.1, mikado.HiC_scaffold_10.0G649.1, mikado.HiC_scaffold_7.0G1239.1, mikado.HiC_scaffold_15.0G1906.1, mikado.HiC_scaffold_19.0G792.1, mikado.HiC_scaffold_21.0G25.1
OG0000072	KUTeg_009563, KUTeg_008308, KUTeg_014931, KUTeg_002718	mikado.HiC_scaffold_2.0G109.1, mikado.HiC_scaffold_17.0G313.1, mikado.HiC_scaffold_2.0G787.1, mikado.HiC_scaffold_2.0G110.1
OG0000072	KUTeg_024688	mikado.HiC_scaffold_7.0G555.1
OG0000073	KUTeg_013433	mikado.HiC_scaffold_3.0G48.1, mikado.HiC_scaffold_308G1.1, mikado.HiC_scaffold_16.0G1159.1, mikado.HiC_scaffold_15.0G589.1
OG0000073	KUTeg_005058	mikado.HiC_scaffold_16.0G522.1, mikado.HiC_scaffold_16.0G520.1, mikado.HiC_scaffold_12.3160685G290.1, mikado.HiC_scaffold_21.0G1223.1, mikado.HiC_scaffold_13.0G950.1, mikado.HiC_scaffold_8.8335562G449.1, mikado.HiC_scaffold_5.0G586.1, mikado.HiC_scaffold_13.0G767.1, mikado.HiC_scaffold_7.0G1336.1, mikado.HiC_scaffold_15.0G2384.1, mikado.HiC_scaffold_19.0G243.1
OG0000074	KUTeg_007306	mikado.HiC_scaffold_4.0G562.1
OG0000074	KUTeg_020903, KUTeg_015300, KUTeg_014669, KUTeg_015663, KUTeg_015596, KUTeg_015534, KUTeg_017237	mikado.HiC_scaffold_4.0G81.1
OG0000075	KUTeg_017808	mikado.HiC_scaffold_5.0G656.1
OG0000075	KUTeg_000282, KUTeg_017553	mikado.HiC_scaffold_19.0G451.1, mikado.HiC_scaffold_19.0G450.1, mikado.HiC_scaffold_15.0G1132.1
OG0000077	KUTeg_004573	mikado.HiC_scaffold_9.0G170.3, mikado.HiC_scaffold_9.0G170.2, mikado.HiC_scaffold_9.0G170.1
OG0000077	KUTeg_004575	mikado.HiC_scaffold_16.0G1400.1, mikado.HiC_scaffold_16.0G1399.1, mikado.HiC_scaffold_9.0G167.1, mikado.HiC_scaffold_9.0G166.1, mikado.HiC_scaffold_9.0G169.1
OG0000077	KUTeg_012027, KUTeg_012026	mikado.HiC_scaffold_15.0G2257.1
OG0000078	KUTeg_002147, KUTeg_016964, KUTeg_012241, KUTeg_004970, KUTeg_007818, KUTeg_006233, KUTeg_004993, KUTeg_000265, KUTeg_009511, KUTeg_011764, KUTeg_021011, KUTeg_014162, KUTeg_015789, KUTeg_017459, KUTeg_019931, KUTeg_012120, KUTeg_020123	mikado.HiC_scaffold_15.0G1976.1
OG0000079	KUTeg_017390, KUTeg_000912	mikado.HiC_scaffold_21.0G160.1, mikado.HiC_scaffold_15.0G2386.1
OG0000079	KUTeg_011755, KUTeg_017589, KUTeg_002817	mikado.HiC_scaffold_21.0G553.1
OG0000079	KUTeg_006216, KUTeg_016033, KUTeg_005373, KUTeg_017823, KUTeg_018841, KUTeg_003016, KUTeg_013500	mikado.HiC_scaffold_16.0G416.1
OG0000080	KUTeg_023899	mikado.HiC_scaffold_21.0G555.1
OG0000080	KUTeg_019133, KUTeg_006877, KUTeg_006529, KUTeg_017668, KUTeg_006532, KUTeg_021189, KUTeg_022530, KUTeg_023149, KUTeg_006531, KUTeg_011605, KUTeg_012412, KUTeg_002049, KUTeg_022529, KUTeg_011604	mikado.HiC_scaffold_19.0G1133.1
OG0000081	KUTeg_023016, KUTeg_023017, KUTeg_022540, KUTeg_021801, KUTeg_022539	mikado.HiC_scaffold_21.0G1183.1
OG0000085	KUTeg_014545	mikado.HiC_scaffold_1.0G265.1
OG0000087	KUTeg_019391, KUTeg_019393, KUTeg_018928, KUTeg_018925	mikado.HiC_scaffold_2.0G1525.1, mikado.HiC_scaffold_2.0G449.1, mikado.HiC_scaffold_2.0G555.1, mikado.HiC_scaffold_2.0G556.1, mikado.HiC_scaffold_2.0G398.1, mikado.HiC_scaffold_3.0G789.1, mikado.HiC_scaffold_2.0G443.1, mikado.HiC_scaffold_2.0G450.1
OG0000088	KUTeg_018774, KUTeg_015879	mikado.HiC_scaffold_3.0G771.1
OG0000088	KUTeg_000315	mikado.HiC_scaffold_15.0G625.1
OG0000088	KUTeg_000098	mikado.HiC_scaffold_17.0G1004.1
OG0000088	KUTeg_022816, KUTeg_006602, KUTeg_003771	mikado.HiC_scaffold_7.0G325.1, mikado.HiC_scaffold_18.0G715.1
OG0000088	KUTeg_000316	mikado.HiC_scaffold_7.0G1166.1, mikado.HiC_scaffold_9.0G977.1, mikado.HiC_scaffold_11.0G110.1
OG0000090	KUTeg_020672	mikado.HiC_scaffold_17.0G571.1
OG0000091	KUTeg_021792, KUTeg_005860, KUTeg_012044, KUTeg_012273, KUTeg_012284, KUTeg_012272, KUTeg_014878, KUTeg_017392, KUTeg_014881, KUTeg_011736, KUTeg_009010, KUTeg_005053, KUTeg_017394, KUTeg_017397, KUTeg_022534, KUTeg_017399, KUTeg_018666	mikado.HiC_scaffold_19.0G140.1
OG0000092	KUTeg_022498	mikado.HiC_scaffold_21.0G249.1
OG0000093	KUTeg_006191, KUTeg_003335, KUTeg_003342, KUTeg_015790, KUTeg_015764, KUTeg_015791, KUTeg_015783	mikado.HiC_scaffold_12.3160685G1521.1
OG0000097	KUTeg_022931	mikado.HiC_scaffold_2.0G112.1, mikado.HiC_scaffold_2.0G111.1
OG0000097	KUTeg_019522	mikado.HiC_scaffold_18.0G76.1
OG0000098	KUTeg_021689	mikado.HiC_scaffold_19.0G373.1
OG0000098	KUTeg_009770, KUTeg_002553, KUTeg_002552	mikado.HiC_scaffold_2.0G169.1
OG0000100	KUTeg_013281	mikado.HiC_scaffold_16.0G191.1
OG0000100	KUTeg_011871, KUTeg_018786, KUTeg_015206	mikado.HiC_scaffold_2.0G714.1, mikado.HiC_scaffold_2.0G1495.1
OG0000101	KUTeg_009352, KUTeg_016550	mikado.HiC_scaffold_2.0G829.1
OG0000101	KUTeg_009351, KUTeg_009348, KUTeg_009350, KUTeg_002732, KUTeg_009349, KUTeg_009347	mikado.HiC_scaffold_2.0G833.1, mikado.HiC_scaffold_2.0G831.1, mikado.HiC_scaffold_2.0G830.1
OG0000102	KUTeg_018485, KUTeg_018483	mikado.HiC_scaffold_3.0G1066.1
OG0000102	KUTeg_020343, KUTeg_023106, KUTeg_014934, KUTeg_000817, KUTeg_020853, KUTeg_007334, KUTeg_002826, KUTeg_017644, KUTeg_015608, KUTeg_015609	mikado.HiC_scaffold_4.0G925.1
OG0000103	KUTeg_017900	mikado.HiC_scaffold_5.0G582.1
OG0000104	KUTeg_024730, KUTeg_010841	mikado.HiC_scaffold_9.0G1572.1
OG0000105	KUTeg_009569	mikado.HiC_scaffold_19.0G592.1
OG0000105	KUTeg_018686	mikado.HiC_scaffold_19.0G466.1
