0_0: Azeb-opn5a
0_221: mikado.HiC_scaffold_1.0G198.1
0_222: mikado.HiC_scaffold_1.0G199.1
0_223: mikado.HiC_scaffold_1.0G200.1
0_224: mikado.HiC_scaffold_1.0G201.1
0_225: mikado.HiC_scaffold_1.0G202.1
0_226: mikado.HiC_scaffold_1.0G203.1
0_227: mikado.HiC_scaffold_1.0G204.1
0_228: mikado.HiC_scaffold_1.0G205.1
0_229: mikado.HiC_scaffold_1.0G206.1
0_230: mikado.HiC_scaffold_1.0G207.1
0_231: mikado.HiC_scaffold_1.0G208.1
0_232: mikado.HiC_scaffold_1.0G210.1
0_233: mikado.HiC_scaffold_1.0G211.1
0_234: mikado.HiC_scaffold_1.0G212.1
0_235: mikado.HiC_scaffold_1.0G214.1
0_236: mikado.HiC_scaffold_1.0G215.1
0_237: mikado.HiC_scaffold_1.0G216.1
0_238: mikado.HiC_scaffold_1.0G217.1
0_239: mikado.HiC_scaffold_1.0G218.1
0_240: mikado.HiC_scaffold_1.0G219.1
0_241: mikado.HiC_scaffold_1.0G220.1
0_242: mikado.HiC_scaffold_1.0G221.1
0_243: mikado.HiC_scaffold_1.0G222.1
0_244: mikado.HiC_scaffold_1.0G223.1
0_245: mikado.HiC_scaffold_1.0G224.1
0_246: mikado.HiC_scaffold_1.0G225.1
0_247: mikado.HiC_scaffold_1.0G226.1
0_248: mikado.HiC_scaffold_1.0G227.1
0_249: mikado.HiC_scaffold_1.0G228.1
0_250: mikado.HiC_scaffold_1.0G229.1
0_251: mikado.HiC_scaffold_1.0G230.1
0_252: mikado.HiC_scaffold_1.0G231.1
0_253: mikado.HiC_scaffold_1.0G232.1
0_254: mikado.HiC_scaffold_1.0G233.1
0_255: mikado.HiC_scaffold_1.0G234.1
0_256: mikado.HiC_scaffold_1.0G235.1
0_257: mikado.HiC_scaffold_1.0G236.1
0_258: mikado.HiC_scaffold_1.0G237.1
0_259: mikado.HiC_scaffold_1.0G238.1
0_260: mikado.HiC_scaffold_1.0G239.1
0_261: mikado.HiC_scaffold_1.0G239.2
0_262: mikado.HiC_scaffold_1.0G240.1
0_263: mikado.HiC_scaffold_1.0G241.1
0_264: mikado.HiC_scaffold_1.0G242.1
0_265: mikado.HiC_scaffold_1.0G243.1
0_266: mikado.HiC_scaffold_1.0G244.1
0_267: mikado.HiC_scaffold_1.0G244.2
0_268: mikado.HiC_scaffold_1.0G245.1
0_269: mikado.HiC_scaffold_1.0G246.1
0_270: mikado.HiC_scaffold_1.0G247.1
0_271: mikado.HiC_scaffold_1.0G248.1
0_272: mikado.HiC_scaffold_1.0G249.1
0_273: mikado.HiC_scaffold_1.0G250.1
0_274: mikado.HiC_scaffold_1.0G251.1
0_275: mikado.HiC_scaffold_1.0G252.1
0_276: mikado.HiC_scaffold_1.0G253.1
0_277: mikado.HiC_scaffold_1.0G254.1
0_278: mikado.HiC_scaffold_1.0G255.1
0_279: mikado.HiC_scaffold_1.0G256.1
0_280: mikado.HiC_scaffold_1.0G257.1
0_281: mikado.HiC_scaffold_1.0G258.1
0_282: mikado.HiC_scaffold_1.0G259.1
0_283: mikado.HiC_scaffold_1.0G260.1
0_284: mikado.HiC_scaffold_1.0G261.1
0_285: mikado.HiC_scaffold_1.0G262.1
0_286: mikado.HiC_scaffold_1.0G263.1
0_287: mikado.HiC_scaffold_1.0G263.2
0_288: mikado.HiC_scaffold_1.0G264.1
0_289: mikado.HiC_scaffold_1.0G264.2
0_290: mikado.HiC_scaffold_1.0G265.1
0_291: mikado.HiC_scaffold_1.0G266.1
0_292: mikado.HiC_scaffold_1.0G267.1
0_293: mikado.HiC_scaffold_1.0G268.1
0_294: mikado.HiC_scaffold_1.0G269.1
0_295: mikado.HiC_scaffold_1.0G270.1
0_296: mikado.HiC_scaffold_1.0G271.1
0_297: mikado.HiC_scaffold_1.0G272.1
0_298: mikado.HiC_scaffold_1.0G273.1
0_299: mikado.HiC_scaffold_1.0G274.1
0_300: mikado.HiC_scaffold_1.0G275.1
0_301: mikado.HiC_scaffold_1.0G276.1
0_302: mikado.HiC_scaffold_1.0G277.1
0_303: mikado.HiC_scaffold_1.0G278.1
0_304: mikado.HiC_scaffold_1.0G279.1
0_305: mikado.HiC_scaffold_1.0G280.1
0_306: mikado.HiC_scaffold_1.0G281.1
0_307: mikado.HiC_scaffold_1.0G282.1
0_308: mikado.HiC_scaffold_1.0G283.1
0_309: mikado.HiC_scaffold_1.0G284.1
0_310: mikado.HiC_scaffold_1.0G285.1
0_311: mikado.HiC_scaffold_1.0G286.1
0_312: mikado.HiC_scaffold_1.0G287.1
0_313: mikado.HiC_scaffold_1.0G288.1
0_314: mikado.HiC_scaffold_1.0G289.1
0_315: mikado.HiC_scaffold_1.0G291.1
0_316: mikado.HiC_scaffold_1.0G290.1
0_317: mikado.HiC_scaffold_1.0G292.1
0_318: mikado.HiC_scaffold_1.0G292.2
0_319: mikado.HiC_scaffold_1.0G293.1
0_320: mikado.HiC_scaffold_1.0G294.1
0_321: mikado.HiC_scaffold_1.0G295.1
0_322: mikado.HiC_scaffold_1.0G296.1
0_323: mikado.HiC_scaffold_1.0G297.1
0_324: mikado.HiC_scaffold_1.0G298.1
0_325: mikado.HiC_scaffold_1.0G299.1
0_326: mikado.HiC_scaffold_1.0G299.2
0_327: mikado.HiC_scaffold_1.0G300.1
0_328: mikado.HiC_scaffold_1.0G302.1
0_329: mikado.HiC_scaffold_1.0G301.1
0_330: mikado.HiC_scaffold_1.0G303.1
0_331: mikado.HiC_scaffold_1.0G304.1
0_332: mikado.HiC_scaffold_1.0G305.1
0_333: mikado.HiC_scaffold_1.0G306.1
0_334: mikado.HiC_scaffold_1.0G307.2
0_335: mikado.HiC_scaffold_1.0G308.1
0_336: mikado.HiC_scaffold_1.0G309.1
0_337: mikado.HiC_scaffold_1.0G310.1
0_338: mikado.HiC_scaffold_1.0G311.1
0_339: mikado.HiC_scaffold_1.0G312.1
0_340: mikado.HiC_scaffold_1.0G313.1
0_341: mikado.HiC_scaffold_1.0G313.2
0_342: mikado.HiC_scaffold_1.0G314.1
0_343: mikado.HiC_scaffold_1.0G315.1
0_344: mikado.HiC_scaffold_1.0G316.1
0_345: mikado.HiC_scaffold_1.0G317.1
0_346: mikado.HiC_scaffold_1.0G318.1
0_347: mikado.HiC_scaffold_1.0G319.1
0_348: mikado.HiC_scaffold_1.0G320.1
0_349: mikado.HiC_scaffold_1.0G321.1
0_350: mikado.HiC_scaffold_1.0G322.1
0_351: mikado.HiC_scaffold_1.0G323.1
0_352: mikado.HiC_scaffold_1.0G324.1
0_353: mikado.HiC_scaffold_1.0G325.1
0_354: mikado.HiC_scaffold_1.0G326.1
0_355: mikado.HiC_scaffold_1.0G327.1
0_356: mikado.HiC_scaffold_1.0G328.1
0_357: mikado.HiC_scaffold_1.0G329.1
0_358: mikado.HiC_scaffold_1.0G329.2
0_359: mikado.HiC_scaffold_1.0G330.1
0_360: mikado.HiC_scaffold_1.0G331.1
0_361: mikado.HiC_scaffold_1.0G332.1
0_362: mikado.HiC_scaffold_1.0G333.1
0_363: mikado.HiC_scaffold_1.0G334.1
0_364: mikado.HiC_scaffold_1.0G335.1
0_365: mikado.HiC_scaffold_1.0G336.1
0_366: mikado.HiC_scaffold_1.0G337.1
0_367: mikado.HiC_scaffold_1.0G338.1
0_368: mikado.HiC_scaffold_1.0G339.1
0_369: mikado.HiC_scaffold_1.0G340.1
0_370: mikado.HiC_scaffold_1.0G341.1
0_371: mikado.HiC_scaffold_1.0G342.1
0_372: mikado.HiC_scaffold_1.0G343.1
0_373: mikado.HiC_scaffold_1.0G344.1
0_374: mikado.HiC_scaffold_1.0G345.1
0_375: mikado.HiC_scaffold_1.0G346.1
0_376: mikado.HiC_scaffold_1.0G347.1
0_377: mikado.HiC_scaffold_1.0G348.1
0_378: mikado.HiC_scaffold_1.0G349.1
0_379: mikado.HiC_scaffold_1.0G350.1
0_380: mikado.HiC_scaffold_1.0G351.1
0_381: mikado.HiC_scaffold_1.0G352.1
0_382: mikado.HiC_scaffold_1.0G353.1
0_383: mikado.HiC_scaffold_1.0G354.1
0_384: mikado.HiC_scaffold_1.0G355.1
0_385: mikado.HiC_scaffold_1.0G356.1
0_386: mikado.HiC_scaffold_1.0G356.2
0_387: mikado.HiC_scaffold_1.0G357.1
0_388: mikado.HiC_scaffold_1.0G358.1
0_389: mikado.HiC_scaffold_1.0G359.1
0_390: mikado.HiC_scaffold_1.0G360.1
0_391: mikado.HiC_scaffold_1.0G361.1
0_392: mikado.HiC_scaffold_1.0G362.1
0_393: mikado.HiC_scaffold_1.0G363.1
0_394: mikado.HiC_scaffold_1.0G364.1
0_395: mikado.HiC_scaffold_1.0G365.1
0_396: mikado.HiC_scaffold_1.0G366.1
0_397: mikado.HiC_scaffold_1.0G367.1
0_398: mikado.HiC_scaffold_1.0G368.1
0_399: mikado.HiC_scaffold_1.0G369.1
0_400: mikado.HiC_scaffold_1.0G371.1
0_401: mikado.HiC_scaffold_1.0G372.1
0_402: mikado.HiC_scaffold_1.0G373.1
0_403: mikado.HiC_scaffold_1.0G374.1
0_404: mikado.HiC_scaffold_1.0G375.1
0_405: mikado.HiC_scaffold_1.0G376.1
0_406: mikado.HiC_scaffold_1.0G377.1
0_407: mikado.HiC_scaffold_1.0G378.1
0_408: mikado.HiC_scaffold_1.0G379.1
0_409: mikado.HiC_scaffold_1.0G380.1
0_410: mikado.HiC_scaffold_1.0G381.1
0_411: mikado.HiC_scaffold_1.0G382.1
0_412: mikado.HiC_scaffold_1.0G384.1
0_413: mikado.HiC_scaffold_1.0G385.1
0_414: mikado.HiC_scaffold_1.0G386.1
0_415: mikado.HiC_scaffold_1.0G387.1
0_416: mikado.HiC_scaffold_1.0G388.1
0_417: mikado.HiC_scaffold_1.0G389.1
0_418: mikado.HiC_scaffold_1.0G390.1
0_419: mikado.HiC_scaffold_1.0G392.1
0_420: mikado.HiC_scaffold_1.0G391.1
0_421: mikado.HiC_scaffold_1.0G393.1
0_422: mikado.HiC_scaffold_1.0G394.1
0_423: mikado.HiC_scaffold_1.0G395.1
0_424: mikado.HiC_scaffold_1.0G396.1
0_425: mikado.HiC_scaffold_1.0G397.1
0_426: mikado.HiC_scaffold_1.0G398.1
0_427: mikado.HiC_scaffold_1.0G399.1
0_428: mikado.HiC_scaffold_1.0G400.1
0_429: mikado.HiC_scaffold_1.0G401.1
0_430: mikado.HiC_scaffold_1.0G402.1
0_431: mikado.HiC_scaffold_1.0G403.1
0_432: mikado.HiC_scaffold_1.0G404.1
0_433: mikado.HiC_scaffold_1.0G405.1
0_434: mikado.HiC_scaffold_1.0G406.1
0_435: mikado.HiC_scaffold_1.0G407.1
0_436: mikado.HiC_scaffold_1.0G409.1
0_437: mikado.HiC_scaffold_1.0G410.1
0_438: mikado.HiC_scaffold_1.0G411.1
0_439: mikado.HiC_scaffold_1.0G412.1
0_440: mikado.HiC_scaffold_1.0G413.1
0_441: mikado.HiC_scaffold_1.0G415.1
0_442: mikado.HiC_scaffold_1.0G417.1
0_443: mikado.HiC_scaffold_1.0G419.1
0_444: mikado.HiC_scaffold_1.0G420.1
0_445: mikado.HiC_scaffold_1.0G421.1
0_446: mikado.HiC_scaffold_1.0G422.1
0_447: mikado.HiC_scaffold_1.0G423.1
0_448: mikado.HiC_scaffold_1.0G423.2
0_449: mikado.HiC_scaffold_1.0G423.3
0_450: mikado.HiC_scaffold_1.0G423.4
0_451: mikado.HiC_scaffold_1.0G424.1
0_452: mikado.HiC_scaffold_1.0G425.1
0_453: mikado.HiC_scaffold_1.0G426.1
0_454: mikado.HiC_scaffold_1.0G427.1
0_455: mikado.HiC_scaffold_1.0G428.1
0_456: mikado.HiC_scaffold_1.0G429.1
0_457: mikado.HiC_scaffold_1.0G430.1
0_458: mikado.HiC_scaffold_1.0G431.1
0_459: mikado.HiC_scaffold_1.0G432.1
0_460: mikado.HiC_scaffold_1.0G433.1
0_461: mikado.HiC_scaffold_1.0G434.1
0_462: mikado.HiC_scaffold_1.0G435.1
0_463: mikado.HiC_scaffold_1.0G436.1
0_464: mikado.HiC_scaffold_1.0G437.1
0_465: mikado.HiC_scaffold_1.0G438.1
0_466: mikado.HiC_scaffold_1.0G439.1
0_467: mikado.HiC_scaffold_1.0G440.1
0_468: mikado.HiC_scaffold_1.0G441.1
0_469: mikado.HiC_scaffold_1.0G442.1
0_470: mikado.HiC_scaffold_1.0G443.1
0_471: mikado.HiC_scaffold_1.0G444.1
0_472: mikado.HiC_scaffold_1.0G445.1
0_473: mikado.HiC_scaffold_1.0G446.1
0_474: mikado.HiC_scaffold_1.0G447.1
0_475: mikado.HiC_scaffold_1.0G448.1
0_476: mikado.HiC_scaffold_1.0G449.1
0_477: mikado.HiC_scaffold_1.0G450.1
0_478: mikado.HiC_scaffold_1.0G451.1
0_479: mikado.HiC_scaffold_1.0G452.1
0_480: mikado.HiC_scaffold_1.0G453.1
0_481: mikado.HiC_scaffold_1.0G454.1
0_482: mikado.HiC_scaffold_1.0G455.1
0_483: mikado.HiC_scaffold_1.0G456.1
0_484: mikado.HiC_scaffold_1.0G457.1
0_485: mikado.HiC_scaffold_1.0G458.1
0_486: mikado.HiC_scaffold_1.0G459.1
0_487: mikado.HiC_scaffold_1.0G460.1
0_488: mikado.HiC_scaffold_1.0G461.1
0_489: mikado.HiC_scaffold_1.0G462.1
0_490: mikado.HiC_scaffold_1.0G463.1
0_491: mikado.HiC_scaffold_1.0G464.1
0_492: mikado.HiC_scaffold_1.0G465.1
0_493: mikado.HiC_scaffold_1.0G466.1
0_494: mikado.HiC_scaffold_1.0G467.1
0_495: mikado.HiC_scaffold_1.0G468.1
0_496: mikado.HiC_scaffold_1.0G469.1
0_497: mikado.HiC_scaffold_1.0G470.1
0_498: mikado.HiC_scaffold_1.0G471.1
0_499: mikado.HiC_scaffold_1.0G472.1
0_500: mikado.HiC_scaffold_1.0G473.1
0_501: mikado.HiC_scaffold_1.0G475.1
0_502: mikado.HiC_scaffold_1.0G476.1
0_503: mikado.HiC_scaffold_1.0G477.1
0_504: mikado.HiC_scaffold_1.0G478.1
0_505: mikado.HiC_scaffold_1.0G479.1
0_506: mikado.HiC_scaffold_1.0G480.1
0_507: mikado.HiC_scaffold_1.0G481.1
0_508: mikado.HiC_scaffold_1.0G482.1
0_509: mikado.HiC_scaffold_1.0G483.1
0_510: mikado.HiC_scaffold_1.0G484.1
0_511: mikado.HiC_scaffold_1.0G485.1
0_512: mikado.HiC_scaffold_1.0G486.1
0_513: mikado.HiC_scaffold_1.0G487.1
0_514: mikado.HiC_scaffold_1.0G488.1
0_515: mikado.HiC_scaffold_1.0G489.1
0_516: mikado.HiC_scaffold_1.0G490.1
0_517: mikado.HiC_scaffold_1.0G491.1
0_518: mikado.HiC_scaffold_1.0G492.1
0_519: mikado.HiC_scaffold_1.0G493.1
0_520: mikado.HiC_scaffold_1.0G494.1
0_521: mikado.HiC_scaffold_1.0G495.1
0_522: mikado.HiC_scaffold_1.0G496.1
0_523: mikado.HiC_scaffold_1.0G497.1
0_524: mikado.HiC_scaffold_1.0G498.1
0_525: mikado.HiC_scaffold_1.0G500.1
0_526: mikado.HiC_scaffold_1.0G501.1
0_527: mikado.HiC_scaffold_1.0G502.1
0_528: mikado.HiC_scaffold_1.0G503.1
0_529: mikado.HiC_scaffold_1.0G504.1
0_530: mikado.HiC_scaffold_1.0G505.1
0_531: mikado.HiC_scaffold_1.0G506.1
0_532: mikado.HiC_scaffold_1.0G507.1
0_533: mikado.HiC_scaffold_1.0G508.1
0_534: mikado.HiC_scaffold_1.0G509.1
0_535: mikado.HiC_scaffold_1.0G510.1
0_536: mikado.HiC_scaffold_1.0G511.1
0_537: mikado.HiC_scaffold_1.0G512.1
0_538: mikado.HiC_scaffold_1.0G513.1
0_539: mikado.HiC_scaffold_1.0G514.1
0_540: mikado.HiC_scaffold_1.0G515.1
0_541: mikado.HiC_scaffold_1.0G517.1
0_542: mikado.HiC_scaffold_1.0G516.1
0_543: mikado.HiC_scaffold_1.0G518.1
0_544: mikado.HiC_scaffold_1.0G519.1
0_545: mikado.HiC_scaffold_1.0G520.1
0_546: mikado.HiC_scaffold_1.0G521.1
0_547: mikado.HiC_scaffold_1.0G522.1
0_548: mikado.HiC_scaffold_1.0G523.1
0_549: mikado.HiC_scaffold_1.0G524.1
0_550: mikado.HiC_scaffold_1.0G525.1
0_551: mikado.HiC_scaffold_1.0G526.1
0_552: mikado.HiC_scaffold_1.0G527.1
0_553: mikado.HiC_scaffold_1.0G528.1
0_554: mikado.HiC_scaffold_1.0G529.1
0_555: mikado.HiC_scaffold_1.0G530.1
0_556: mikado.HiC_scaffold_1.0G531.1
0_557: mikado.HiC_scaffold_1.0G532.1
0_558: mikado.HiC_scaffold_1.0G533.1
0_559: mikado.HiC_scaffold_1.0G534.1
0_560: mikado.HiC_scaffold_1.0G535.1
0_561: mikado.HiC_scaffold_1.0G536.1
0_562: mikado.HiC_scaffold_1.0G537.1
0_563: mikado.HiC_scaffold_1.0G538.1
0_564: mikado.HiC_scaffold_1.0G539.1
0_565: mikado.HiC_scaffold_1.0G540.1
0_566: mikado.HiC_scaffold_1.0G541.1
0_567: mikado.HiC_scaffold_1.0G542.1
